"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"TAF6","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.111","0.026","0.895","1.56e-05",NA,NA,NA,0.843083629
"NSF","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.082","0.028","1.086","3.01e-03",NA,NA,NA,0.13309211
"TSFM","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.040","0.014","1.041","3.25e-03",NA,NA,NA,0.282396653
"EARS2","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.053","0.019","0.948","5.23e-03",NA,NA,NA,0.058156754
"CTSH","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.045","0.016","0.956","6.61e-03",NA,NA,NA,0.254051047
"RTFDC1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.084","0.034","0.919","1.43e-02",NA,NA,NA,0.040988621
"ACOT2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.059","0.024","1.061","1.49e-02",NA,NA,NA,0.007102616
"ATP5S","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.034","0.014","1.035","1.68e-02",NA,NA,NA,0.079391837
"TRAPPC4","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.062","0.026","0.939","1.79e-02",NA,NA,NA,0.002332218
"TARS","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.075","0.032","0.928","1.81e-02",NA,NA,NA,0.008118995
"CFL2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.058","0.025","1.060","1.98e-02",NA,NA,NA,0.092628149
"QTRTD1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.057","0.025","0.944","2.11e-02",NA,NA,NA,0.007015677
"GNAQ","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.073","0.032","1.076","2.17e-02",NA,NA,NA,0.04849751
"VWDE","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.034","0.015","1.035","2.48e-02",NA,NA,NA,0.057002277
"FLNB","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.069","0.031","0.933","2.53e-02",NA,NA,NA,0.009113015
"GOLM1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.047","0.022","1.049","2.99e-02",NA,NA,NA,0.004832316
"SYF2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.057","0.026","1.059","3.06e-02",NA,NA,NA,0.001589804
"IQCB1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.030","0.014","1.030","3.09e-02",NA,NA,NA,0.054770715
"C11orf57","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.071","0.033","0.932","3.16e-02",NA,NA,NA,0.000517779
"CNN2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.088","0.041","1.092","3.32e-02",NA,NA,NA,0.045271506
"MPI","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.050","0.024","0.951","3.48e-02",NA,NA,NA,0.043630347
"PLD2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.045","0.021","1.046","3.55e-02",NA,NA,NA,0.007845399
