"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"MS4A4E","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.297","0.027","0.743","4.77e-28",NA,NA,NA,0.890546631
"BIN1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.344","0.034","0.709","1.33e-24",NA,NA,NA,0.91293307
"PICALM","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.581","0.057","0.559","4.28e-24",NA,NA,NA,0.999999992
"RNU6-2","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.117","0.025","0.889","2.71e-06",NA,NA,NA,0.997792158
"TSPAN14","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.077","0.017","0.926","5.84e-06",NA,NA,NA,0.861074703
"HTRA1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.147","0.036","0.863","4.14e-05",NA,NA,NA,0.051427616
"LYPD5","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.221","0.054","0.802","4.44e-05",NA,NA,NA,0.95313136
"MEPCE","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.127","0.033","0.881","1.05e-04",NA,NA,NA,0.399549594
"FGD3","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.129","0.034","1.138","1.20e-04",NA,NA,NA,0.749168814
"UNC5CL","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.182","0.048","1.199","1.49e-04",NA,NA,NA,0.018205613
"HLA-DQB1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.279","0.075","0.756","1.80e-04",NA,NA,NA,0.901053098
"ACVR1B","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.101","0.028","0.904","3.54e-04",NA,NA,NA,0.001080024
"CCDC6","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.094","0.027","0.910","5.51e-04",NA,NA,NA,0.123307533
"CCNT2-AS1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.059","0.017","0.943","6.25e-04",NA,NA,NA,0.093080302
"BST1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.058","0.019","0.944","2.02e-03",NA,NA,NA,0.036193599
"TRPC4","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.060","0.019","1.061","2.03e-03",NA,NA,NA,0.001182657
"NCALD","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.141","0.046","0.869","2.25e-03",NA,NA,NA,0.001478978
"RNF214","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.079","0.026","0.924","2.45e-03",NA,NA,NA,0.000414314
"CUX1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.118","0.040","0.889","2.94e-03",NA,NA,NA,0.046192977
"ANK1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.095","0.032","0.909","3.39e-03",NA,NA,NA,0.000603804
"C1QTNF9B","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.073","0.025","1.076","3.98e-03",NA,NA,NA,0.005395362
"LIFR-AS1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.067","0.024","0.935","4.37e-03",NA,NA,NA,0.000264847
"SLC7A1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.075","0.026","1.077","4.88e-03",NA,NA,NA,0.021080058
"CTXN3","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.089","0.032","0.915","5.55e-03",NA,NA,NA,0.000424935
"PDGFRL","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.047","0.017","0.954","5.86e-03",NA,NA,NA,0.222762352
"D2HGDH","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.067","0.025","1.069","7.39e-03",NA,NA,NA,0.000573325
"CEACAM22P","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.040","0.015","0.961","7.52e-03",NA,NA,NA,0.000158254
"KBTBD8","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.069","0.026","0.933","7.57e-03",NA,NA,NA,0.000222064
"LINC00882","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.068","0.026","0.934","9.22e-03",NA,NA,NA,0.000126029
"PRKD1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.040","0.015","0.961","9.37e-03",NA,NA,NA,0.000372637
"RGCC","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.084","0.032","1.088","9.47e-03",NA,NA,NA,0.000778701
"DSC1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.220","0.085","1.246","9.76e-03",NA,NA,NA,0.121925245
"APOL4","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.099","0.038","1.104","1.01e-02",NA,NA,NA,0.087052286
"ANO4","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.062","0.024","1.064","1.09e-02",NA,NA,NA,0.125549874
"MXRA7","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.110","0.043","1.116","1.12e-02",NA,NA,NA,0.11604079
"MYOD1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.045","0.018","0.956","1.23e-02",NA,NA,NA,0.000132169
"TMEM132B","Stem-cell-iPSC","ALZ","Inverse variance weighted",2,"-0.037","0.015","0.964","1.23e-02",NA,0.862378722,NA,0.000139611
"PDE4B","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.068","0.028","0.934","1.45e-02",NA,NA,NA,0.000261767
"PARN","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.066","0.027","0.936","1.45e-02",NA,NA,NA,6.76e-05
"SPPL2A","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.039","0.016","1.039","1.67e-02",NA,NA,NA,0.000109361
"GRM8","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.042","0.018","0.959","1.69e-02",NA,NA,NA,4.65e-05
"EIF3H","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.077","0.032","1.080","1.69e-02",NA,NA,NA,0.000391413
"SLC24A4","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.080","0.033","1.083","1.73e-02",NA,NA,NA,0.050350911
"GYG1P2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.050","0.021","1.051","1.73e-02",NA,NA,NA,8.36e-05
"ECM1P2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.043","0.018","1.044","1.75e-02",NA,NA,NA,7.24e-05
"ANXA5","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.040","0.017","0.960","1.80e-02",NA,NA,NA,5.72e-05
"INVS","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.036","0.015","1.037","1.84e-02",NA,NA,NA,9.41e-05
"VAV2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.039","0.016","1.039","1.87e-02",NA,NA,NA,9.59e-05
"VSX1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.038","0.016","0.962","1.92e-02",NA,NA,NA,0.069413023
"FBP1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.124","0.053","1.132","1.95e-02",NA,NA,NA,0.082825202
"STARD6","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.072","0.031","1.074","1.96e-02",NA,NA,NA,0.057235057
"SH3PXD2A","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.134","0.058","1.143","2.08e-02",NA,NA,NA,0.00482381
"PRDM2","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.099","0.043","0.905","2.17e-02",NA,NA,NA,0.000372249
"MTND4LP25","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.036","0.016","0.964","2.31e-02",NA,NA,NA,2.26e-05
"PLXND1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.070","0.031","1.073","2.34e-02",NA,NA,NA,0.005497419
"RNU6-248P","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.035","0.015","0.966","2.44e-02",NA,NA,NA,1.3e-05
"FGF5","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.064","0.028","1.066","2.47e-02",NA,NA,NA,0.002565166
"CCNY","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.038","0.017","0.963","2.47e-02",NA,NA,NA,7.56e-05
"CRB2","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.039","0.018","1.040","2.50e-02",NA,NA,NA,3.66e-05
"RNU6-765P","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.034","0.015","0.966","2.55e-02",NA,NA,NA,0.008381155
"ZNF292","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.117","0.053","0.890","2.65e-02",NA,NA,NA,0.000334545
"CYYR1","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.068","0.031","1.070","2.67e-02",NA,NA,NA,0.049441548
"FBLN5","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.041","0.019","0.960","2.85e-02",NA,NA,NA,0.000518466
"OXR1","Stem-cell-iPSC","ALZ","Wald ratio",1,"-0.112","0.051","0.894","2.93e-02",NA,NA,NA,0.001994068
"KCNIP3","Stem-cell-iPSC","ALZ","Wald ratio",1," 0.034","0.015","1.034","2.96e-02",NA,NA,NA,9.88e-05
