"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"NAT10","Oligodendrocytes","ANX","Wald ratio",1,0.75,0.181,2.118,3.51e-05,NA,NA,NA,0.006642129
"ZNF627","Pericytes","ANX","Wald ratio",1,-0.542,0.131,0.582,3.72e-05,NA,NA,NA,0.004078929
"ZC3HC1","Excitatory neurons","ANX","Wald ratio",1,-0.966,0.235,0.381,4.06e-05,NA,NA,NA,0.005887473
"ATP2A1","OPCs / COPs","ANX","Wald ratio",1,-1.003,0.25,0.367,6.02e-05,NA,NA,NA,0.003818136
"SGF29","Microglia","ANX","Wald ratio",1,-0.649,0.162,0.522,6.02e-05,NA,NA,NA,0.003811548
"A2M","Pericytes","ANX","Wald ratio",1,0.351,0.088,1.421,6.93e-05,NA,NA,NA,0.003684372
"AC008892.1","OPCs / COPs","ANX","Wald ratio",1,0.766,0.194,2.15,7.71e-05,NA,NA,NA,0.002914132
"ITGA8","OPCs / COPs","ANX","Wald ratio",1,-0.248,0.064,0.78,0.000114,NA,NA,NA,0.957431646
"TRBC1","Endothelial cells","ANX","Wald ratio",1,-0.36,0.093,0.698,0.000115,NA,NA,NA,0.002218279
"PRSS23","Astrocytes","ANX","Wald ratio",1,-0.746,0.195,0.474,0.000127,NA,NA,NA,0.001727264
"EED","Oligodendrocytes","ANX","Wald ratio",1,-0.333,0.087,0.717,0.000127,NA,NA,NA,0.053498589
"COPS2","Oligodendrocytes","ANX","Wald ratio",1,-0.461,0.12,0.631,0.000127,NA,NA,NA,0.002614678
"RTCA","Microglia","ANX","Wald ratio",1,0.567,0.148,1.763,0.000132,NA,NA,NA,0.002335062
"ECI1","Oligodendrocytes","ANX","Wald ratio",1,-0.661,0.173,0.516,0.000135,NA,NA,NA,0.002198031
"ZNF776","Excitatory neurons","ANX","Wald ratio",1,-0.906,0.238,0.404,0.000137,NA,NA,NA,0.002116934
"AC022182.1","Endothelial cells","ANX","Wald ratio",1,0.316,0.083,1.371,0.000148,NA,NA,NA,0.001719924
"CTNNBL1","OPCs / COPs","ANX","Wald ratio",1,-0.674,0.178,0.51,0.000152,NA,NA,NA,0.001269113
"HELZ2","Oligodendrocytes","ANX","Wald ratio",1,-0.659,0.174,0.518,0.000159,NA,NA,NA,0.003154138
"TRMT9B","Astrocytes","ANX","Wald ratio",1,0.186,0.05,1.205,0.000175,NA,NA,NA,0.848408494
"PDZD8","Microglia","ANX","Wald ratio",1,0.435,0.117,1.545,0.000201,NA,NA,NA,0.001577021
"SSTR2","Endothelial cells","ANX","Wald ratio",1,-0.41,0.111,0.663,0.000221,NA,NA,NA,0.001270502
"NDUFAF5","Microglia","ANX","Wald ratio",1,-0.975,0.264,0.377,0.000226,NA,NA,NA,0.000487297
"BPNT1","Inhibitory neurons","ANX","Wald ratio",1,0.456,0.124,1.578,0.000232,NA,NA,NA,0.001056658
"AC060766.6","Pericytes","ANX","Wald ratio",1,0.325,0.088,1.384,0.000233,NA,NA,NA,0.00108666
"ZNF830","OPCs / COPs","ANX","Wald ratio",1,0.422,0.115,1.524,0.000233,NA,NA,NA,0.001090703
"PLEKHG4B","OPCs / COPs","ANX","Wald ratio",1,-0.45,0.123,0.637,0.000238,NA,NA,NA,0.001839342
"AC067968.1","Astrocytes","ANX","Wald ratio",1,0.46,0.126,1.585,0.000251,NA,NA,NA,0.000954967
"MTX2","Astrocytes","ANX","Wald ratio",1,-0.675,0.185,0.509,0.000261,NA,NA,NA,0.001170777
"GOLPH3","Excitatory neurons","ANX","Wald ratio",1,-0.748,0.206,0.473,0.000282,NA,NA,NA,0.001322172
"PAOX","Pericytes","ANX","Wald ratio",1,-0.467,0.129,0.627,0.000299,NA,NA,NA,0.001115837
"DOCK1","OPCs / COPs","ANX","Wald ratio",1,-0.547,0.151,0.579,0.000301,NA,NA,NA,0.001036865
"BARD1","Microglia","ANX","Wald ratio",1,-0.318,0.088,0.728,0.000302,NA,NA,NA,0.010661288
"PLSCR2","Excitatory neurons","ANX","Wald ratio",1,0.582,0.162,1.79,0.000329,NA,NA,NA,0.000673696
"RAP1GAP","Inhibitory neurons","ANX","Wald ratio",1,-0.461,0.129,0.631,0.000333,NA,NA,NA,0.000824468
"ACER3","OPCs / COPs","ANX","Wald ratio",1,-0.256,0.071,0.774,0.000334,NA,NA,NA,0.002933025
"CLCN1","Pericytes","ANX","Wald ratio",1,-0.307,0.086,0.736,0.000358,NA,NA,NA,0.000728288
"CCDC174","Astrocytes","ANX","Wald ratio",1,-0.318,0.089,0.727,0.000361,NA,NA,NA,0.001717237
"C3orf20","OPCs / COPs","ANX","Wald ratio",1,-0.173,0.049,0.841,0.000361,NA,NA,NA,0.575652235
"C3orf20","Astrocytes","ANX","Wald ratio",1,-0.121,0.034,0.886,0.000361,NA,NA,NA,0.877355615
"C3orf20","Excitatory neurons","ANX","Wald ratio",1,-0.117,0.033,0.889,0.000361,NA,NA,NA,0.877355615
"C3orf20","Oligodendrocytes","ANX","Wald ratio",1,-0.108,0.03,0.897,0.000361,NA,NA,NA,0.877355615
"HBA1","Endothelial cells","ANX","Wald ratio",1,0.432,0.121,1.541,0.000361,NA,NA,NA,0.000465129
"ABHD4","Inhibitory neurons","ANX","Wald ratio",1,-0.746,0.21,0.474,0.000368,NA,NA,NA,0.000942477
"AMOTL1","Excitatory neurons","ANX","Wald ratio",1,0.599,0.168,1.82,0.000368,NA,NA,NA,0.00083801
"CHCHD3","OPCs / COPs","ANX","Wald ratio",1,-0.238,0.067,0.788,0.000394,NA,NA,NA,0.001335724
"MPI","Excitatory neurons","ANX","Wald ratio",1,-1.317,0.372,0.268,0.000401,NA,NA,NA,0.000871803
"RPP25","Inhibitory neurons","ANX","Wald ratio",1,-1.476,0.417,0.228,0.000401,NA,NA,NA,0.000776484
"WWTR1","Endothelial cells","ANX","Wald ratio",1,-0.397,0.112,0.673,0.000408,NA,NA,NA,0.000618884
"WASHC3","Excitatory neurons","ANX","Wald ratio",1,0.857,0.243,2.357,0.000418,NA,NA,NA,0.00067667
"DMXL2","Excitatory neurons","ANX","Wald ratio",1,-1.304,0.371,0.271,0.000433,NA,NA,NA,0.000815841
"ACER3","Excitatory neurons","ANX","Wald ratio",1,-0.375,0.107,0.687,0.000436,NA,NA,NA,0.007336151
"C3orf20","Inhibitory neurons","ANX","Wald ratio",1,-0.133,0.038,0.876,0.000438,NA,NA,NA,0.857111114
"NGDN","Oligodendrocytes","ANX","Wald ratio",1,0.624,0.177,1.866,0.000439,NA,NA,NA,0.000690829
"NCK2","Endothelial cells","ANX","Wald ratio",1,0.36,0.103,1.433,0.000461,NA,NA,NA,0.000809717
"ETS1","Endothelial cells","ANX","Wald ratio",1,-0.26,0.074,0.771,0.000474,NA,NA,NA,0.000567473
"HSPA14","Endothelial cells","ANX","Wald ratio",1,-0.218,0.062,0.804,0.000486,NA,NA,NA,0.002605304
"LINC02237","Excitatory neurons","ANX","Wald ratio",1,-0.479,0.138,0.619,0.000503,NA,NA,NA,0.00337371
"ACOX3","Oligodendrocytes","ANX","Wald ratio",1,-0.763,0.22,0.466,0.000512,NA,NA,NA,0.000711826
"B3GAT1","Inhibitory neurons","ANX","Wald ratio",1,-0.582,0.167,0.559,0.000513,NA,NA,NA,0.000581136
"EIF2A","Inhibitory neurons","ANX","Wald ratio",1,0.478,0.138,1.613,0.000528,NA,NA,NA,0.000474713
"COMMD2","Oligodendrocytes","ANX","Wald ratio",1,-0.564,0.163,0.569,0.000528,NA,NA,NA,0.000437614
"LINC02112","Excitatory neurons","ANX","Wald ratio",1,2.355,0.68,10.538,0.000538,NA,NA,NA,5.44e-05
"TAS2R1","Excitatory neurons","ANX","Wald ratio",1,2.41,0.696,11.138,0.000538,NA,NA,NA,5.49e-05
"GLDN","Oligodendrocytes","ANX","Wald ratio",1,0.386,0.112,1.472,0.000546,NA,NA,NA,0.018687988
"TSPAN8","Endothelial cells","ANX","Wald ratio",1,0.297,0.086,1.346,0.000547,NA,NA,NA,0.000527627
"EBF4","Excitatory neurons","ANX","Wald ratio",1,-0.969,0.281,0.38,0.000567,NA,NA,NA,0.000625895
"DHPS","Endothelial cells","ANX","Wald ratio",1,-0.822,0.239,0.439,0.000587,NA,NA,NA,0.000805622
"SNX29","OPCs / COPs","ANX","Wald ratio",1,0.48,0.14,1.617,0.000597,NA,NA,NA,0.000433166
"PPIL2","Inhibitory neurons","ANX","Wald ratio",1,0.492,0.143,1.636,0.000597,NA,NA,NA,0.000657684
"COPG2","Inhibitory neurons","ANX","Wald ratio",1,-0.807,0.236,0.446,0.000615,NA,NA,NA,0.000595853
"TBC1D2","Pericytes","ANX","Wald ratio",1,0.243,0.071,1.275,0.000653,NA,NA,NA,0.000651888
"DDX17","Endothelial cells","ANX","Wald ratio",1,0.448,0.132,1.565,0.000661,NA,NA,NA,0.000576145
"BARD1","Excitatory neurons","ANX","Wald ratio",1,-0.236,0.069,0.79,0.000663,NA,NA,NA,0.793890336
"ABCA12","Excitatory neurons","ANX","Wald ratio",1,-0.399,0.117,0.671,0.000663,NA,NA,NA,0.000455738
"TTC30B","Excitatory neurons","ANX","Wald ratio",1,-0.426,0.125,0.653,0.000678,NA,NA,NA,0.000373032
"ABTB2","Astrocytes","ANX","Wald ratio",1,0.544,0.16,1.723,0.000682,NA,NA,NA,0.000563987
"MLYCD","Microglia","ANX","Wald ratio",1,0.641,0.189,1.899,0.000693,NA,NA,NA,0.000384879
