"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"SELT","Lymphocyte","ANX","Wald ratio",1,"  0.362"," 0.092","    1.436","8.48e-05",NA,NA,NA,0.966937822
"HLX","Lymphocyte","ANX","Wald ratio",1," -0.133"," 0.036","    0.875","2.32e-04",NA,NA,NA,0.918150391
"ACER3","Lymphocyte","ANX","Wald ratio",1," -0.122"," 0.035","    0.886","4.40e-04",NA,NA,NA,0.871109347
"TET2","Lymphocyte","ANX","Wald ratio",1,"  0.874"," 0.253","    2.397","5.55e-04",NA,NA,NA,0.86268872
"SSBP2","Lymphocyte","ANX","Wald ratio",1,"  0.266"," 0.079","    1.305","7.20e-04",NA,NA,NA,0.845194331
"FA2H","Lymphocyte","ANX","Wald ratio",1," -0.183"," 0.054","    0.833","7.66e-04",NA,NA,NA,0.792885952
"DCBLD1","Lymphocyte","ANX","Wald ratio",1," -0.100"," 0.031","    0.905","1.16e-03",NA,NA,NA,0.713445285
"ELOVL6","Lymphocyte","ANX","Wald ratio",1,"  2.429"," 0.792","   11.347","2.17e-03",NA,NA,NA,0.59624239
"FLJ36000","Lymphocyte","ANX","Wald ratio",1," -0.112"," 0.038","    0.894","2.91e-03",NA,NA,NA,0.559557188
"C3orf20","Lymphocyte","ANX","Wald ratio",1," -0.190"," 0.064","    0.827","3.01e-03",NA,NA,NA,0.539512459
"PCGF5","Lymphocyte","ANX","Wald ratio",1," -0.762"," 0.261","    0.467","3.53e-03",NA,NA,NA,0.594440539
"ASB18","Lymphocyte","ANX","Wald ratio",1," -0.790"," 0.274","    0.454","3.92e-03",NA,NA,NA,0.497295299
"EFCAB4B","Lymphocyte","ANX","Wald ratio",1,"  2.291"," 0.794","    9.881","3.93e-03",NA,NA,NA,0.524645945
"DNAJC13","Lymphocyte","ANX","Wald ratio",1," -0.131"," 0.046","    0.877","4.06e-03",NA,NA,NA,0.527516769
"C19orf22","Lymphocyte","ANX","Inverse variance weighted",2,"  0.216"," 0.075","    1.241","4.26e-03",NA,0.553295908,NA,0.370019794
"TMX4","Lymphocyte","ANX","Wald ratio",1," -6.670"," 2.337","    0.001","4.31e-03",NA,NA,NA,0.549979563
