"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"WDSUB1","Stem-cell-iPSC","ANX","Wald ratio",1," 0.201","0.058","1.223","5.06e-04",NA,NA,NA,0.528083018
"NUF2","Stem-cell-iPSC","ANX","Wald ratio",1," 0.253","0.079","1.288","1.32e-03",NA,NA,NA,0.577821621
"ACTA1","Stem-cell-iPSC","ANX","Wald ratio",1," 0.167","0.053","1.182","1.80e-03",NA,NA,NA,0.316369261
"HSDL2","Stem-cell-iPSC","ANX","Wald ratio",1," 0.222","0.073","1.249","2.35e-03",NA,NA,NA,0.057015907
"FLNB","Stem-cell-iPSC","ANX","Wald ratio",1,"-0.264","0.094","0.768","4.81e-03",NA,NA,NA,0.097750397
"AAMDC","Stem-cell-iPSC","ANX","Wald ratio",1," 0.118","0.044","1.126","7.09e-03",NA,NA,NA,0.405066872
"CENPU","Stem-cell-iPSC","ANX","Wald ratio",1,"-0.118","0.045","0.888","9.12e-03",NA,NA,NA,0.306024988
"NNT","Stem-cell-iPSC","ANX","Wald ratio",1,"-0.178","0.071","0.837","1.22e-02",NA,NA,NA,0.315669045
"MCOLN2","Stem-cell-iPSC","ANX","Wald ratio",1," 0.097","0.040","1.102","1.48e-02",NA,NA,NA,0.000765854
"PYGL","Stem-cell-iPSC","ANX","Wald ratio",1," 0.217","0.090","1.242","1.56e-02",NA,NA,NA,0.095741915
"TTC27","Stem-cell-iPSC","ANX","Wald ratio",1," 0.169","0.073","1.184","2.04e-02",NA,NA,NA,0.123188283
"R3HCC1","Stem-cell-iPSC","ANX","Wald ratio",1,"-0.162","0.070","0.851","2.13e-02",NA,NA,NA,0.002647451
"RDH13","Stem-cell-iPSC","ANX","Wald ratio",1," 0.098","0.043","1.103","2.16e-02",NA,NA,NA,0.156098231
"TAF6","Stem-cell-iPSC","ANX","Wald ratio",1," 0.152","0.070","1.164","2.94e-02",NA,NA,NA,0.014000315
"CDC7","Stem-cell-iPSC","ANX","Wald ratio",1," 0.143","0.069","1.153","3.78e-02",NA,NA,NA,0.053690184
"FAM101B","Stem-cell-iPSC","ANX","Wald ratio",1," 0.225","0.109","1.253","3.83e-02",NA,NA,NA,0.013140018
"GNL3","Stem-cell-iPSC","ANX","Wald ratio",1,"-0.118","0.058","0.888","4.23e-02",NA,NA,NA,0.084352031
"WASL","Stem-cell-iPSC","ANX","Wald ratio",1," 0.121","0.062","1.128","5.31e-02",NA,NA,NA,0.084883045
"IMMT","Stem-cell-iPSC","ANX","Wald ratio",1," 0.110","0.057","1.116","5.41e-02",NA,NA,NA,0.082444292
"CHMP2B","Stem-cell-iPSC","ANX","Wald ratio",1,"-0.146","0.078","0.864","5.98e-02",NA,NA,NA,0.014675882
"IVD","Stem-cell-iPSC","ANX","Wald ratio",1,"-0.107","0.057","0.898","6.16e-02",NA,NA,NA,0.040841163
"ACADS","Stem-cell-iPSC","ANX","Wald ratio",1," 0.110","0.059","1.117","6.32e-02",NA,NA,NA,0.027870654
"ANKMY2","Stem-cell-iPSC","ANX","Wald ratio",1," 0.142","0.077","1.153","6.40e-02",NA,NA,NA,0.058409975
"LYN","Stem-cell-iPSC","ANX","Wald ratio",1,"-0.088","0.048","0.916","6.60e-02",NA,NA,NA,0.015440888
"CSE1L","Stem-cell-iPSC","ANX","Wald ratio",1," 0.223","0.124","1.250","7.08e-02",NA,NA,NA,0.007652705
"TAMM41","Stem-cell-iPSC","ANX","Wald ratio",1,"-0.081","0.045","0.922","7.17e-02",NA,NA,NA,0.067981235
"CENPV","Stem-cell-iPSC","ANX","Wald ratio",1,"-0.050","0.028","0.951","7.34e-02",NA,NA,NA,0.063726753
"ARHGEF16","Stem-cell-iPSC","ANX","Wald ratio",1," 0.135","0.076","1.145","7.63e-02",NA,NA,NA,0.000221618
"ZNF557","Stem-cell-iPSC","ANX","Wald ratio",1," 0.085","0.049","1.088","8.17e-02",NA,NA,NA,0.000173447
"ZNRF1","Stem-cell-iPSC","ANX","Wald ratio",1," 0.137","0.079","1.146","8.37e-02",NA,NA,NA,0.002059039
"C9orf64","Stem-cell-iPSC","ANX","Wald ratio",1," 0.074","0.043","1.077","8.55e-02",NA,NA,NA,0.011906603
"RAB5A","Stem-cell-iPSC","ANX","Wald ratio",1," 0.118","0.069","1.125","8.67e-02",NA,NA,NA,0.028779857
"ACO1","Stem-cell-iPSC","ANX","Wald ratio",1," 0.161","0.094","1.175","8.83e-02",NA,NA,NA,0.001248281
"LEPREL2","Stem-cell-iPSC","ANX","Wald ratio",1,"-0.096","0.058","0.908","9.59e-02",NA,NA,NA,0.00058387
