"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"CNTNAP2","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted","5.000"," 0.000","148.413","1.89e-02",0.999116132,0.830989469,0.603813035,0.26655663
"CNTNAP2","Stem-cell-iPSC","ANX","sQTL","Weighted median","5.000"," 0.005","148.413","2.36e-02",0.842750336,0.830989469,0.603813035,0.26655663
"CDH13","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted","3.000","-0.027"," 20.086","2.60e-02",0.291518939,0.35903379,0.65441431,0.947778121
"UNC13C","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted","2.000","-0.007","  7.389","2.65e-02",0.797928585,NA,0.403992387,NA
"MAGI2","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted","4.000"," 0.052"," 54.598","2.70e-02",0.052897772,0.85320917,0.906309995,0.673271657
"ESRRG","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted","2.000","-0.012","  7.389","2.77e-02",0.67672089,NA,0.798256074,NA
"ERC2","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted","2.000","-0.015","  7.389","2.84e-02",0.597091589,NA,0.25693663,NA
"KCNIP4","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted","3.000","-0.053"," 20.086","2.89e-02",0.067428132,0.578533077,0.84255017,0.883863608
"CDH13","Stem-cell-iPSC","ANX","sQTL","Weighted median","3.000","-0.023"," 20.086","2.96e-02",0.445970736,0.35903379,0.65441431,0.947778121
"PSD3","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted","2.000","-0.018","  7.389","2.98e-02",0.538603843,NA,0.922246171,NA
"DAB2","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted","2.000","-0.025","  7.389","2.98e-02",0.400522308,NA,0.350088705,NA
