"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"PLK1S1","Lymphocyte","ASD","Wald ratio",1,"-0.193","0.039"," 0.824","6.16e-07",NA,NA,NA,0.999404005
"C6orf105","Lymphocyte","ASD","Wald ratio",1," 0.071","0.015"," 1.074","1.59e-06",NA,NA,NA,0.998498432
"CCDC148","Lymphocyte","ASD","Wald ratio",1," 0.919","0.238"," 2.506","1.10e-04",NA,NA,NA,0.927950888
"SERPINA1","Lymphocyte","ASD","Wald ratio",1," 0.065","0.017"," 1.067","1.79e-04",NA,NA,NA,0.881565462
"LOC651250","Lymphocyte","ASD","Wald ratio",1,"-1.619","0.442"," 0.198","2.51e-04",NA,NA,NA,0.866586235
"SH3D20","Lymphocyte","ASD","Wald ratio",1,"-0.095","0.027"," 0.909","3.58e-04",NA,NA,NA,0.837773743
"CACNA1C","Lymphocyte","ASD","Weighted median",4,"-0.063","0.018"," 0.939","3.69e-04",0.00024342,0.000615236,0.805938666,0.495662012
"ERAP1","Lymphocyte","ASD","Wald ratio",1," 0.235","0.067"," 1.265","4.47e-04",NA,NA,NA,0.854600873
"SMR3B","Lymphocyte","ASD","Wald ratio",1," 0.077","0.022"," 1.080","4.52e-04",NA,NA,NA,0.808489488
"REG1A","Lymphocyte","ASD","Wald ratio",1,"-0.122","0.035"," 0.885","4.74e-04",NA,NA,NA,0.860402213
"FLJ37201","Lymphocyte","ASD","Wald ratio",1,"-0.056","0.016"," 0.945","5.97e-04",NA,NA,NA,0.732422368
"GAL3ST3","Lymphocyte","ASD","Wald ratio",1," 0.058","0.017"," 1.060","7.80e-04",NA,NA,NA,0.65606938
"CATSPER1","Lymphocyte","ASD","Wald ratio",1," 0.162","0.048"," 1.176","7.80e-04",NA,NA,NA,0.656068808
"NFKB1","Lymphocyte","ASD","Wald ratio",1,"-0.049","0.015"," 0.952","7.86e-04",NA,NA,NA,0.651418906
"MXRA7","Lymphocyte","ASD","Wald ratio",1," 0.052","0.015"," 1.053","8.03e-04",NA,NA,NA,0.654475882
"SLC30A9","Lymphocyte","ASD","Wald ratio",1," 0.196","0.059"," 1.216","9.96e-04",NA,NA,NA,0.664738101
"HTR6","Lymphocyte","ASD","Wald ratio",1,"-0.076","0.023"," 0.927","1.14e-03",NA,NA,NA,0.584652951
"HIST1H2BB","Lymphocyte","ASD","Wald ratio",1," 0.196","0.060"," 1.216","1.18e-03",NA,NA,NA,0.57969666
