"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"MANBA","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.080","0.020","1.084","7.95e-05",NA,NA,NA,0.944482373
"NSF","Stem-cell-iPSC","ASD","Wald ratio","1","-0.125","0.034","0.883","2.32e-04",NA,NA,NA,0.660041152
"ZNF557","Stem-cell-iPSC","ASD","Wald ratio","1","-0.079","0.024","0.924","8.51e-04",NA,NA,NA,0.005004816
"GNL3","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.101","0.030","1.107","8.88e-04",NA,NA,NA,0.609476018
"DYSF","Stem-cell-iPSC","ASD","Wald ratio","1","-0.092","0.029","0.912","1.28e-03",NA,NA,NA,0.48000587
"FAM160A1","Stem-cell-iPSC","ASD","Wald ratio","1","-0.092","0.029","0.912","1.44e-03",NA,NA,NA,0.492801075
"TRIOBP","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.098","0.033","1.103","2.58e-03",NA,NA,NA,0.397139354
"MYLK","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.069","0.023","1.072","2.76e-03",NA,NA,NA,0.375366991
"CTSH","Stem-cell-iPSC","ASD","Wald ratio","1","-0.066","0.023","0.937","4.17e-03",NA,NA,NA,0.409579344
"CPT2","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.071","0.025","1.073","4.59e-03",NA,NA,NA,0.3099062
"TRIM68","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.074","0.028","1.077","8.94e-03",NA,NA,NA,0.002030586
"GSTZ1","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.033","0.013","1.033","1.08e-02",NA,NA,NA,0.158738433
"MPI","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.085","0.033","1.088","1.11e-02",NA,NA,NA,0.146409189
"CCDC97","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.069","0.027","1.071","1.16e-02",NA,NA,NA,0.011249693
"IVD","Stem-cell-iPSC","ASD","Wald ratio","1","-0.076","0.030","0.927","1.18e-02",NA,NA,NA,0.086715647
"NAGA","Stem-cell-iPSC","ASD","Wald ratio","1","-0.120","0.048","0.887","1.29e-02",NA,NA,NA,0.021090676
"SIVA1","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.153","0.062","1.165","1.42e-02",NA,NA,NA,0.002482512
"SELENBP1","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.102","0.043","1.107","1.66e-02",NA,NA,NA,0.085712724
"SURF1","Stem-cell-iPSC","ASD","Wald ratio","1","-0.053","0.023","0.949","1.90e-02",NA,NA,NA,0.096499019
"ZNF830","Stem-cell-iPSC","ASD","Wald ratio","1","-0.123","0.053","0.885","1.97e-02",NA,NA,NA,0.001240704
"NUBPL","Stem-cell-iPSC","ASD","Wald ratio","1","-0.082","0.036","0.921","2.34e-02",NA,NA,NA,0.003599981
"SCCPDH","Stem-cell-iPSC","ASD","Wald ratio","1","-0.069","0.030","0.934","2.44e-02",NA,NA,NA,0.006015638
"SYDE1","Stem-cell-iPSC","ASD","Wald ratio","1","-0.069","0.031","0.933","2.47e-02",NA,NA,NA,0.002772944
"SMC2","Stem-cell-iPSC","ASD","Wald ratio","1","-0.046","0.021","0.955","2.53e-02",NA,NA,NA,0.077254744
"YBX2","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.051","0.023","1.052","2.77e-02",NA,NA,NA,0.091847991
"FAHD1","Stem-cell-iPSC","ASD","Wald ratio","1","-0.049","0.022","0.953","2.78e-02",NA,NA,NA,0.089855792
"ETFDH","Stem-cell-iPSC","ASD","Wald ratio","1","-0.047","0.022","0.954","3.03e-02",NA,NA,NA,0.031703333
"KIF14","","ALZ","Stem-cell-iPSC","Wald ratio"," 1.000","0.008","2.718","3.11e-02",NA,NA,NA,0.010468531
"WASL","Stem-cell-iPSC","ASD","Wald ratio","1","-0.061","0.029","0.940","3.26e-02",NA,NA,NA,0.062943779
"PAAF1","Stem-cell-iPSC","ASD","Wald ratio","1","-0.052","0.025","0.949","3.44e-02",NA,NA,NA,0.099113831
"DHX38","Stem-cell-iPSC","ASD","Wald ratio","1","-0.063","0.031","0.939","3.85e-02",NA,NA,NA,0.001987846
"NMD3","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.064","0.032","1.066","4.62e-02",NA,NA,NA,0.039395468
"DDX55","Stem-cell-iPSC","ASD","Wald ratio","1","-0.056","0.029","0.946","4.98e-02",NA,NA,NA,0.048883987
"MTAP","Stem-cell-iPSC","ASD","Wald ratio","1"," 0.115","0.059","1.122","5.23e-02",NA,NA,NA,0.015174925
