"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"NT5DC2","Lymphocyte","BP","Wald ratio",1,0.117,0.019,1.124,1.25e-09,NA,NA,NA,0.999988131
"RNU6-131P","Lymphocyte","BP","Wald ratio",1,-0.066,0.012,0.936,2.4e-08,NA,NA,NA,0.993137474
"PLEC","Lymphocyte","BP","Wald ratio",1,0.085,0.017,1.089,2.82e-07,NA,NA,NA,0.999352429
"ZKSCAN8","Lymphocyte","BP","Wald ratio",1,-0.06,0.012,0.942,3.14e-07,NA,NA,NA,0.999606196
"UBE2E3","Lymphocyte","BP","Wald ratio",1,0.064,0.013,1.066,9.84e-07,NA,NA,NA,0.998765809
"RP11-473I1.6","Lymphocyte","BP","Wald ratio",1,0.064,0.015,1.066,1.13e-05,NA,NA,NA,0.086804915
"CCS","Lymphocyte","BP","Wald ratio",1,0.022,0.005,1.022,2.75e-05,NA,NA,NA,0.034440898
"FKBP2","Lymphocyte","BP","Wald ratio",1,0.042,0.011,1.043,6.33e-05,NA,NA,NA,0.92199985
"ZPBP2","Lymphocyte","BP","Wald ratio",1,-0.05,0.013,0.951,0.000103,NA,NA,NA,0.886308702
"NDUFS5","Lymphocyte","BP","Wald ratio",1,0.087,0.025,1.091,0.000529,NA,NA,NA,0.67151799
"ADAMTSL3","Lymphocyte","BP","Wald ratio",1,-0.04,0.012,0.96,0.000701,NA,NA,NA,0.047778014
"ANKRD44","Lymphocyte","BP","Wald ratio",1,0.06,0.018,1.062,0.00107,NA,NA,NA,0.496580362
"ALG8","Lymphocyte","BP","Wald ratio",1,-0.029,0.009,0.971,0.00122,NA,NA,NA,0.457118271
"PPP4R2","Lymphocyte","BP","Wald ratio",1,0.058,0.018,1.059,0.00159,NA,NA,NA,0.396922571
"AC064834.2","Lymphocyte","BP","Wald ratio",1,-0.048,0.016,0.953,0.00198,NA,NA,NA,0.100361381
"RALB","Lymphocyte","BP","Wald ratio",1,0.024,0.008,1.024,0.0023,NA,NA,NA,0.181898087
"YEATS4","Lymphocyte","BP","Wald ratio",1,0.055,0.019,1.057,0.003,NA,NA,NA,0.273028053
"UTP18","Lymphocyte","BP","Wald ratio",1,-0.032,0.011,0.969,0.00321,NA,NA,NA,0.179702134
"HSPA4","Lymphocyte","BP","Wald ratio",1,0.036,0.013,1.037,0.00413,NA,NA,NA,0.168525349
"MYO5A","Lymphocyte","BP","Wald ratio",1,0.033,0.012,1.034,0.00413,NA,NA,NA,0.277381034
"SH3PXD2A","Lymphocyte","BP","Wald ratio",1,-0.038,0.013,0.963,0.00482,NA,NA,NA,0.198214373
"KLC1","Lymphocyte","BP","Wald ratio",1,0.031,0.011,1.031,0.00536,NA,NA,NA,0.195633656
"RBM33","Lymphocyte","BP","Wald ratio",1,-0.029,0.01,0.972,0.00544,NA,NA,NA,0.216839894
"ELP3","Lymphocyte","BP","Wald ratio",1,0.029,0.01,1.029,0.00553,NA,NA,NA,0.000967532
"TRIM38","Lymphocyte","BP","Wald ratio",1,0.043,0.016,1.044,0.0062,NA,NA,NA,0.008202477
"PTGIR","Lymphocyte","BP","Wald ratio",1,0.055,0.02,1.057,0.00697,NA,NA,NA,0.153316887
"TMPRSS9","Lymphocyte","BP","Wald ratio",1,-0.018,0.007,0.982,0.0105,NA,NA,NA,0.001000568
"AGO3","Lymphocyte","BP","Wald ratio",1,0.026,0.01,1.026,0.0113,NA,NA,NA,0.01779113
"CLASP1","Lymphocyte","BP","Wald ratio",1,0.027,0.01,1.027,0.0114,NA,NA,NA,0.001660019
"RN7SKP122","Lymphocyte","BP","Wald ratio",1,-0.05,0.02,0.951,0.0117,NA,NA,NA,1.48e-05
"MKRN2","Lymphocyte","BP","Wald ratio",1,-0.037,0.015,0.964,0.0136,NA,NA,NA,0.017904897
"GFOD1","Lymphocyte","BP","Wald ratio",1,-0.046,0.019,0.955,0.0136,NA,NA,NA,0.077497357
"PGS1","Lymphocyte","BP","Wald ratio",1,-0.087,0.036,0.917,0.0147,NA,NA,NA,0.044994588
"ATF7IP","Lymphocyte","BP","Wald ratio",1,0.051,0.021,1.052,0.0167,NA,NA,NA,0.071705006
"CTNNBP1","Lymphocyte","BP","Wald ratio",1,0.022,0.009,1.022,0.0172,NA,NA,NA,0.000480344
"RP1-90J20.11","Lymphocyte","BP","Wald ratio",1,-0.024,0.01,0.977,0.0184,NA,NA,NA,0.072615948
"FBXO10","Lymphocyte","BP","Wald ratio",1,0.031,0.013,1.032,0.0184,NA,NA,NA,0.018044288
"ADK","Lymphocyte","BP","Wald ratio",1,0.009,0.004,1.009,0.0193,NA,NA,NA,0.048451499
"RRP12","Lymphocyte","BP","Wald ratio",1,-0.042,0.018,0.959,0.0198,NA,NA,NA,0.06714668
"DTX3L","Lymphocyte","BP","Wald ratio",1,-0.039,0.017,0.962,0.0226,NA,NA,NA,0.070618103
"DOCK8","Lymphocyte","BP","Wald ratio",1,-0.017,0.008,0.983,0.0267,NA,NA,NA,0.000695
"FMNL2","Lymphocyte","BP","Wald ratio",1,0.026,0.012,1.026,0.0271,NA,NA,NA,0.004993232
"TRIM14","Lymphocyte","BP","Wald ratio",1,0.024,0.011,1.024,0.0278,NA,NA,NA,0.057818953
"ZDHHC14","Lymphocyte","BP","Wald ratio",1,0.033,0.015,1.033,0.0278,NA,NA,NA,0.045430669
"RP11-179A10.1","Lymphocyte","BP","Wald ratio",1,-0.021,0.009,0.979,0.0282,NA,NA,NA,0.011881308
"VAC14","Lymphocyte","BP","Wald ratio",1,-0.022,0.01,0.978,0.0299,NA,NA,NA,0.059758044
"SUZ12P","Lymphocyte","BP","Wald ratio",1,0.027,0.013,1.028,0.0303,NA,NA,NA,0.000590951
"ARSB","Lymphocyte","BP","Wald ratio",1,-0.032,0.015,0.969,0.0305,NA,NA,NA,0.001036969
"IRAK2","Lymphocyte","BP","Wald ratio",1,0.015,0.007,1.015,0.0324,NA,NA,NA,0.049377656
"VPS13C","Lymphocyte","BP","Wald ratio",1,0.032,0.015,1.032,0.0325,NA,NA,NA,0.043833063
"MSH6","Lymphocyte","BP","Wald ratio",1,0.03,0.014,1.031,0.0356,NA,NA,NA,0.046833472
"KIFAP3","Lymphocyte","BP","Wald ratio",1,0.033,0.016,1.034,0.0357,NA,NA,NA,0.001642811
"TCEB1P28","Lymphocyte","BP","Wald ratio",1,0.042,0.02,1.043,0.0359,NA,NA,NA,0.007977825
"MGAT5","Lymphocyte","BP","Wald ratio",1,0.017,0.008,1.017,0.0392,NA,NA,NA,0.000298229
"NEDD9","Lymphocyte","BP","Wald ratio",1,-0.02,0.01,0.981,0.0392,NA,NA,NA,0.007373532
"RAB15","Lymphocyte","BP","Wald ratio",1,0.049,0.024,1.05,0.0403,NA,NA,NA,0.004273973
"PYROXD2","Lymphocyte","BP","Wald ratio",1,-0.041,0.02,0.96,0.0406,NA,NA,NA,0.006314858
"RP11-44F21.4","Lymphocyte","BP","Wald ratio",1,-0.023,0.011,0.977,0.0408,NA,NA,NA,1.46e-05
"GLYAT","Lymphocyte","BP","Wald ratio",1,-0.017,0.008,0.983,0.0411,NA,NA,NA,0.036607462
"JADE2","Lymphocyte","BP","Wald ratio",1,0.019,0.009,1.019,0.0422,NA,NA,NA,0.00324334
"SH3RF3","Lymphocyte","BP","Wald ratio",1,-0.024,0.012,0.976,0.0425,NA,NA,NA,0.000619971
"C1orf100","Lymphocyte","BP","Wald ratio",1,-0.012,0.006,0.989,0.0465,NA,NA,NA,0.034271732
"DMXL2","Lymphocyte","BP","Wald ratio",1,-0.017,0.009,0.983,0.0467,NA,NA,NA,0.010244395
"INTS8","Lymphocyte","BP","Wald ratio",1,-0.048,0.024,0.953,0.0473,NA,NA,NA,0.017029482
"ZNF83","Lymphocyte","BP","Wald ratio",1,0.05,0.026,1.052,0.0508,NA,NA,NA,0.015218869
"BCAT1","Lymphocyte","BP","Wald ratio",1,-0.018,0.009,0.982,0.0515,NA,NA,NA,0.042290451
"SERINC4","Lymphocyte","BP","Wald ratio",1,-0.023,0.012,0.977,0.0547,NA,NA,NA,0.003486414
"RP11-642P15.1","Lymphocyte","BP","Wald ratio",1,0.039,0.02,1.039,0.0562,NA,NA,NA,0.029546803
"BIK","Lymphocyte","BP","Wald ratio",1,0.02,0.011,1.021,0.0591,NA,NA,NA,0.00169609
"CTD-2247C11.1","Lymphocyte","BP","Wald ratio",1,0.038,0.02,1.039,0.0597,NA,NA,NA,0.077018671
"GSDMD","Lymphocyte","BP","Wald ratio",1,-0.018,0.01,0.982,0.0608,NA,NA,NA,0.007190262
"RP11-693J15.3","Lymphocyte","BP","Wald ratio",1,0.013,0.007,1.014,0.0613,NA,NA,NA,0.025947727
"CTA-126B4.7","Lymphocyte","BP","Wald ratio",1,0.019,0.01,1.019,0.0622,NA,NA,NA,0.030426444
"OXNAD1","Lymphocyte","BP","Wald ratio",1,0.01,0.005,1.01,0.0627,NA,NA,NA,0.000552102
"TRIM47","Lymphocyte","BP","Wald ratio",1,0.016,0.009,1.016,0.0643,NA,NA,NA,0.030795434
"ZDHHC7","Lymphocyte","BP","Wald ratio",1,-0.014,0.008,0.986,0.065,NA,NA,NA,0.018269577
"TRAF3IP2","Lymphocyte","BP","Wald ratio",1,0.018,0.01,1.018,0.0665,NA,NA,NA,0.000248215
"CTD-3094K11.1","Lymphocyte","BP","Wald ratio",1,-0.015,0.008,0.985,0.0665,NA,NA,NA,0.005214778
"ARHGAP22","Lymphocyte","BP","Wald ratio",1,0.017,0.009,1.017,0.0673,NA,NA,NA,0.001348049
"ENPP7","Lymphocyte","BP","Wald ratio",1,-0.01,0.006,0.99,0.0682,NA,NA,NA,0.026054886
"CCDC36","Lymphocyte","BP","Wald ratio",1,0.018,0.01,1.018,0.069,NA,NA,NA,0.021052734
"TRIO","Lymphocyte","BP","Wald ratio",1,-0.026,0.015,0.974,0.0712,NA,NA,NA,0.026143659
"RBFOX3","Lymphocyte","BP","Wald ratio",1,0.015,0.008,1.015,0.0716,NA,NA,NA,0.025998317
"RBM47","Lymphocyte","BP","Wald ratio",1,-0.018,0.01,0.982,0.0717,NA,NA,NA,7.16e-05
"DENND1A","Lymphocyte","BP","Wald ratio",1,0.019,0.01,1.019,0.0732,NA,NA,NA,0.003658368
"TRMT12","Lymphocyte","BP","Wald ratio",1,0.037,0.021,1.038,0.0741,NA,NA,NA,0.00928237
"AC079630.2","Lymphocyte","BP","Wald ratio",1,-0.02,0.011,0.98,0.0743,NA,NA,NA,0.024306384
"PM20D2","Lymphocyte","BP","Wald ratio",1,-0.015,0.008,0.985,0.0772,NA,NA,NA,5.39e-05
"PKHD1L1","Lymphocyte","BP","Wald ratio",1,0.018,0.01,1.018,0.078,NA,NA,NA,0.008731206
"AKAP13","Lymphocyte","BP","Wald ratio",1,0.015,0.009,1.016,0.081,NA,NA,NA,0.005869613
"INSIG2","Lymphocyte","BP","Wald ratio",1,0.023,0.013,1.023,0.0833,NA,NA,NA,0.001689578
"CAMK1D","Lymphocyte","BP","Wald ratio",1,0.022,0.013,1.023,0.0852,NA,NA,NA,0.008554648
"GPR146","Lymphocyte","BP","Wald ratio",1,0.048,0.029,1.049,0.0925,NA,NA,NA,0.025670612
"CLC","Lymphocyte","BP","Wald ratio",1,0.02,0.012,1.02,0.0928,NA,NA,NA,0.000365522
"TAF1D","Lymphocyte","BP","Wald ratio",1,0.014,0.008,1.014,0.0928,NA,NA,NA,0.019315282
"NARF","Lymphocyte","BP","Wald ratio",1,-0.024,0.015,0.976,0.0936,NA,NA,NA,0.019681052
"WDR18","Lymphocyte","BP","Wald ratio",1,0.034,0.02,1.035,0.0955,NA,NA,NA,0.019961661
"SAMD3","Lymphocyte","BP","Wald ratio",1,0.006,0.004,1.006,0.0975,NA,NA,NA,0.02076544
"ANKH","Lymphocyte","BP","Wald ratio",1,0.009,0.006,1.009,0.0978,NA,NA,NA,0.000385715
"AGMAT","Lymphocyte","BP","Wald ratio",1,0.03,0.018,1.031,0.0983,NA,NA,NA,0.018200573
"RP11-431M7.2","Lymphocyte","BP","Wald ratio",1,-0.036,0.022,0.964,0.0984,NA,NA,NA,0.010717322
"CIZ1","Lymphocyte","BP","Wald ratio",1,0.023,0.014,1.024,0.0996,NA,NA,NA,0.001408514
"TUBB6","Lymphocyte","BP","Wald ratio",1,-0.025,0.015,0.975,0.1,NA,NA,NA,0.000588756
"BCAS4","Lymphocyte","BP","Wald ratio",1,-0.025,0.015,0.975,0.1,NA,NA,NA,0.000565177
"KNTC1","Lymphocyte","BP","Wald ratio",1,0.014,0.008,1.014,0.1,NA,NA,NA,0.003650216
"PMS2CL","Lymphocyte","BP","Wald ratio",1,-0.027,0.017,0.974,0.108,NA,NA,NA,0.001424348
"SLFN5","Lymphocyte","BP","Wald ratio",1,-0.01,0.006,0.99,0.109,NA,NA,NA,0.016438437
"CRELD2","Lymphocyte","BP","Wald ratio",1,-0.019,0.012,0.981,0.111,NA,NA,NA,0.019408134
"FCRLA","Lymphocyte","BP","Wald ratio",1,0.03,0.019,1.031,0.112,NA,NA,NA,0.016741773
"TMTC4","Lymphocyte","BP","Wald ratio",1,0.022,0.014,1.022,0.113,NA,NA,NA,0.017319012
"MTFR1","Lymphocyte","BP","Wald ratio",1,-0.033,0.021,0.967,0.114,NA,NA,NA,0.017368097
"MFSD6","Lymphocyte","BP","Wald ratio",1,0.031,0.02,1.031,0.121,NA,NA,NA,0.017416483
"DND1P1","Lymphocyte","BP","Wald ratio",1,-0.015,0.01,0.985,0.121,NA,NA,NA,0.01825989
"KCNQ1","Lymphocyte","BP","Wald ratio",1,-0.027,0.018,0.973,0.124,NA,NA,NA,0.002315198
"MIR550A2","Lymphocyte","BP","Wald ratio",1,-0.011,0.007,0.989,0.13,NA,NA,NA,0.019526171
"BCAS1","Lymphocyte","BP","Wald ratio",1,0.031,0.021,1.032,0.132,NA,NA,NA,0.014474231
"DTD1","Lymphocyte","BP","Wald ratio",1,-0.018,0.012,0.982,0.134,NA,NA,NA,0.004062902
"CNDP2","Lymphocyte","BP","Wald ratio",1,-0.029,0.019,0.971,0.134,NA,NA,NA,0.016277295
"STK33","Lymphocyte","BP","Wald ratio",1,0.015,0.01,1.016,0.134,NA,NA,NA,8.81e-05
"CLEC16A","Lymphocyte","BP","Wald ratio",1,0.021,0.014,1.021,0.135,NA,NA,NA,0.011030458
"NIPAL2","Lymphocyte","BP","Wald ratio",1,0.015,0.01,1.015,0.136,NA,NA,NA,0.00045696
"SYNGR1","Lymphocyte","BP","Wald ratio",1,0.014,0.009,1.014,0.136,NA,NA,NA,0.012387845
"B4GALT1","Lymphocyte","BP","Wald ratio",1,0.019,0.013,1.019,0.139,NA,NA,NA,0.014670954
"SLC7A7","Lymphocyte","BP","Wald ratio",1,0.015,0.01,1.015,0.142,NA,NA,NA,0.014171193
