"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"UBTF","Lymphocyte","BP","Wald ratio",1,"-0.489","0.082","0.613","2.10e-09",NA,NA,NA,0.999996545
"HTR6","Lymphocyte","BP","Wald ratio",1,"-0.082","0.016","0.921","1.32e-07",NA,NA,NA,0.999808909
"OSBPL2","Lymphocyte","BP","Wald ratio",1,"-0.051","0.010","0.950","2.62e-07",NA,NA,NA,0.999616871
"LAMA5","Lymphocyte","BP","Wald ratio",1,"-0.106","0.021","0.899","2.62e-07",NA,NA,NA,0.999616871
"PLEC1","Lymphocyte","BP","Wald ratio",1,"-0.109","0.021","0.897","2.97e-07",NA,NA,NA,0.999574888
"PLEC1","Lymphocyte","BP","Wald ratio",1,"-0.063","0.012","0.939","2.97e-07",NA,NA,NA,0.999574888
"MIR661","Lymphocyte","BP","Wald ratio",1,"-0.051","0.010","0.950","2.97e-07",NA,NA,NA,0.999574888
"PROZ","Lymphocyte","BP","Wald ratio",1," 0.064","0.013","1.066","5.24e-07",NA,NA,NA,0.999339293
"PLEC1","Lymphocyte","BP","Inverse variance weighted",2,"-0.051","0.010","0.951","1.07e-06",NA,0.292586015,NA,0.016841689
"PAX5","Lymphocyte","BP","Wald ratio",1,"-0.099","0.021","0.906","1.52e-06",NA,NA,NA,0.998400529
"PCDHB8","Lymphocyte","BP","Wald ratio",1," 0.098","0.021","1.103","1.67e-06",NA,NA,NA,0.998100445
"PCDHB15","Lymphocyte","BP","Wald ratio",1," 0.113","0.024","1.120","1.67e-06",NA,NA,NA,0.998100445
"KCNG1","Lymphocyte","BP","Wald ratio",1," 0.116","0.025","1.123","3.27e-06",NA,NA,NA,0.99572083
"EGR2","Lymphocyte","BP","Wald ratio",1," 0.202","0.044","1.224","3.70e-06",NA,NA,NA,0.995144241
"SLC12A5","Lymphocyte","BP","Wald ratio",1,"-0.057","0.012","0.945","4.54e-06",NA,NA,NA,0.994725824
"ITIH4","Lymphocyte","BP","Wald ratio",1," 0.068","0.015","1.070","4.93e-06",NA,NA,NA,0.994540285
"PHF17","Lymphocyte","BP","Wald ratio",1," 0.066","0.015","1.068","5.79e-06",NA,NA,NA,0.994610883
"MATN4","Lymphocyte","BP","Wald ratio",1," 0.112","0.026","1.118","1.43e-05",NA,NA,NA,0.985205377
"ALG3","Lymphocyte","BP","Wald ratio",1,"-0.050","0.012","0.951","1.71e-05",NA,NA,NA,0.98218606
"ALMS1P","Lymphocyte","BP","Wald ratio",1,"-0.064","0.015","0.938","1.80e-05",NA,NA,NA,0.981458091
"ZNF167","Lymphocyte","BP","Wald ratio",1,"-0.044","0.010","0.957","2.55e-05",NA,NA,NA,0.971861975
"PDF","Lymphocyte","BP","Wald ratio",1,"-0.060","0.014","0.941","2.80e-05",NA,NA,NA,0.969366727
"VPS4A","Lymphocyte","BP","Wald ratio",1,"-0.455","0.109","0.634","2.80e-05",NA,NA,NA,0.969371226
"CIAO1","Lymphocyte","BP","Wald ratio",1," 0.074","0.018","1.077","3.16e-05",NA,NA,NA,0.965395935
"ASTL","Lymphocyte","BP","Wald ratio",1," 0.061","0.015","1.063","3.16e-05",NA,NA,NA,0.965395935
"CCDC87","Lymphocyte","BP","Wald ratio",1," 0.211","0.051","1.235","3.66e-05",NA,NA,NA,0.958517512
"KLHL26","Lymphocyte","BP","Wald ratio",1,"-0.104","0.025","0.901","4.43e-05",NA,NA,NA,0.970490346
"ARNTL","Lymphocyte","BP","Wald ratio",1," 1.135","0.279","3.112","4.85e-05",NA,NA,NA,0.947014903
"ILF3","Lymphocyte","BP","Wald ratio",1," 0.562","0.138","1.754","4.92e-05",NA,NA,NA,0.949233846
"PRTG","Lymphocyte","BP","Wald ratio",1,"-0.056","0.014","0.945","5.31e-05",NA,NA,NA,0.943076519
"NDUFA10","Lymphocyte","BP","Wald ratio",1,"-1.914","0.476","0.148","5.77e-05",NA,NA,NA,0.955675629
"NRXN2","Lymphocyte","BP","Wald ratio",1,"-0.049","0.012","0.952","5.90e-05",NA,NA,NA,0.947953013
"NRXN2","Lymphocyte","BP","Wald ratio",1,"-0.074","0.019","0.928","5.90e-05",NA,NA,NA,0.948040504
"MAD1L1","Lymphocyte","BP","Inverse variance weighted",2,"-0.032","0.008","0.968","7.82e-05",NA,0.888362323,NA,0.089562779
"TAF4","Lymphocyte","BP","Wald ratio",1,"-0.044","0.011","0.957","8.90e-05",NA,NA,NA,0.91212963
"MIR1257","Lymphocyte","BP","Wald ratio",1,"-0.056","0.014","0.945","8.90e-05",NA,NA,NA,0.91212963
"TTBK1","Lymphocyte","BP","Wald ratio",1," 0.110","0.028","1.116","1.08e-04",NA,NA,NA,0.935973357
"ATP11B","Lymphocyte","BP","Wald ratio",1,"-0.041","0.011","0.960","1.10e-04",NA,NA,NA,0.896079115
"B3GAT2","Lymphocyte","BP","Wald ratio",1," 0.065","0.017","1.067","1.11e-04",NA,NA,NA,0.913289288
"TSNARE1","Lymphocyte","BP","Wald ratio",1," 0.037","0.010","1.037","1.23e-04",NA,NA,NA,0.88048949
"TMEFF2","Lymphocyte","BP","Wald ratio",1,"-0.138","0.036","0.871","1.23e-04",NA,NA,NA,0.886353724
"RFTN2","Lymphocyte","BP","Wald ratio",1," 0.122","0.032","1.130","1.31e-04",NA,NA,NA,0.897648685
"CCT2","Lymphocyte","BP","Wald ratio",1,"-0.043","0.011","0.958","1.45e-04",NA,NA,NA,0.865172139
"SPEF1","Lymphocyte","BP","Wald ratio",1," 0.196","0.052","1.217","1.46e-04",NA,NA,NA,0.862285325
"CDC25B","Lymphocyte","BP","Wald ratio",1," 0.080","0.021","1.084","1.46e-04",NA,NA,NA,0.862310215
"MAPK10","Lymphocyte","BP","Wald ratio",1,"-0.042","0.011","0.959","1.55e-04",NA,NA,NA,0.869366341
"TFAP2B","Lymphocyte","BP","Wald ratio",1,"-0.179","0.047","0.836","1.55e-04",NA,NA,NA,0.900075729
"INPP5D","Lymphocyte","BP","Wald ratio",1,"-2.327","0.620","0.098","1.75e-04",NA,NA,NA,0.839507579
"MYBPC2","Lymphocyte","BP","Wald ratio",1," 0.408","0.109","1.503","1.79e-04",NA,NA,NA,0.844872709
"ANKRD40","Lymphocyte","BP","Wald ratio",1," 0.107","0.029","1.113","2.04e-04",NA,NA,NA,0.835886067
"SNX19","Lymphocyte","BP","Wald ratio",1," 0.058","0.016","1.060","2.57e-04",NA,NA,NA,0.784945051
"TSPAN2","Lymphocyte","BP","Wald ratio",1," 0.119","0.033","1.127","2.65e-04",NA,NA,NA,0.799377241
"LASS6","Lymphocyte","BP","Wald ratio",1," 0.049","0.014","1.051","2.87e-04",NA,NA,NA,0.805478173
"MRPL15","Lymphocyte","BP","Wald ratio",1,"-2.869","0.794","0.057","3.02e-04",NA,NA,NA,0.808892781
"TMPRSS13","Lymphocyte","BP","Inverse variance weighted",2,"-0.029","0.008","0.972","3.18e-04",NA,0.88136106,NA,0.191644227
"HEATR2","Lymphocyte","BP","Wald ratio",1," 0.353","0.098","1.424","3.23e-04",NA,NA,NA,0.781918839
"PRKAR1B","Lymphocyte","BP","Wald ratio",1," 0.047","0.013","1.048","3.23e-04",NA,NA,NA,0.781794905
"PRKAR1B","Lymphocyte","BP","Wald ratio",1," 0.061","0.017","1.063","3.23e-04",NA,NA,NA,0.781918826
"HEATR2","Lymphocyte","BP","Wald ratio",1," 0.043","0.012","1.044","3.23e-04",NA,NA,NA,0.781918839
"SGTA","Lymphocyte","BP","Wald ratio",1,"-0.044","0.012","0.957","3.43e-04",NA,NA,NA,0.769236144
"SNX16","Lymphocyte","BP","Wald ratio",1,"-1.340","0.380","0.262","4.21e-04",NA,NA,NA,0.701530887
"SNX16","Lymphocyte","BP","Wald ratio",1,"-0.882","0.250","0.414","4.21e-04",NA,NA,NA,0.701530887
"RALB","Lymphocyte","BP","Wald ratio",1," 0.083","0.024","1.087","4.54e-04",NA,NA,NA,0.769605881
"DHFR","Lymphocyte","BP","Wald ratio",1," 0.041","0.012","1.042","4.98e-04",NA,NA,NA,0.694494569
"MSH3","Lymphocyte","BP","Wald ratio",1," 0.044","0.013","1.045","4.98e-04",NA,NA,NA,0.694494569
"SLC41A1","Lymphocyte","BP","Wald ratio",1,"-0.687","0.198","0.503","5.14e-04",NA,NA,NA,0.661135953
"NUCKS1","Lymphocyte","BP","Wald ratio",1,"-0.057","0.016","0.945","5.14e-04",NA,NA,NA,0.661118942
"C16orf53","Lymphocyte","BP","Wald ratio",1," 0.233","0.068","1.263","5.44e-04",NA,NA,NA,0.718766116
"C16orf72","Lymphocyte","BP","Wald ratio",1," 0.514","0.149","1.672","5.79e-04",NA,NA,NA,0.682509622
"ACSS2","Lymphocyte","BP","Wald ratio",1,"-0.048","0.014","0.953","5.92e-04",NA,NA,NA,0.623684415
"YWHAZ","Lymphocyte","BP","Wald ratio",1,"-0.129","0.038","0.879","6.19e-04",NA,NA,NA,0.625884972
"EPB49","Lymphocyte","BP","Wald ratio",1,"-0.055","0.016","0.946","6.64e-04",NA,NA,NA,0.603274313
"NUDT18","Lymphocyte","BP","Wald ratio",1,"-0.034","0.010","0.967","6.64e-04",NA,NA,NA,0.603276034
"FAM160B2","Lymphocyte","BP","Wald ratio",1,"-0.057","0.017","0.945","6.64e-04",NA,NA,NA,0.603275112
