"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"GNL3","Stem-cell-iPSC","BP","Wald ratio",1," 0.148","0.020","1.160","3.62e-13",NA,NA,NA,0.999916011
"ACTN3","Stem-cell-iPSC","BP","Wald ratio",1," 0.050","0.009","1.052","6.52e-08",NA,NA,NA,0.999899793
"CD40","Stem-cell-iPSC","BP","Wald ratio",1," 0.072","0.015","1.075","6.63e-07",NA,NA,NA,0.998842482
"MAPK3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.068","0.016","0.934","1.82e-05",NA,NA,NA,0.978996873
"ORMDL3","Stem-cell-iPSC","BP","Wald ratio",1," 0.071","0.018","1.074","1.05e-04",NA,NA,NA,0.059847524
"KIAA1524","Stem-cell-iPSC","BP","Wald ratio",1,"-0.100","0.028","0.905","3.31e-04",NA,NA,NA,0.189463579
"ATIC","Stem-cell-iPSC","BP","Wald ratio",1,"-0.050","0.014","0.952","3.53e-04",NA,NA,NA,0.749704876
"SRR","Stem-cell-iPSC","BP","Wald ratio",1," 0.054","0.017","1.056","1.01e-03",NA,NA,NA,0.501668932
"MAVS","Stem-cell-iPSC","BP","Wald ratio",1,"-0.064","0.020","0.938","1.38e-03",NA,NA,NA,0.402491508
"NSUN2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.081","0.026","0.922","1.55e-03",NA,NA,NA,0.361883451
"GOSR1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.075","0.025","0.928","2.79e-03",NA,NA,NA,0.059208316
"CUL4A","Stem-cell-iPSC","BP","Wald ratio",1," 0.062","0.021","1.064","3.12e-03",NA,NA,NA,0.142415076
"TBRG4","Stem-cell-iPSC","BP","Wald ratio",1,"-0.088","0.030","0.915","3.23e-03",NA,NA,NA,0.124388836
"KDR","Stem-cell-iPSC","BP","Wald ratio",1,"-0.071","0.024","0.932","3.37e-03",NA,NA,NA,0.027578273
"EARS2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.053","0.018","0.949","3.40e-03",NA,NA,NA,0.079166254
"TGFB1I1","Stem-cell-iPSC","BP","Wald ratio",1," 0.055","0.019","1.056","4.58e-03",NA,NA,NA,0.189391079
"WNK2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.068","0.024","0.934","5.07e-03",NA,NA,NA,0.252763746
"VRK2","Stem-cell-iPSC","BP","Wald ratio",1," 0.051","0.018","1.052","5.63e-03",NA,NA,NA,0.178455418
"ARID3B","Stem-cell-iPSC","BP","Wald ratio",1," 0.042","0.016","1.042","8.09e-03",NA,NA,NA,0.189109995
"CHMP2B","Stem-cell-iPSC","BP","Wald ratio",1,"-0.073","0.028","0.929","8.50e-03",NA,NA,NA,0.029088808
"C9orf64","Stem-cell-iPSC","BP","Wald ratio",1,"-0.040","0.015","0.961","8.86e-03",NA,NA,NA,0.029914473
"MLH1","Stem-cell-iPSC","BP","Wald ratio",1," 0.068","0.026","1.070","8.96e-03",NA,NA,NA,0.005643356
"VAMP4","Stem-cell-iPSC","BP","Wald ratio",1,"-0.047","0.018","0.954","8.97e-03",NA,NA,NA,0.010835631
"GGPS1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.101","0.039","0.904","9.13e-03",NA,NA,NA,0.008010626
"PAAF1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.045","0.017","0.956","9.44e-03",NA,NA,NA,0.194868128
"TRAPPC4","Stem-cell-iPSC","BP","Wald ratio",1,"-0.066","0.026","0.937","1.05e-02",NA,NA,NA,0.003604653
"CENPU","Stem-cell-iPSC","BP","Wald ratio",1,"-0.036","0.014","0.965","1.06e-02",NA,NA,NA,0.115516987
"PPP2R4","Stem-cell-iPSC","BP","Wald ratio",1," 0.055","0.022","1.057","1.16e-02",NA,NA,NA,0.170925747
"TAF6","Stem-cell-iPSC","BP","Wald ratio",1," 0.062","0.025","1.064","1.24e-02",NA,NA,NA,0.011076765
"SLC25A1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.086","0.035","0.918","1.55e-02",NA,NA,NA,0.005957158
"GSTZ1","Stem-cell-iPSC","BP","Wald ratio",1," 0.021","0.009","1.021","1.60e-02",NA,NA,NA,0.082912642
"MDH2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.029","0.012","0.971","1.68e-02",NA,NA,NA,0.081207287
"HBP1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.039","0.017","0.961","1.73e-02",NA,NA,NA,0.004426121
"ITSN2","Stem-cell-iPSC","BP","Wald ratio",1," 0.051","0.022","1.053","1.82e-02",NA,NA,NA,0.002259749
"CPS1","Stem-cell-iPSC","BP","Wald ratio",1," 0.044","0.019","1.045","1.84e-02",NA,NA,NA,0.055659653
"VWA5A","Stem-cell-iPSC","BP","Wald ratio",1," 0.046","0.020","1.047","1.88e-02",NA,NA,NA,0.069806085
"APOBEC3B","Stem-cell-iPSC","BP","Wald ratio",1," 0.056","0.024","1.058","2.13e-02",NA,NA,NA,0.020155897
"MGST3","Stem-cell-iPSC","BP","Wald ratio",1," 0.055","0.024","1.056","2.19e-02",NA,NA,NA,0.027290796
"FAHD1","Stem-cell-iPSC","BP","Wald ratio",1," 0.035","0.015","1.035","2.36e-02",NA,NA,NA,0.073996245
"CHMP1A","Stem-cell-iPSC","BP","Wald ratio",1," 0.046","0.021","1.047","2.41e-02",NA,NA,NA,0.014604161
"AIMP2","Stem-cell-iPSC","BP","Wald ratio",1," 0.019","0.008","1.019","2.53e-02",NA,NA,NA,0.062305511
"UCHL3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.063","0.029","0.939","2.76e-02",NA,NA,NA,0.049045612
"ATP8A1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.049","0.022","0.952","2.92e-02",NA,NA,NA,0.000230772
"TAMM41","Stem-cell-iPSC","BP","Wald ratio",1," 0.031","0.014","1.031","3.19e-02",NA,NA,NA,0.045473573
"DIRAS1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.052","0.024","0.949","3.21e-02",NA,NA,NA,0.000353401
"METTL18","Stem-cell-iPSC","BP","Wald ratio",1,"-0.032","0.015","0.969","3.28e-02",NA,NA,NA,0.066609044
"COIL","Stem-cell-iPSC","BP","Wald ratio",1,"-0.061","0.029","0.940","3.54e-02",NA,NA,NA,0.00706279
"HDDC3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.038","0.018","0.963","3.54e-02",NA,NA,NA,0.023785799
"CYB5R2","Stem-cell-iPSC","BP","Wald ratio",1," 0.054","0.025","1.055","3.55e-02",NA,NA,NA,0.038429215
"SMC2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.029","0.014","0.972","3.80e-02",NA,NA,NA,0.038620791
"DDX51","Stem-cell-iPSC","BP","Wald ratio",1,"-0.040","0.019","0.961","4.04e-02",NA,NA,NA,0.03391063
"MCOLN2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.027","0.013","0.973","4.06e-02",NA,NA,NA,0.000116056
"IQGAP1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.049","0.024","0.953","4.09e-02",NA,NA,NA,0.010158455
"FHL3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.042","0.021","0.959","4.55e-02",NA,NA,NA,0.033959387
"NQO1","Stem-cell-iPSC","BP","Wald ratio",1," 0.019","0.009","1.019","4.55e-02",NA,NA,NA,0.04176568
"ITPA","Stem-cell-iPSC","BP","Wald ratio",1," 0.026","0.013","1.026","4.55e-02",NA,NA,NA,0.043078062
"NSF","Stem-cell-iPSC","BP","Wald ratio",1,"-0.047","0.024","0.954","4.55e-02",NA,NA,NA,0.011936424
"NTPCR","Stem-cell-iPSC","BP","Wald ratio",1," 0.030","0.015","1.030","4.70e-02",NA,NA,NA,0.04035613
"CKAP4","Stem-cell-iPSC","BP","Wald ratio",1,"-0.059","0.030","0.943","4.77e-02",NA,NA,NA,0.002357298
"CECR1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.025","0.013","0.975","4.77e-02",NA,NA,NA,0.027259431
"RAB5A","Stem-cell-iPSC","BP","Wald ratio",1,"-0.044","0.022","0.957","4.78e-02",NA,NA,NA,0.015875858
"MSH6","Stem-cell-iPSC","BP","Wald ratio",1,"-0.018","0.009","0.982","4.78e-02",NA,NA,NA,5.04e-05
"PRODH","Stem-cell-iPSC","BP","Wald ratio",1,"-0.033","0.017","0.968","4.88e-02",NA,NA,NA,0.034117563
"MLYCD","Stem-cell-iPSC","BP","Wald ratio",1," 0.046","0.023","1.047","5.18e-02",NA,NA,NA,0.004056793
"MCCC1","Stem-cell-iPSC","BP","Wald ratio",1," 0.038","0.019","1.038","5.29e-02",NA,NA,NA,0.002026364
"HMGB1","Stem-cell-iPSC","BP","Wald ratio",1," 0.057","0.030","1.059","5.37e-02",NA,NA,NA,0.00023636
"ZRANB3","Stem-cell-iPSC","BP","Wald ratio",1," 0.040","0.021","1.041","5.38e-02",NA,NA,NA,0.000928676
"ENOSF1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.035","0.018","0.966","5.67e-02",NA,NA,NA,0.020483256
"HEATR3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.018","0.009","0.982","5.68e-02",NA,NA,NA,0.031006281
"GFM2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.043","0.023","0.958","5.82e-02",NA,NA,NA,0.00115401
"IWS1","Stem-cell-iPSC","BP","Wald ratio",1," 0.053","0.028","1.054","5.93e-02",NA,NA,NA,0.000394262
"LCLAT1","Stem-cell-iPSC","BP","Wald ratio",1," 0.044","0.024","1.045","6.00e-02",NA,NA,NA,0.00470819
"FDPS","Stem-cell-iPSC","BP","Wald ratio",1," 0.034","0.018","1.034","6.03e-02",NA,NA,NA,0.027637371
"GNA12","Stem-cell-iPSC","BP","Wald ratio",1," 0.049","0.026","1.050","6.12e-02",NA,NA,NA,0.000162224
"PRKAB1","Stem-cell-iPSC","BP","Wald ratio",1," 0.058","0.032","1.060","6.58e-02",NA,NA,NA,0.001123589
"PLEKHA7","Stem-cell-iPSC","BP","Wald ratio",1,"-0.034","0.019","0.966","6.63e-02",NA,NA,NA,0.018316946
"KCTD14","Stem-cell-iPSC","BP","Wald ratio",1," 0.056","0.031","1.058","7.10e-02",NA,NA,NA,0.016041894
"PNMAL1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.036","0.020","0.965","7.13e-02",NA,NA,NA,0.02455596
"TRMT61B","Stem-cell-iPSC","BP","Wald ratio",1," 0.023","0.013","1.023","7.39e-02",NA,NA,NA,0.022575171
"AK3","Stem-cell-iPSC","BP","Wald ratio",1,"-0.027","0.015","0.973","7.95e-02",NA,NA,NA,0.027275514
"GCFC2","Stem-cell-iPSC","BP","Wald ratio",1," 0.033","0.019","1.034","8.05e-02",NA,NA,NA,0.012166679
"SPATA20","Stem-cell-iPSC","BP","Wald ratio",1,"-0.025","0.014","0.975","8.07e-02",NA,NA,NA,0.03290411
"PDP2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.040","0.023","0.961","8.25e-02",NA,NA,NA,9.79e-05
"CPNE1","Stem-cell-iPSC","BP","Wald ratio",1," 0.017","0.010","1.018","8.49e-02",NA,NA,NA,0.032675807
"CARS2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.023","0.013","0.977","8.53e-02",NA,NA,NA,0.037892684
"ADA","Stem-cell-iPSC","BP","Wald ratio",1,"-0.040","0.024","0.961","8.89e-02",NA,NA,NA,0.019717708
"S100A13","Stem-cell-iPSC","BP","Wald ratio",1,"-0.035","0.020","0.966","8.95e-02",NA,NA,NA,0.019805165
"LYPLAL1","Stem-cell-iPSC","BP","Wald ratio",1," 0.031","0.018","1.031","9.20e-02",NA,NA,NA,0.000220112
"HSDL2","Stem-cell-iPSC","BP","Wald ratio",1,"-0.043","0.026","0.958","9.36e-02",NA,NA,NA,0.000930207
"TSFM","Stem-cell-iPSC","BP","Wald ratio",1," 0.022","0.013","1.022","9.36e-02",NA,NA,NA,0.019689828
"PPAP2C","Stem-cell-iPSC","BP","Wald ratio",1,"-0.037","0.022","0.964","9.62e-02",NA,NA,NA,0.001150552
"VPS4B","Stem-cell-iPSC","BP","Wald ratio",1,"-0.046","0.027","0.955","9.70e-02",NA,NA,NA,0.014541207
"WDR18","Stem-cell-iPSC","BP","Wald ratio",1,"-0.038","0.023","0.962","9.73e-02",NA,NA,NA,0.000786182
"C9orf89","Stem-cell-iPSC","BP","Wald ratio",1," 0.036","0.022","1.037","9.79e-02",NA,NA,NA,0.011813335
"CECR5","Stem-cell-iPSC","BP","Wald ratio",1," 0.034","0.021","1.035","1.02e-01",NA,NA,NA,0.003786339
"LRPAP1","Stem-cell-iPSC","BP","Wald ratio",1,"-0.023","0.014","0.977","1.04e-01",NA,NA,NA,0.017587114
"IMMT","Stem-cell-iPSC","BP","Wald ratio",1,"-0.029","0.018","0.971","1.08e-01",NA,NA,NA,0.016713626
