"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"SLC12A5","Excitatory neurons","DEP","Wald ratio",1,0.135,0.021,1.144,2.51e-10,NA,NA,NA,0.95084134
"NEGR1","OPCs / COPs","DEP","Wald ratio",1,0.105,0.017,1.111,1.76e-09,NA,NA,NA,0.906526846
"COP1","Oligodendrocytes","DEP","Wald ratio",1,-0.101,0.017,0.904,5.95e-09,NA,NA,NA,0.992779124
"SPATA6","OPCs / COPs","DEP","Wald ratio",1,-0.126,0.022,0.882,1.66e-08,NA,NA,NA,0.092445808
"BTN3A1","Microglia","DEP","Wald ratio",1,-0.082,0.015,0.921,2.09e-08,NA,NA,NA,0.148399787
"SHISA9","Inhibitory neurons","DEP","Wald ratio",1,-0.151,0.028,0.86,4.52e-08,NA,NA,NA,0.07768582
"YLPM1","Oligodendrocytes","DEP","Wald ratio",1,0.054,0.01,1.055,8.85e-08,NA,NA,NA,0.999645076
"LRRIQ3","Pericytes","DEP","Wald ratio",1,0.082,0.015,1.085,1.3e-07,NA,NA,NA,0.071563291
"AL450423.1","Excitatory neurons","DEP","Wald ratio",1,-0.033,0.007,0.968,6.4e-07,NA,NA,NA,0.998227134
"B3GLCT","Excitatory neurons","DEP","Wald ratio",1,-0.081,0.017,0.922,2.3e-06,NA,NA,NA,0.236247803
"LINC01289","Excitatory neurons","DEP","Wald ratio",1,0.081,0.017,1.084,2.75e-06,NA,NA,NA,0.014477541
"NOD2","Microglia","DEP","Wald ratio",1,0.092,0.02,1.096,4.41e-06,NA,NA,NA,0.01557026
"AC026367.3","Excitatory neurons","DEP","Wald ratio",1,-0.044,0.01,0.957,1.39e-05,NA,NA,NA,0.29999442
"MAN1A2","Inhibitory neurons","DEP","Wald ratio",1,0.069,0.016,1.072,2.49e-05,NA,NA,NA,0.071614583
"ABCC6","Excitatory neurons","DEP","Wald ratio",1,-0.112,0.027,0.894,3.94e-05,NA,NA,NA,0.001617222
"LINC01954","Excitatory neurons","DEP","Wald ratio",1,0.025,0.006,1.026,5.22e-05,NA,NA,NA,0.88688926
"FURIN","Excitatory neurons","DEP","Wald ratio",1,-0.084,0.021,0.919,5.22e-05,NA,NA,NA,0.025561603
"CSTF3","Inhibitory neurons","DEP","Wald ratio",1,0.139,0.034,1.149,5.78e-05,NA,NA,NA,0.001605565
"GLTP","Oligodendrocytes","DEP","Wald ratio",1,-0.042,0.011,0.959,6.33e-05,NA,NA,NA,0.464574556
"FAM216A","Excitatory neurons","DEP","Wald ratio",1,-0.108,0.027,0.898,6.33e-05,NA,NA,NA,0.000595985
"CRB2","Oligodendrocytes","DEP","Wald ratio",1,-0.093,0.023,0.911,6.78e-05,NA,NA,NA,0.001087408
"MFSD10","Astrocytes","DEP","Wald ratio",1,-0.093,0.024,0.911,7.58e-05,NA,NA,NA,0.000697497
"PRMT6","Oligodendrocytes","DEP","Wald ratio",1,-0.045,0.011,0.956,7.64e-05,NA,NA,NA,0.024373051
