"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"CD40","Stem-cell-iPSC","DEP","Wald ratio",1," 0.034","0.007","1.034","7.81e-07",NA,NA,NA,0.997440881
"SELENBP1","Stem-cell-iPSC","DEP","Wald ratio",1," 0.053","0.013","1.054","7.36e-05",NA,NA,NA,0.813756302
"VRK2","Stem-cell-iPSC","DEP","Wald ratio",1," 0.034","0.008","1.034","7.67e-05",NA,NA,NA,0.844943966
"ACTN3","Stem-cell-iPSC","DEP","Wald ratio",1," 0.016","0.004","1.017","1.13e-04",NA,NA,NA,0.786781656
"GNL3","Stem-cell-iPSC","DEP","Wald ratio",1," 0.034","0.009","1.035","2.61e-04",NA,NA,NA,0.608047709
"ACADS","Stem-cell-iPSC","DEP","Wald ratio",1," 0.032","0.010","1.032","9.46e-04",NA,NA,NA,0.169571666
"MYLK","Stem-cell-iPSC","DEP","Wald ratio",1," 0.023","0.007","1.023","1.37e-03",NA,NA,NA,0.267409834
"SHMT1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.028","0.009","0.972","1.60e-03",NA,NA,NA,0.245772405
"CPPED1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.043","0.014","0.958","1.89e-03",NA,NA,NA,0.133730948
"DYSF","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.028","0.009","0.973","1.95e-03",NA,NA,NA,0.16842843
"MDH2","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.017","0.006","0.983","2.03e-03",NA,NA,NA,0.214619429
"MTAP","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.056","0.018","0.945","2.19e-03",NA,NA,NA,0.074070138
"EPB41L4A","Stem-cell-iPSC","DEP","Wald ratio",1," 0.026","0.008","1.026","2.35e-03",NA,NA,NA,0.001963688
"POLI","Stem-cell-iPSC","DEP","Wald ratio",1," 0.021","0.007","1.021","2.51e-03",NA,NA,NA,0.174608738
"CLN8","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.031","0.011","0.970","3.71e-03",NA,NA,NA,0.014102813
"CSE1L","Stem-cell-iPSC","DEP","Wald ratio",1," 0.056","0.020","1.058","5.86e-03",NA,NA,NA,0.011321961
"ATP1B1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.030","0.011","0.970","6.07e-03",NA,NA,NA,0.044559646
