"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"RNU6-1103P","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.029","0.007","0.972","3.29e-05",NA,NA,NA,0.088604417
"TTC28","Stem-cell-iPSC","DEP","Wald ratio",1," 0.066","0.016","1.068","5.75e-05",NA,NA,NA,0.121271817
"SGIP1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.104","0.027","0.901","1.02e-04",NA,NA,NA,0.80405833
"RARB","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.021","0.005","0.979","1.03e-04",NA,NA,NA,0.79270008
"LINC01088","Stem-cell-iPSC","DEP","Wald ratio",1," 0.020","0.005","1.020","1.65e-04",NA,NA,NA,0.035167492
"RPL5P28","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.069","0.018","0.933","1.77e-04",NA,NA,NA,0.745341366
"IPO11","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.029","0.008","0.971","2.19e-04",NA,NA,NA,0.002621683
"CNTN5","Stem-cell-iPSC","DEP","Wald ratio",1," 0.027","0.007","1.027","2.46e-04",NA,NA,NA,0.002194128
"WDPCP","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.038","0.010","0.963","3.13e-04",NA,NA,NA,0.001473105
"RNU6-812P","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.082","0.023","0.921","3.28e-04",NA,NA,NA,0.428953407
"PDE4B","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.043","0.012","0.958","4.08e-04",NA,NA,NA,0.0029669
"TEC","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.078","0.022","0.925","4.85e-04",NA,NA,NA,0.496503844
"STARD6","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.046","0.013","0.955","5.07e-04",NA,NA,NA,0.422156289
"ARHGEF7","Stem-cell-iPSC","DEP","Wald ratio",1," 0.052","0.015","1.054","5.51e-04",NA,NA,NA,0.454759271
"PDP1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.024","0.007","0.976","6.00e-04",NA,NA,NA,0.061470653
"MIR8070","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.215","0.063","0.807","6.74e-04",NA,NA,NA,0.46981172
"SHANK2","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.040","0.012","0.961","8.58e-04",NA,NA,NA,0.000237958
"TRPS1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.046","0.014","0.955","9.59e-04",NA,NA,NA,0.001953444
"GHR","Stem-cell-iPSC","DEP","Wald ratio",1," 0.021","0.006","1.021","1.13e-03",NA,NA,NA,0.000634128
"PPP3CC","Stem-cell-iPSC","DEP","Wald ratio",1," 0.021","0.006","1.021","1.13e-03",NA,NA,NA,0.000190031
"CACNA2D1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.023","0.007","0.977","1.15e-03",NA,NA,NA,0.004137148
"B3GNTL1","Stem-cell-iPSC","DEP","Wald ratio",1," 0.074","0.023","1.077","1.19e-03",NA,NA,NA,0.293266659
"NREP-AS1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.053","0.017","0.948","1.50e-03",NA,NA,NA,0.147712888
"MAMDC2-AS1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.043","0.014","0.957","1.57e-03",NA,NA,NA,0.000763144
"CTNNA1","Stem-cell-iPSC","DEP","Wald ratio",1," 0.021","0.007","1.022","1.89e-03",NA,NA,NA,0.000144805
"CCDC188","Stem-cell-iPSC","DEP","Wald ratio",1," 0.024","0.008","1.025","1.89e-03",NA,NA,NA,0.000589326
"RPSAP74","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.018","0.006","0.982","2.01e-03",NA,NA,NA,0.208994342
"CYP4X1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.056","0.018","0.946","2.06e-03",NA,NA,NA,0.03085196
"DPY19L2P2","Stem-cell-iPSC","DEP","Wald ratio",1," 0.092","0.030","1.096","2.22e-03",NA,NA,NA,0.195771948
"LINC01122","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.039","0.013","0.961","2.36e-03",NA,NA,NA,0.000562774
"MEPE","Stem-cell-iPSC","DEP","Wald ratio",1," 0.029","0.010","1.029","2.49e-03",NA,NA,NA,0.282556577
"CD34","Stem-cell-iPSC","DEP","Wald ratio",1," 0.035","0.012","1.036","2.51e-03",NA,NA,NA,0.001425993
"INTS7","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.021","0.007","0.980","2.70e-03",NA,NA,NA,4.62e-05
"MEAF6P1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.015","0.005","0.985","2.91e-03",NA,NA,NA,0.095334453
"FAM135B","Stem-cell-iPSC","DEP","Wald ratio",1," 0.022","0.008","1.023","3.01e-03",NA,NA,NA,0.000227546
"SH3RF3","Stem-cell-iPSC","DEP","Wald ratio",1," 0.038","0.013","1.039","3.13e-03",NA,NA,NA,0.099006611
"LYRM4","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.037","0.013","0.964","3.13e-03",NA,NA,NA,0.147168736
"KANK4","Stem-cell-iPSC","DEP","Wald ratio",1," 0.021","0.007","1.021","3.35e-03",NA,NA,NA,0.000133546
"RNF123","Stem-cell-iPSC","DEP","Wald ratio",1," 0.030","0.010","1.031","3.39e-03",NA,NA,NA,6.2e-05
"EYS","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.022","0.008","0.978","3.48e-03",NA,NA,NA,0.000112643
"RASGRF1","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.051","0.018","0.950","3.69e-03",NA,NA,NA,0.000165334
"SEMA6D","Stem-cell-iPSC","DEP","Wald ratio",1," 0.058","0.020","1.059","3.98e-03",NA,NA,NA,0.136148734
"CCDC91","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.054","0.019","0.948","4.11e-03",NA,NA,NA,0.10545346
"TXNL1","Stem-cell-iPSC","DEP","Wald ratio",1," 0.016","0.005","1.016","4.15e-03",NA,NA,NA,0.120228405
"KRT8P18","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.042","0.015","0.959","4.36e-03",NA,NA,NA,0.100280628
"INVS","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.019","0.007","0.981","4.55e-03",NA,NA,NA,0.000144403
"AQR","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.047","0.016","0.954","4.56e-03",NA,NA,NA,0.001604629
"ADNP2","Stem-cell-iPSC","DEP","Wald ratio",1,"-0.024","0.008","0.977","4.88e-03",NA,NA,NA,0.000196108
"TBC1D1","Stem-cell-iPSC","DEP","Wald ratio",1," 0.017","0.006","1.017","5.26e-03",NA,NA,NA,0.00100619
