"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CTTNBP2NL","Lymphocyte","ED","Wald ratio",1,-0.025,0.012,0.975,0.0322,NA,NA,NA,0.007822268
"C1orf228","Lymphocyte","ED","Wald ratio",1,0.021,0.018,1.021,0.236,NA,NA,NA,0.007183646
"RP11-157N3.1","Lymphocyte","ED","Wald ratio",1,-0.012,0.011,0.988,0.251,NA,NA,NA,0.000144636
"MCOLN2","Lymphocyte","ED","Wald ratio",1,-0.019,0.017,0.981,0.266,NA,NA,NA,0.012757719
"DENND4B","Lymphocyte","ED","Wald ratio",1,-0.006,0.006,0.994,0.296,NA,NA,NA,0.011458284
"INPP5B","Lymphocyte","ED","Wald ratio",1,0.009,0.015,1.009,0.548,NA,NA,NA,0.010491302
"RP5-1198O20.4","Lymphocyte","ED","Wald ratio",1,0.007,0.018,1.007,0.715,NA,NA,NA,0.009348292
"NDUFS5","Lymphocyte","ED","Wald ratio",1,-0.012,0.036,0.988,0.731,NA,NA,NA,0.007736441
"ZNHIT6","Lymphocyte","ED","Wald ratio",1,-0.008,0.025,0.992,0.743,NA,NA,NA,0.002597108
"BCL2L15","Lymphocyte","ED","Wald ratio",1,0.004,0.016,1.004,0.821,NA,NA,NA,0.003542042
"STIL","Lymphocyte","ED","Wald ratio",1,0.005,0.022,1.005,0.827,NA,NA,NA,0.000542186
"EFCAB7","Lymphocyte","ED","Wald ratio",1,0.002,0.007,1.002,0.828,NA,NA,NA,0.000362111
"CTNNBIP1","Lymphocyte","ED","Wald ratio",1,0.001,0.014,1.001,0.965,NA,NA,NA,4.25e-05
"CTTNBP2NL","Lymphocyte","ED","Wald ratio",1,-0.021,0.01,0.98,0.0418,NA,NA,NA,9.57e-06
"TSPAN1","Lymphocyte","ED","Wald ratio",1,0.027,0.021,1.027,0.188,NA,NA,NA,0.000255477
"C1orf228","Lymphocyte","ED","Wald ratio",1,0.021,0.018,1.021,0.236,NA,NA,NA,2.1e-06
"CHI3L2","Lymphocyte","ED","Wald ratio",1,-0.01,0.014,0.99,0.468,NA,NA,NA,1e-06
"INPP5B","Lymphocyte","ED","Wald ratio",1,0.009,0.018,1.009,0.61,NA,NA,NA,9.66e-07
"BMP8B","Lymphocyte","ED","Wald ratio",1,-0.005,0.011,0.995,0.622,NA,NA,NA,1.25e-06
"H6PD","Lymphocyte","ED","Wald ratio",1,-0.006,0.015,0.994,0.69,NA,NA,NA,0.003832661
"RP5-1198O20.4","Lymphocyte","ED","Wald ratio",1,0.007,0.018,1.007,0.715,NA,NA,NA,1.72e-05
"SLAMF8","Lymphocyte","ED","Wald ratio",1,-0.01,0.031,0.991,0.757,NA,NA,NA,0.005376784
"BCL2L15","Lymphocyte","ED","Wald ratio",1,0.004,0.016,1.004,0.821,NA,NA,NA,1.18e-06
"KCNN3","Lymphocyte","ED","Wald ratio",1,0.003,0.018,1.003,0.853,NA,NA,NA,0.007327578
"CTNNBIP1","Lymphocyte","ED","Wald ratio",1,0.001,0.013,1.001,0.938,NA,NA,NA,2.33e-06
