"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"SGIP1","Stem-cell-iPSC","ED","Wald ratio",1,"-0.205","0.083","0.815","1.42e-02",NA,NA,NA,0.118227401
"GNG12-AS1","Stem-cell-iPSC","ED","Wald ratio",1,"-0.124","0.052","0.884","1.74e-02",NA,NA,NA,0.111136453
"H6PD","Stem-cell-iPSC","ED","Wald ratio",1,"-0.186","0.080","0.831","1.98e-02",NA,NA,NA,0.027551798
"MFSD14A","Stem-cell-iPSC","ED","Wald ratio",1," 0.153","0.070","1.166","2.92e-02",NA,NA,NA,0.000233193
"C1orf52","Stem-cell-iPSC","ED","Wald ratio",1,"-0.044","0.022","0.956","4.63e-02",NA,NA,NA,3.72e-05
"VAV3","Stem-cell-iPSC","ED","Wald ratio",1,"-0.045","0.023","0.956","5.29e-02",NA,NA,NA,0.042596875
"CAMTA1","Stem-cell-iPSC","ED","Wald ratio",1," 0.055","0.035","1.056","1.20e-01",NA,NA,NA,5.21e-05
"COL24A1","Stem-cell-iPSC","ED","Wald ratio",1,"-0.182","0.121","0.833","1.31e-01",NA,NA,NA,0.030399151
"FAM212B","Stem-cell-iPSC","ED","Wald ratio",1,"-0.091","0.062","0.913","1.46e-01",NA,NA,NA,0.001613797
"KCNA10","Stem-cell-iPSC","ED","Wald ratio",1,"-0.082","0.057","0.922","1.53e-01",NA,NA,NA,0.010179534
"CD101","Stem-cell-iPSC","ED","Wald ratio",1," 0.077","0.056","1.080","1.68e-01",NA,NA,NA,0.000558347
"ETV3","Stem-cell-iPSC","ED","Wald ratio",1," 0.078","0.060","1.081","1.95e-01",NA,NA,NA,0.001497875
"RIIAD1","Stem-cell-iPSC","ED","Wald ratio",1,"-0.031","0.026","0.969","2.24e-01",NA,NA,NA,0.001477103
"LINC01307","Stem-cell-iPSC","ED","Wald ratio",1," 0.075","0.065","1.078","2.51e-01",NA,NA,NA,0.006726253
"OLFML3","Stem-cell-iPSC","ED","Inverse variance weighted",2," 0.035","0.031","1.035","2.63e-01",NA,0.848227686,NA,0.009457619
"SSX2IP","Stem-cell-iPSC","ED","Wald ratio",1,"-0.047","0.043","0.954","2.71e-01",NA,NA,NA,0.000247788
"RIMS3","Stem-cell-iPSC","ED","Wald ratio",1,"-0.039","0.037","0.962","2.88e-01",NA,NA,NA,1.2e-05
"LMO4","Stem-cell-iPSC","ED","Wald ratio",1," 0.016","0.017","1.016","3.57e-01",NA,NA,NA,0.010365882
"C1orf141","Stem-cell-iPSC","ED","Wald ratio",1," 0.071","0.078","1.073","3.63e-01",NA,NA,NA,0.010523676
"ROR1","Stem-cell-iPSC","ED","Wald ratio",1," 0.044","0.055","1.045","4.31e-01",NA,NA,NA,3.04e-05
"S100A14","Stem-cell-iPSC","ED","Wald ratio",1,"-0.045","0.059","0.956","4.44e-01",NA,NA,NA,0.002975895
"ADGRL2","Stem-cell-iPSC","ED","Wald ratio",1,"-0.037","0.049","0.964","4.47e-01",NA,NA,NA,0.009313248
"PNRC2P1","Stem-cell-iPSC","ED","Wald ratio",1,"-0.024","0.034","0.976","4.86e-01",NA,NA,NA,4.8e-05
"VDAC1P9","Stem-cell-iPSC","ED","Wald ratio",1,"-0.018","0.027","0.982","5.04e-01",NA,NA,NA,6.2e-05
"C1orf109","Stem-cell-iPSC","ED","Wald ratio",1,"-0.027","0.041","0.973","5.11e-01",NA,NA,NA,4.36e-05
"PSAT1P3","Stem-cell-iPSC","ED","Wald ratio",1,"-0.015","0.023","0.985","5.21e-01",NA,NA,NA,1.47e-05
"ST3GAL3","Stem-cell-iPSC","ED","Wald ratio",1,"-0.013","0.021","0.987","5.37e-01",NA,NA,NA,3.23e-06
"MEF2D","Stem-cell-iPSC","ED","Wald ratio",1," 0.015","0.026","1.015","5.55e-01",NA,NA,NA,0.006160446
"C1orf216","Stem-cell-iPSC","ED","Wald ratio",1," 0.040","0.069","1.041","5.61e-01",NA,NA,NA,2.32e-05
"CYP4X1","Stem-cell-iPSC","ED","Wald ratio",1,"-0.032","0.057","0.968","5.70e-01",NA,NA,NA,0.001011253
"LOR","Stem-cell-iPSC","ED","Wald ratio",1," 0.014","0.027","1.014","5.94e-01",NA,NA,NA,8.02e-06
"S100A10","Stem-cell-iPSC","ED","Wald ratio",1," 0.020","0.040","1.020","6.24e-01",NA,NA,NA,1.71e-05
"PAQR6","Stem-cell-iPSC","ED","Wald ratio",1,"-0.016","0.047","0.984","7.37e-01",NA,NA,NA,7.61e-05
"MRPL57P1","Stem-cell-iPSC","ED","Wald ratio",1,"-0.059","0.185","0.943","7.49e-01",NA,NA,NA,0.013177116
"NFIA","Stem-cell-iPSC","ED","Wald ratio",1,"-0.016","0.054","0.984","7.67e-01",NA,NA,NA,0.000637292
"TSPAN2","Stem-cell-iPSC","ED","Wald ratio",1," 0.007","0.027","1.007","7.90e-01",NA,NA,NA,0.000155058
"WARS2","Stem-cell-iPSC","ED","Wald ratio",1," 0.016","0.065","1.016","8.03e-01",NA,NA,NA,0.002235446
"PRKCZ","Stem-cell-iPSC","ED","Wald ratio",1," 0.014","0.058","1.014","8.08e-01",NA,NA,NA,7.25e-05
"PKN2-AS1","Stem-cell-iPSC","ED","Wald ratio",1," 0.009","0.040","1.009","8.19e-01",NA,NA,NA,0.000715887
"MAGI3","Stem-cell-iPSC","ED","Wald ratio",1," 0.004","0.024","1.004","8.55e-01",NA,NA,NA,2.59e-05
"TNNI3K","Stem-cell-iPSC","ED","Wald ratio",1,"-0.005","0.043","0.995","9.16e-01",NA,NA,NA,5.75e-06
"INADL","Stem-cell-iPSC","ED","Wald ratio",1," 0.002","0.019","1.002","9.33e-01",NA,NA,NA,0.000816293
