"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"ARHGEF16","Lymphocyte","OCD","Wald ratio",1," 0.211","0.066","1.236","1.32e-03",NA,NA,NA,0.736871257
"SPATA6","Lymphocyte","OCD","Wald ratio",1,"-0.304","0.098","0.738","2.01e-03",NA,NA,NA,0.63814798
"PCSK9","Lymphocyte","OCD","Wald ratio",1,"-0.096","0.036","0.908","7.80e-03",NA,NA,NA,0.304539613
"CTTNBP2NL","Lymphocyte","OCD","Wald ratio",1,"-0.083","0.040","0.920","3.54e-02",NA,NA,NA,0.104925694
"ASAP3","Lymphocyte","OCD","Wald ratio",1," 0.081","0.040","1.084","4.30e-02",NA,NA,NA,0.109428891
"FCER1A","Lymphocyte","OCD","Wald ratio",1," 0.066","0.032","1.068","4.30e-02",NA,NA,NA,0.09869865
"DNTTIP2","Lymphocyte","OCD","Wald ratio",1,"-0.103","0.052","0.902","4.92e-02",NA,NA,NA,0.131833588
"LPAR3","Lymphocyte","OCD","Wald ratio",1," 0.293","0.160","1.340","6.78e-02",NA,NA,NA,0.091137546
"COPA","Lymphocyte","OCD","Wald ratio",1,"-0.092","0.056","0.912","9.87e-02",NA,NA,NA,0.046621587
"VSIG8","Lymphocyte","OCD","Wald ratio",1,"-0.143","0.091","0.867","1.18e-01",NA,NA,NA,0.044263813
"TSPAN2","Lymphocyte","OCD","Wald ratio",1," 0.139","0.090","1.149","1.21e-01",NA,NA,NA,0.044105941
"LOC100130557","Lymphocyte","OCD","Wald ratio",1,"-0.679","0.454","0.507","1.35e-01",NA,NA,NA,0.043503197
"AJAP1","Lymphocyte","OCD","Inverse variance weighted",2," 0.056","0.038","1.058","1.37e-01",NA,0.28726358,NA,0.012682192
"CLCC1","Lymphocyte","OCD","Wald ratio",1," 0.041","0.028","1.042","1.41e-01",NA,NA,NA,0.035886189
"GLIS1","Lymphocyte","OCD","Wald ratio",1," 0.045","0.032","1.046","1.63e-01",NA,NA,NA,0.037729735
"CYP2J2","Lymphocyte","OCD","Wald ratio",1," 0.919","0.663","2.507","1.66e-01",NA,NA,NA,0.058576995
"CD160","Lymphocyte","OCD","Wald ratio",1,"-0.535","0.388","0.586","1.68e-01",NA,NA,NA,0.03223442
"NUDT17","Lymphocyte","OCD","Wald ratio",1,"-0.827","0.600","0.437","1.68e-01",NA,NA,NA,0.03223442
"DPYD","Lymphocyte","OCD","Inverse variance weighted",2," 0.044","0.032","1.045","1.70e-01",NA,0.641686033,NA,0.041921628
"RERE","Lymphocyte","OCD","Wald ratio",1,"-0.063","0.047","0.939","1.76e-01",NA,NA,NA,0.030450115
"ENO1","Lymphocyte","OCD","Wald ratio",1,"-0.036","0.026","0.965","1.76e-01",NA,NA,NA,0.030450115
"COL9A2","Lymphocyte","OCD","Wald ratio",1,"-0.112","0.086","0.894","1.97e-01",NA,NA,NA,0.030953893
"ACADM","Lymphocyte","OCD","Wald ratio",1," 0.035","0.028","1.036","2.04e-01",NA,NA,NA,0.028639986
"RUNX3","Lymphocyte","OCD","Wald ratio",1," 0.055","0.044","1.057","2.06e-01",NA,NA,NA,0.030226935
"OR10X1","Lymphocyte","OCD","Wald ratio",1,"-0.036","0.028","0.965","2.07e-01",NA,NA,NA,0.027415513
