"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"OLFML3","Stem-cell-iPSC","OCD","Wald ratio",1," 0.200","0.105","1.221","5.66e-02",NA,NA,NA,0.073392693
"TYW3","Stem-cell-iPSC","OCD","Wald ratio",1," 0.210","0.130","1.233","1.07e-01",NA,NA,NA,0.044437683
"S100A14","Stem-cell-iPSC","OCD","Wald ratio",1," 0.163","0.106","1.177","1.26e-01",NA,NA,NA,0.012512965
"TSPAN2","Stem-cell-iPSC","OCD","Wald ratio",1," 0.075","0.052","1.078","1.50e-01",NA,NA,NA,0.000772815
"RPL5P6","Stem-cell-iPSC","OCD","Wald ratio",1," 0.142","0.109","1.153","1.93e-01",NA,NA,NA,0.000472876
"RIIAD1","Stem-cell-iPSC","OCD","Wald ratio",1," 0.064","0.052","1.066","2.22e-01",NA,NA,NA,0.002902794
"TACSTD2","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.088","0.078","0.915","2.58e-01",NA,NA,NA,0.000457153
"MRPL57P1","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.371","0.354","0.690","2.95e-01",NA,NA,NA,0.038435217
"FAM212B","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.131","0.132","0.877","3.22e-01",NA,NA,NA,0.001852494
"C1orf109","Stem-cell-iPSC","OCD","Wald ratio",1," 0.084","0.086","1.088","3.25e-01",NA,NA,NA,0.000115557
"KCNA10","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.107","0.109","0.899","3.28e-01",NA,NA,NA,0.011140253
"DAB1","Stem-cell-iPSC","OCD","Wald ratio",1," 0.092","0.097","1.096","3.45e-01",NA,NA,NA,0.020535495
"ST3GAL3","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.038","0.041","0.963","3.54e-01",NA,NA,NA,7.81e-06
"UBE2WP1","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.061","0.072","0.941","3.98e-01",NA,NA,NA,0.000672599
"COL24A1","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.198","0.236","0.820","4.01e-01",NA,NA,NA,0.02672627
"C1orf216","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.077","0.123","0.926","5.31e-01",NA,NA,NA,4.13e-05
"CNN3","Stem-cell-iPSC","OCD","Wald ratio",1," 0.023","0.038","1.024","5.36e-01",NA,NA,NA,0.015575534
"MEF2D","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.029","0.051","0.972","5.70e-01",NA,NA,NA,0.011762021
"VAV3","Stem-cell-iPSC","OCD","Wald ratio",1," 0.025","0.045","1.025","5.74e-01",NA,NA,NA,0.015252361
"C1orf141","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.066","0.153","0.936","6.65e-01",NA,NA,NA,0.014843045
"LOR","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.022","0.052","0.978","6.70e-01",NA,NA,NA,1.47e-05
"H6PD","Stem-cell-iPSC","OCD","Wald ratio",1," 0.059","0.151","1.061","6.95e-01",NA,NA,NA,0.003860509
"CD101","Stem-cell-iPSC","OCD","Wald ratio",1," 0.036","0.105","1.036","7.35e-01",NA,NA,NA,0.000429967
"RNU6-210P","Stem-cell-iPSC","OCD","Wald ratio",1," 0.012","0.039","1.012","7.54e-01",NA,NA,NA,0.00221008
"PAQR6","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.022","0.087","0.978","7.95e-01",NA,NA,NA,0.000136325
"ROR1","Stem-cell-iPSC","OCD","Wald ratio",1," 0.025","0.102","1.025","8.09e-01",NA,NA,NA,4.22e-05
"CSMD2","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.010","0.048","0.990","8.43e-01",NA,NA,NA,4.67e-06
"VDAC1P9","Stem-cell-iPSC","OCD","Wald ratio",1," 0.009","0.051","1.009","8.62e-01",NA,NA,NA,9.38e-05
"LRRC8B","Stem-cell-iPSC","OCD","Wald ratio",1," 0.007","0.041","1.007","8.65e-01",NA,NA,NA,5.15e-06
"ECHDC2","Stem-cell-iPSC","OCD","Wald ratio",1,"-0.003","0.045","0.997","9.38e-01",NA,NA,NA,6.29e-06
"LINC01362","Stem-cell-iPSC","OCD","Inverse variance weighted",2," 0.003","0.046","1.003","9.42e-01",NA,0.441640211,NA,0.018114151
"KANK4","Stem-cell-iPSC","OCD","Wald ratio",1," 0.001","0.043","1.001","9.85e-01",NA,NA,NA,1.09e-05
