"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"KIF13A","Lymphocyte","PTSD","Wald ratio",1,"-0.099","0.028","  0.905","3.94e-04",NA,NA,NA,0.801884844
"KIF13A","Lymphocyte","PTSD","Wald ratio",1,"-0.069","0.019","  0.934","3.94e-04",NA,NA,NA,0.801884844
"COLEC11","Lymphocyte","PTSD","Wald ratio",1," 0.091","0.026","  1.095","3.96e-04",NA,NA,NA,0.850153567
"LOC80154","Lymphocyte","PTSD","Wald ratio",1,"-0.085","0.025","  0.919","8.34e-04",NA,NA,NA,0.680188295
"SLC2A8","Lymphocyte","PTSD","Wald ratio",1," 0.067","0.021","  1.069","1.50e-03",NA,NA,NA,0.588127031
"SMAD3","Lymphocyte","PTSD","Wald ratio",1,"-0.056","0.018","  0.946","1.83e-03",NA,NA,NA,0.490989025
"CDK6","Lymphocyte","PTSD","Wald ratio",1,"-0.104","0.034","  0.901","2.17e-03",NA,NA,NA,0.553207759
"FOXF1","Lymphocyte","PTSD","Wald ratio",1," 0.392","0.128","  1.480","2.17e-03",NA,NA,NA,0.490404942
"TFCP2L1","Lymphocyte","PTSD","Wald ratio",1," 0.107","0.036","  1.113","2.60e-03",NA,NA,NA,0.448254386
"PARP14","Lymphocyte","PTSD","Wald ratio",1,"-0.273","0.091","  0.761","2.61e-03",NA,NA,NA,0.451805055
"PLCG1","Lymphocyte","PTSD","Wald ratio",1,"-0.102","0.034","  0.903","2.61e-03",NA,NA,NA,0.462163282
"C5orf13","Lymphocyte","PTSD","Wald ratio",1,"-0.076","0.026","  0.927","2.88e-03",NA,NA,NA,0.382000065
"SLC44A2","Lymphocyte","PTSD","Inverse variance weighted",2," 0.037","0.013","  1.038","3.33e-03",NA,0.564918352,NA,0.036032924
"MATN3","Lymphocyte","PTSD","Wald ratio",1,"-0.081","0.028","  0.923","3.81e-03",NA,NA,NA,0.33827494
"ATP6V0E2","Lymphocyte","PTSD","Wald ratio",1,"-0.079","0.028","  0.924","4.29e-03",NA,NA,NA,0.305649053
"ATP6V0E2","Lymphocyte","PTSD","Wald ratio",1,"-0.090","0.032","  0.914","4.29e-03",NA,NA,NA,0.305649053
"ATP6V0E2","Lymphocyte","PTSD","Wald ratio",1,"-0.045","0.016","  0.956","4.29e-03",NA,NA,NA,0.305649053
"TTC24","Lymphocyte","PTSD","Wald ratio",1," 0.050","0.018","  1.051","4.61e-03",NA,NA,NA,0.31057235
"SOBP","Lymphocyte","PTSD","Wald ratio",1,"-0.091","0.033","  0.913","4.93e-03",NA,NA,NA,0.415609305
"TTBK1","Lymphocyte","PTSD","Wald ratio",1," 0.127","0.045","  1.135","5.29e-03",NA,NA,NA,0.382541383
"METTL13","Lymphocyte","PTSD","Wald ratio",1,"-0.070","0.025","  0.932","5.48e-03",NA,NA,NA,0.295562587
"MEF2D","Lymphocyte","PTSD","Wald ratio",1,"-0.190","0.069","  0.827","5.64e-03",NA,NA,NA,0.258133545
"ECHDC3","Lymphocyte","PTSD","Wald ratio",1,"-0.914","0.332","  0.401","5.91e-03",NA,NA,NA,0.262817594
"TRPV1","Lymphocyte","PTSD","Wald ratio",1," 0.050","0.018","  1.051","6.44e-03",NA,NA,NA,0.249151023
"TSHR","Lymphocyte","PTSD","Wald ratio",1,"-0.098","0.036","  0.906","6.81e-03",NA,NA,NA,0.225077714
"AIM2","Lymphocyte","PTSD","Wald ratio",1,"-0.110","0.041","  0.896","7.01e-03",NA,NA,NA,0.362440401
"FBXO31","Lymphocyte","PTSD","Inverse variance weighted",2,"-0.050","0.019","  0.951","7.08e-03",NA,0.863547075,NA,0.069127222
"EHF","Lymphocyte","PTSD","Inverse variance weighted",2," 0.049","0.018","  1.050","7.32e-03",NA,0.339289277,NA,0.310782754
"SORBS2","Lymphocyte","PTSD","Wald ratio",1," 0.044","0.016","  1.044","7.42e-03",NA,NA,NA,0.217131506
"PREX1","Lymphocyte","PTSD","Wald ratio",1,"-0.111","0.042","  0.895","7.55e-03",NA,NA,NA,0.252424738
