"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"ATIC","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.073","0.022","0.930","8.03e-04",NA,NA,NA,0.68166334
"KIAA1211","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.080","0.025","0.923","1.24e-03",NA,NA,NA,0.580472831
"SELENBP1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.133","0.045","0.876","3.10e-03",NA,NA,NA,0.304278883
"NUDT2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.081","0.027","0.922","3.20e-03",NA,NA,NA,0.435660347
"GALNT3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.066","0.024","1.068","5.05e-03",NA,NA,NA,0.269137426
"CCBL2","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.049","0.018","1.050","5.84e-03",NA,NA,NA,0.24419351
"OXSR1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.112","0.042","1.118","7.07e-03",NA,NA,NA,0.108720569
"MCOLN2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.056","0.021","0.946","8.68e-03",NA,NA,NA,0.000693779
"CUL4A","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.079","0.031","1.082","1.17e-02",NA,NA,NA,0.069411905
"FBXL18","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.091","0.036","0.913","1.23e-02",NA,NA,NA,0.066415433
"AACS","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.123","0.049","1.131","1.27e-02",NA,NA,NA,0.040888335
"KHK","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.064","0.026","0.938","1.34e-02",NA,NA,NA,0.101119466
"COIL","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.110","0.045","1.116","1.56e-02",NA,NA,NA,0.021709249
"KIAA1524","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.108","0.045","0.898","1.61e-02",NA,NA,NA,0.010665511
"IWS1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.100","0.043","1.106","1.92e-02",NA,NA,NA,0.001504238
"COA1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.078","0.034","0.925","2.30e-02",NA,NA,NA,0.088360497
"TP53I3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.086","0.038","1.090","2.35e-02",NA,NA,NA,0.026050634
"ATAD3A","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.220","0.097","1.246","2.38e-02",NA,NA,NA,0.012948761
"TTC27","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.077","0.034","1.080","2.47e-02",NA,NA,NA,0.060937528
"PPP2R4","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.076","0.034","1.079","2.57e-02",NA,NA,NA,0.134837734
"DCP1B","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.068","0.031","1.071","2.67e-02",NA,NA,NA,0.018308029
"GAA","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.061","0.028","1.063","2.85e-02",NA,NA,NA,0.076076054
"CSE1L","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.159","0.074","1.173","3.03e-02",NA,NA,NA,0.009464258
"MYLK","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.053","0.025","1.054","3.05e-02",NA,NA,NA,0.070594679
"CPNE1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.033","0.015","1.034","3.24e-02",NA,NA,NA,0.100805533
"LRPPRC","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.043","0.021","1.044","3.70e-02",NA,NA,NA,0.06148547
"ATP1A3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.074","0.036","1.077","4.08e-02",NA,NA,NA,0.006199758
"CALB1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.072","0.035","1.075","4.14e-02",NA,NA,NA,0.046755749
"MCCC1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.063","0.031","0.939","4.25e-02",NA,NA,NA,0.003816509
"NUDT7","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.051","0.025","0.950","4.33e-02",NA,NA,NA,0.001272138
"ANKMY2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.062","0.032","0.940","5.47e-02",NA,NA,NA,0.030242706
"TRIM68","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.057","0.031","0.944","6.14e-02",NA,NA,NA,0.000422204
"CYB5R2","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.074","0.040","1.077","6.45e-02",NA,NA,NA,0.036280336
"DEPDC1B","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.057","0.031","0.945","6.53e-02",NA,NA,NA,0.000593286
"MMAB","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.036","0.020","1.036","6.75e-02",NA,NA,NA,0.042379373
"FARSB","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.050","0.027","1.051","6.83e-02",NA,NA,NA,0.03841516
"MZT2A","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.049","0.027","0.952","6.91e-02",NA,NA,NA,0.003510731
"EEFSEC","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.064","0.035","1.066","7.05e-02",NA,NA,NA,0.003482278
"TMEM87B","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.067","0.038","0.935","7.66e-02",NA,NA,NA,0.002522087
"DNAJC15","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.032","0.018","0.969","7.69e-02",NA,NA,NA,0.039120362
"PPAP2C","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.059","0.033","0.943","8.01e-02",NA,NA,NA,0.001999537
"LRRTM4","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.040","0.023","0.961","8.22e-02",NA,NA,NA,0.000182662
"PNMAL1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.052","0.030","0.949","8.53e-02",NA,NA,NA,0.03207927
"VWDE","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.039","0.023","0.961","8.61e-02",NA,NA,NA,0.030937963
"BST2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.086","0.050","0.918","8.62e-02",NA,NA,NA,0.0128223
