"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"OSBP2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.268","0.070","0.765","1.21e-04",NA,NA,NA,0.0288562
"LYRM4","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.151","0.043","0.860","4.76e-04",NA,NA,NA,0.765940505
"GMDS","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.148","0.044","0.863","7.40e-04",NA,NA,NA,0.001359873
"BUD13","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.062","0.019","0.940","8.04e-04",NA,NA,NA,0.248008013
"PSMG1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.104","0.033","0.901","1.78e-03",NA,NA,NA,0.0025639
"SH3RF3","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.135","0.044","1.145","2.12e-03",NA,NA,NA,0.343706417
"RBM48P1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.081","0.027","1.084","2.32e-03",NA,NA,NA,0.000204116
"MEF2D","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.083","0.028","0.920","2.60e-03",NA,NA,NA,0.335243914
"SLC38A6","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.068","0.023","1.070","3.17e-03",NA,NA,NA,0.000997638
"RTN4","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.114","0.039","0.892","3.68e-03",NA,NA,NA,0.002601387
"CHFR","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.091","0.032","1.095","4.20e-03",NA,NA,NA,0.001527153
"NCF2","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.148","0.053","1.159","5.04e-03",NA,NA,NA,0.09662426
"FGD4","Stem-cell-iPSC","PTSD","Inverse variance weighted",2,"-0.046","0.016","0.955","5.15e-03",NA,0.630459639,NA,0.000113801
"INADL","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.055","0.020","1.057","5.58e-03",NA,NA,NA,0.038092662
"RIIAD1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.079","0.029","1.082","5.92e-03",NA,NA,NA,0.032297633
"YBX1P6","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.195","0.071","1.216","6.14e-03",NA,NA,NA,0.124578888
"SERPINB9P1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.099","0.037","0.906","8.46e-03",NA,NA,NA,0.002237055
"CACNG6","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.141","0.054","0.868","9.18e-03",NA,NA,NA,0.000542162
"NAMA","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.124","0.048","0.883","9.79e-03",NA,NA,NA,0.00096024
"LINC01040","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.057","0.022","1.059","9.88e-03",NA,NA,NA,0.000816402
"EGFEM1P","Stem-cell-iPSC","PTSD","Inverse variance weighted",2,"-0.058","0.022","0.944","1.02e-02",NA,0.818913493,NA,4.43e-05
"LINC00376","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.056","0.022","1.058","1.06e-02",NA,NA,NA,0.003670493
"FAM227A","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.048","0.019","0.953","1.12e-02",NA,NA,NA,0.00048619
"RNU4-77P","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.155","0.062","1.168","1.22e-02",NA,NA,NA,0.068106436
"CSMD2","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.070","0.028","0.933","1.23e-02",NA,NA,NA,5.96e-05
"MIR3924","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.062","0.025","0.940","1.23e-02",NA,NA,NA,8.96e-05
"POLD2P1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.078","0.031","1.081","1.33e-02",NA,NA,NA,0.006292668
"C2orf88","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.059","0.024","1.061","1.40e-02",NA,NA,NA,0.062301117
"CAST","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.195","0.079","1.215","1.41e-02",NA,NA,NA,0.002501356
"CCDC6","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.100","0.041","1.105","1.43e-02",NA,NA,NA,0.010760616
"DOCK4","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.070","0.029","0.932","1.44e-02",NA,NA,NA,4.2e-05
"RN7SL361P","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.119","0.049","1.127","1.44e-02",NA,NA,NA,0.104225468
"KIAA1328","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.123","0.051","0.884","1.63e-02",NA,NA,NA,0.000750092
"FARP1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.106","0.044","0.900","1.73e-02",NA,NA,NA,0.000758534
"SPOCK3","Stem-cell-iPSC","PTSD","Inverse variance weighted",2,"-0.098","0.042","0.906","1.91e-02",NA,0.3793383,NA,1.04e-05
"ELMO1","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.092","0.039","1.097","1.93e-02",NA,NA,NA,0.001319135
"HTRA1","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.127","0.055","0.880","2.00e-02",NA,NA,NA,0.000287461
"RPL5P28","Stem-cell-iPSC","PTSD","Wald ratio",1,"-0.143","0.062","0.867","2.07e-02",NA,NA,NA,0.110575036
"KCNC4","Stem-cell-iPSC","PTSD","Wald ratio",1," 0.059","0.025","1.060","2.09e-02",NA,NA,NA,0.000254514
