"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"FURIN","Excitatory neurons","SCZ","Wald ratio",1,-0.399,0.042,0.671,2.73e-21,NA,NA,NA,0.771851248
"BTN3A1","Microglia","SCZ","Wald ratio",1,-0.246,0.03,0.782,1.15e-16,NA,NA,NA,0.156372925
"WBP2NL","Excitatory neurons","SCZ","Wald ratio",1,0.115,0.017,1.122,3.55e-12,NA,NA,NA,0.999999992
"CNNM2","Oligodendrocytes","SCZ","Wald ratio",1,0.239,0.034,1.27,3.82e-12,NA,NA,NA,0.695238507
"ARL3","OPCs / COPs","SCZ","Wald ratio",1,-0.309,0.044,0.734,3.82e-12,NA,NA,NA,0.089938356
"AC138696.1","Endothelial cells","SCZ","Wald ratio",1,0.141,0.021,1.151,9.2e-12,NA,NA,NA,0.111444465
"LINC01068","Oligodendrocytes","SCZ","Wald ratio",1,-0.093,0.014,0.911,4.89e-11,NA,NA,NA,0.999999901
"ZNF823","Inhibitory neurons","SCZ","Wald ratio",1,0.144,0.023,1.155,3.53e-10,NA,NA,NA,0.17640866
"ZNF823","Excitatory neurons","SCZ","Wald ratio",1,0.194,0.031,1.214,3.53e-10,NA,NA,NA,0.263109854
"AC093297.2","Excitatory neurons","SCZ","Wald ratio",1,-0.209,0.034,0.811,5.89e-10,NA,NA,NA,0.909215007
"MRPS30","Inhibitory neurons","SCZ","Wald ratio",1,-0.281,0.045,0.755,5.89e-10,NA,NA,NA,0.133764954
"SLCO4C1","Excitatory neurons","SCZ","Wald ratio",1,-0.162,0.027,0.851,2.42e-09,NA,NA,NA,0.940481833
"LINC00862","Oligodendrocytes","SCZ","Wald ratio",1,0.237,0.04,1.267,2.79e-09,NA,NA,NA,0.490744193
"IGSF9B","Inhibitory neurons","SCZ","Wald ratio",1,-0.217,0.037,0.805,6.44e-09,NA,NA,NA,0.574374578
"ZNF391","OPCs / COPs","SCZ","Wald ratio",1,-0.111,0.019,0.895,7.48e-09,NA,NA,NA,0.92438537
"ZNF391","Microglia","SCZ","Wald ratio",1,-0.133,0.023,0.876,7.48e-09,NA,NA,NA,0.509869888
"ZNF536","Inhibitory neurons","SCZ","Wald ratio",1,0.453,0.081,1.572,2.58e-08,NA,NA,NA,0.080911314
