"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ZKSCAN8","Lymphocyte","SCZ","Wald ratio",1,-0.09,0.011,0.914,1.75e-16,NA,NA,NA,0.999993828
"NT5DC2","Lymphocyte","SCZ","Wald ratio",1,0.137,0.018,1.147,5.54e-15,NA,NA,NA,0.999990309
"ANKRD44","Lymphocyte","SCZ","Wald ratio",1,0.103,0.017,1.109,1.49e-09,NA,NA,NA,0.999987715
"DND1P1","Lymphocyte","SCZ","Wald ratio",1,0.051,0.009,1.053,1.74e-08,NA,NA,NA,0.999925491
"AGO3","Lymphocyte","SCZ","Wald ratio",1,0.048,0.009,1.05,2.43e-07,NA,NA,NA,0.987961873
"DENND4B","Lymphocyte","SCZ","Wald ratio",1,-0.02,0.004,0.98,2.59e-07,NA,NA,NA,0.999586633
"TRAF3IP2","Lymphocyte","SCZ","Wald ratio",1,0.045,0.009,1.046,5.42e-07,NA,NA,NA,0.837384752
"CRELD2","Lymphocyte","SCZ","Wald ratio",1,-0.054,0.011,0.948,1.05e-06,NA,NA,NA,0.998581754
"RERE","Lymphocyte","SCZ","Wald ratio",1,0.052,0.012,1.053,1.18e-05,NA,NA,NA,0.808415214
"ADAMTSL3","Lymphocyte","SCZ","Wald ratio",1,-0.046,0.011,0.955,3e-05,NA,NA,NA,0.464551042
"AC064834.2","Lymphocyte","SCZ","Wald ratio",1,-0.06,0.014,0.942,3.21e-05,NA,NA,NA,0.825143114
"RABEP1","Lymphocyte","SCZ","Wald ratio",1,0.062,0.016,1.064,6.96e-05,NA,NA,NA,0.924191374
"GCH1","Lymphocyte","SCZ","Wald ratio",1,-0.086,0.023,0.918,0.000172,NA,NA,NA,0.833583002
"PAX5","Lymphocyte","SCZ","Wald ratio",1,-0.056,0.016,0.946,0.000411,NA,NA,NA,0.686463445
"ALG8","Lymphocyte","SCZ","Wald ratio",1,-0.029,0.008,0.972,0.000425,NA,NA,NA,0.672442294
"RP11-716O23.2","Lymphocyte","SCZ","Wald ratio",1,0.06,0.017,1.062,0.000455,NA,NA,NA,0.591548118
"CENPM","Lymphocyte","SCZ","Wald ratio",1,-0.084,0.024,0.92,0.000505,NA,NA,NA,0.201243641
"SAMD3","Lymphocyte","SCZ","Wald ratio",1,0.012,0.004,1.012,0.000689,NA,NA,NA,0.607176835
"SERINC4","Lymphocyte","SCZ","Wald ratio",1,-0.037,0.011,0.964,0.00076,NA,NA,NA,0.124648542
"DCPS","Lymphocyte","SCZ","Wald ratio",1,-0.036,0.011,0.964,0.001,NA,NA,NA,0.481615201
"GPATCH2L","Lymphocyte","SCZ","Wald ratio",1,-0.034,0.01,0.966,0.00112,NA,NA,NA,0.000664646
"SPTBN1","Lymphocyte","SCZ","Wald ratio",1,0.059,0.019,1.061,0.00144,NA,NA,NA,0.445718708
"TMEM50B","Lymphocyte","SCZ","Wald ratio",1,0.045,0.014,1.046,0.0015,NA,NA,NA,0.053187684
"RP1-152L7.5","Lymphocyte","SCZ","Wald ratio",1,0.042,0.014,1.043,0.00241,NA,NA,NA,0.208938985
"CIZ1","Lymphocyte","SCZ","Wald ratio",1,0.039,0.013,1.04,0.00251,NA,NA,NA,0.030612795
"RPS16","Lymphocyte","SCZ","Wald ratio",1,0.02,0.007,1.02,0.0027,NA,NA,NA,0.000687944
"SYNE3","Lymphocyte","SCZ","Wald ratio",1,-0.044,0.015,0.957,0.00291,NA,NA,NA,0.256181469
"LRRC16A","Lymphocyte","SCZ","Wald ratio",1,-0.023,0.008,0.978,0.00314,NA,NA,NA,0.25491452
"MYO5A","Lymphocyte","SCZ","Wald ratio",1,0.031,0.01,1.031,0.00319,NA,NA,NA,0.306133058
"KLC1","Lymphocyte","SCZ","Wald ratio",1,0.03,0.01,1.03,0.00343,NA,NA,NA,0.251643691
"ISPD","Lymphocyte","SCZ","Wald ratio",1,0.022,0.007,1.022,0.00349,NA,NA,NA,0.000791902
"FKBP2","Lymphocyte","SCZ","Wald ratio",1,0.028,0.01,1.029,0.0036,NA,NA,NA,0.203826657
"THEM6","Lymphocyte","SCZ","Wald ratio",1,-0.047,0.016,0.954,0.00417,NA,NA,NA,0.009407239
"MIR550A2","Lymphocyte","SCZ","Wald ratio",1,-0.018,0.007,0.982,0.0048,NA,NA,NA,0.234012484
"WDR18","Lymphocyte","SCZ","Wald ratio",1,-0.05,0.018,0.951,0.00561,NA,NA,NA,0.172823464
"PTPN14","Lymphocyte","SCZ","Wald ratio",1,0.033,0.012,1.034,0.00576,NA,NA,NA,0.001380072
"DUSP16","Lymphocyte","SCZ","Wald ratio",1,0.041,0.015,1.042,0.0065,NA,NA,NA,0.162528253
"CLASP1","Lymphocyte","SCZ","Wald ratio",1,0.025,0.01,1.026,0.00765,NA,NA,NA,0.002148952
"TBXAS1","Lymphocyte","SCZ","Wald ratio",1,-0.026,0.01,0.974,0.00819,NA,NA,NA,0.010017779
"TSHZ1","Lymphocyte","SCZ","Wald ratio",1,-0.016,0.006,0.984,0.00895,NA,NA,NA,0.117386388
"GFOD1","Lymphocyte","SCZ","Wald ratio",1,-0.045,0.017,0.956,0.009,NA,NA,NA,0.100146617
"FMNL2","Lymphocyte","SCZ","Wald ratio",1,0.028,0.011,1.028,0.00991,NA,NA,NA,0.011104246
"CTTNBP2NL","Lymphocyte","SCZ","Wald ratio",1,0.019,0.007,1.019,0.0103,NA,NA,NA,0.013593613
"TMTC4","Lymphocyte","SCZ","Wald ratio",1,-0.033,0.013,0.968,0.0113,NA,NA,NA,0.103226434
"UCK2","Lymphocyte","SCZ","Wald ratio",1,-0.024,0.01,0.976,0.0116,NA,NA,NA,0.095282354
"ANKH","Lymphocyte","SCZ","Wald ratio",1,0.013,0.005,1.013,0.0126,NA,NA,NA,0.002044058
"C1orf100","Lymphocyte","SCZ","Wald ratio",1,-0.013,0.005,0.987,0.0136,NA,NA,NA,0.086500127
"OSTF1","Lymphocyte","SCZ","Wald ratio",1,-0.034,0.014,0.967,0.0138,NA,NA,NA,0.019346669
"AGPAT3","Lymphocyte","SCZ","Wald ratio",1,-0.043,0.018,0.958,0.0139,NA,NA,NA,0.022967526
"DSCR9","Lymphocyte","SCZ","Wald ratio",1,-0.065,0.027,0.937,0.0142,NA,NA,NA,0.072223472
"GPR133","Lymphocyte","SCZ","Wald ratio",1,0.027,0.011,1.028,0.0147,NA,NA,NA,0.081387875
"USP48","Lymphocyte","SCZ","Wald ratio",1,-0.044,0.018,0.957,0.0148,NA,NA,NA,0.088365263
"MRPL28","Lymphocyte","SCZ","Wald ratio",1,-0.039,0.016,0.962,0.0157,NA,NA,NA,0.066487304
"ANKRD33B","Lymphocyte","SCZ","Wald ratio",1,-0.058,0.024,0.944,0.0168,NA,NA,NA,0.07013632
"STIL","Lymphocyte","SCZ","Wald ratio",1,0.033,0.014,1.034,0.0175,NA,NA,NA,0.005589625
"NOX3","Lymphocyte","SCZ","Wald ratio",1,-0.038,0.016,0.962,0.018,NA,NA,NA,0.015399951
"SPATA20","Lymphocyte","SCZ","Wald ratio",1,-0.03,0.013,0.97,0.0185,NA,NA,NA,0.007282312
"HSPA4","Lymphocyte","SCZ","Wald ratio",1,0.027,0.012,1.028,0.0189,NA,NA,NA,0.046184089
"TCEB1P28","Lymphocyte","SCZ","Wald ratio",1,0.043,0.018,1.044,0.0203,NA,NA,NA,0.011938099
"KIFAP3","Lymphocyte","SCZ","Wald ratio",1,0.034,0.015,1.035,0.021,NA,NA,NA,0.002434328
"TRIM47","Lymphocyte","SCZ","Wald ratio",1,0.017,0.008,1.017,0.0243,NA,NA,NA,0.059806559
"MKRN2","Lymphocyte","SCZ","Wald ratio",1,-0.03,0.014,0.97,0.0256,NA,NA,NA,0.009535307
"TRAK1","Lymphocyte","SCZ","Wald ratio",1,-0.011,0.005,0.989,0.0282,NA,NA,NA,5.6e-05
"RP11-473I1.6","Lymphocyte","SCZ","Wald ratio",1,0.029,0.013,1.03,0.0289,NA,NA,NA,7.31e-05
"VPS13C","Lymphocyte","SCZ","Wald ratio",1,0.03,0.014,1.031,0.029,NA,NA,NA,0.044773752
"PPP4R2","Lymphocyte","SCZ","Wald ratio",1,0.036,0.017,1.037,0.0318,NA,NA,NA,0.040435477
"PRKCE","Lymphocyte","SCZ","Wald ratio",1,0.033,0.015,1.034,0.0325,NA,NA,NA,0.009583249
"DMXL2","Lymphocyte","SCZ","Wald ratio",1,-0.017,0.008,0.983,0.0334,NA,NA,NA,0.012564808
"CLTCL1","Lymphocyte","SCZ","Wald ratio",1,-0.027,0.013,0.973,0.0344,NA,NA,NA,0.000593101
"LL22NC03-30E12.13","Lymphocyte","SCZ","Wald ratio",1,0.023,0.011,1.024,0.0346,NA,NA,NA,0.039216209
"CCS","Lymphocyte","SCZ","Wald ratio",1,0.01,0.005,1.01,0.0353,NA,NA,NA,4.8e-05
"RP11-542M13.2","Lymphocyte","SCZ","Wald ratio",1,0.019,0.009,1.02,0.0354,NA,NA,NA,0.031997494
"RP5-940F7.2","Lymphocyte","SCZ","Wald ratio",1,-0.017,0.008,0.983,0.0375,NA,NA,NA,0.039550619
"BHLHE23","Lymphocyte","SCZ","Wald ratio",1,0.022,0.011,1.022,0.0388,NA,NA,NA,0.00013139
"ZMIZ2","Lymphocyte","SCZ","Wald ratio",1,-0.021,0.01,0.979,0.042,NA,NA,NA,0.033090498
"EXOSC9","Lymphocyte","SCZ","Wald ratio",1,0.03,0.015,1.031,0.0432,NA,NA,NA,0.003826009
"AC079630.2","Lymphocyte","SCZ","Wald ratio",1,-0.021,0.01,0.979,0.0444,NA,NA,NA,0.034049596
"RP11-179A10.1","Lymphocyte","SCZ","Wald ratio",1,-0.018,0.009,0.983,0.0444,NA,NA,NA,0.007487181
"IKZF1","Lymphocyte","SCZ","Wald ratio",1,-0.028,0.014,0.973,0.0455,NA,NA,NA,0.001675979
"MTFR1","Lymphocyte","SCZ","Wald ratio",1,-0.039,0.019,0.962,0.0464,NA,NA,NA,0.032744246
