"Gene","Tissue","Psychiatric disorder","Method","Nsnp","Beta","SE","OR","P-value","Q_Pvalue(MREgger)","Q_Pvalue(IVW)","P-value(Intercept)","PPH4"
"HAPLN4","Lymphocyte","SCZ","Wald ratio",1,"-0.750","0.105","  0.472","7.66e-13",NA,NA,NA,0.999999998
"KIAA0892","Lymphocyte","SCZ","Wald ratio",1,"-5.864","0.818","  0.003","7.66e-13",NA,NA,NA,0.999999998
"VSIG2","Lymphocyte","SCZ","Wald ratio",1," 0.080","0.012","  1.083","1.38e-11",NA,NA,NA,0.999999331
"NRGN","Lymphocyte","SCZ","Wald ratio",1," 0.081","0.012","  1.084","1.38e-11",NA,NA,NA,0.999731027
"ITIH4","Lymphocyte","SCZ","Wald ratio",1," 0.089","0.014","  1.093","7.54e-11",NA,NA,NA,0.999999869
"AS3MT","Lymphocyte","SCZ","Wald ratio",1," 0.107","0.018","  1.113","1.12e-09",NA,NA,NA,0.999997924
"MAD1L1","Lymphocyte","SCZ","Inverse variance weighted",2,"-0.051","0.008","  0.950","1.57e-09",NA,0.26104682,NA,0.838250468
"TSNARE1","Lymphocyte","SCZ","Wald ratio",1," 0.052","0.009","  1.053","3.49e-09",NA,NA,NA,0.99999362
"PLCL2","Lymphocyte","SCZ","Wald ratio",1,"-0.099","0.017","  0.906","5.48e-09",NA,NA,NA,0.999990423
"PLCL2","Lymphocyte","SCZ","Wald ratio",1,"-0.064","0.011","  0.938","5.48e-09",NA,NA,NA,0.999990423
"ABCB9","Lymphocyte","SCZ","Wald ratio",1,"-0.056","0.010","  0.945","7.14e-09",NA,NA,NA,0.99998707
"ABCB9","Lymphocyte","SCZ","Wald ratio",1,"-0.269","0.047","  0.764","7.14e-09",NA,NA,NA,0.999988226
"ARL6IP4","Lymphocyte","SCZ","Wald ratio",1,"-0.061","0.010","  0.941","7.14e-09",NA,NA,NA,0.999988226
"ARL6IP4","Lymphocyte","SCZ","Wald ratio",1,"-1.067","0.184","  0.344","7.14e-09",NA,NA,NA,0.999988226
"MAP7D1","Lymphocyte","SCZ","Wald ratio",1," 0.355","0.064","  1.426","2.78e-08",NA,NA,NA,0.99995516
"TRAPPC3","Lymphocyte","SCZ","Wald ratio",1," 0.124","0.022","  1.132","2.78e-08",NA,NA,NA,0.99995516
"LOC339674","Lymphocyte","SCZ","Wald ratio",1," 0.113","0.020","  1.120","2.82e-08",NA,NA,NA,0.999952081
"ALMS1P","Lymphocyte","SCZ","Wald ratio",1,"-0.076","0.014","  0.927","3.04e-08",NA,NA,NA,0.999955493
"ELAC2","Lymphocyte","SCZ","Wald ratio",1,"-1.713","0.319","  0.180","7.76e-08",NA,NA,NA,0.999889181
"CYP7B1","Lymphocyte","SCZ","Wald ratio",1," 0.064","0.012","  1.066","1.50e-07",NA,NA,NA,0.999759083
"SNX19","Lymphocyte","SCZ","Wald ratio",1," 0.074","0.015","  1.077","3.99e-07",NA,NA,NA,0.999373656
"NDRG4","Lymphocyte","SCZ","Wald ratio",1," 0.113","0.023","  1.120","7.69e-07",NA,NA,NA,0.998849952
"TNXB","Lymphocyte","SCZ","Wald ratio",1,"-0.112","0.023","  0.894","1.25e-06",NA,NA,NA,0.998244093
"SLC44A4","Lymphocyte","SCZ","Wald ratio",1,"-0.179","0.037","  0.836","1.25e-06",NA,NA,NA,0.998244278
"CACNA2D4","Lymphocyte","SCZ","Inverse variance weighted",2," 0.061","0.013","  1.063","1.82e-06",NA,0.584432826,NA,0.038627131
