"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CDC20","Microglia","ADHD","Wald ratio",1,0.394,0.051,1.483,1.2e-14,NA,NA,NA,0.090382377
"PTPRF","Astrocytes","ADHD","Wald ratio",1,0.395,0.054,1.485,2.43e-13,NA,NA,NA,0.104926468
"PPIH","Oligodendrocytes","ADHD","Wald ratio",1,0.228,0.036,1.255,2.31e-10,NA,NA,NA,0.118591679
"SLC6A9","Astrocytes","ADHD","Wald ratio",1,0.275,0.044,1.316,3.39e-10,NA,NA,NA,0.104312027
"ST3GAL3","Endothelial cells","ADHD","Wald ratio",1,0.312,0.05,1.366,4.73e-10,NA,NA,NA,0.085416838
"LINC02060","Astrocytes","ADHD","Wald ratio",1,0.197,0.033,1.217,3.11e-09,NA,NA,NA,0.561266992
"EIF2B3","Astrocytes","ADHD","Wald ratio",1,-0.315,0.055,0.73,7.8e-09,NA,NA,NA,0.085253889
"RECQL4","Inhibitory neurons","ADHD","Wald ratio",1,0.271,0.048,1.311,1.77e-08,NA,NA,NA,0.09525003
"AC090833.1","OPCs / COPs","ADHD","Wald ratio",1,0.18,0.032,1.197,2.58e-08,NA,NA,NA,0.085881357
"RUNX1T1","Inhibitory neurons","ADHD","Wald ratio",1,-0.262,0.047,0.77,3.16e-08,NA,NA,NA,0.090735565
"LSM6","Oligodendrocytes","ADHD","Wald ratio",1,0.18,0.033,1.198,4.24e-08,NA,NA,NA,0.221291998
"LSM6","Excitatory neurons","ADHD","Wald ratio",1,0.165,0.03,1.179,4.24e-08,NA,NA,NA,0.999936677
"LSM6","Astrocytes","ADHD","Wald ratio",1,0.229,0.042,1.257,4.24e-08,NA,NA,NA,0.118244909
"SCRT1","Inhibitory neurons","ADHD","Wald ratio",1,0.381,0.07,1.463,6.58e-08,NA,NA,NA,0.076919617
"PIDD1","Excitatory neurons","ADHD","Wald ratio",1,0.318,0.06,1.374,1.32e-07,NA,NA,NA,0.360415133
"TIE1","Oligodendrocytes","ADHD","Wald ratio",1,0.17,0.033,1.185,1.7e-07,NA,NA,NA,0.085633807
"ELOVL1","Oligodendrocytes","ADHD","Wald ratio",1,0.344,0.066,1.411,1.7e-07,NA,NA,NA,0.181959712
"HYAL3","Endothelial cells","ADHD","Wald ratio",1,-0.16,0.031,0.852,1.75e-07,NA,NA,NA,0.072279146
"LINC01550","Astrocytes","ADHD","Wald ratio",1,0.226,0.044,1.254,2.79e-07,NA,NA,NA,0.094962642
"MED8","Oligodendrocytes","ADHD","Wald ratio",1,-0.41,0.08,0.664,3.13e-07,NA,NA,NA,0.070333724
"U73166.1","Astrocytes","ADHD","Wald ratio",1,0.257,0.051,1.293,3.97e-07,NA,NA,NA,0.060438458
"GMPPB","Astrocytes","ADHD","Wald ratio",1,0.172,0.034,1.188,3.97e-07,NA,NA,NA,0.485836334
"HEMK1","Microglia","ADHD","Wald ratio",1,-0.177,0.035,0.838,5.73e-07,NA,NA,NA,0.060912014
"RNF123","Oligodendrocytes","ADHD","Wald ratio",1,0.23,0.046,1.259,7.12e-07,NA,NA,NA,0.04588324
