"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CASP8","Excitatory neurons","ASD","Wald ratio",1,0.093,0.021,1.098,1.27e-05,NA,NA,NA,0.990040106
"KANSL1","OPCs / COPs","ASD","Wald ratio",1,0.057,0.013,1.058,1.78e-05,NA,NA,NA,0.987814654
"KANSL1","Microglia","ASD","Wald ratio",1,0.073,0.017,1.076,1.78e-05,NA,NA,NA,0.987805937
"RNPC3","Oligodendrocytes","ASD","Wald ratio",1,-0.451,0.106,0.637,2.25e-05,NA,NA,NA,0.004268582
"AL356272.1","Excitatory neurons","ASD","Wald ratio",1,-0.343,0.081,0.71,2.54e-05,NA,NA,NA,0.005201845
"ABCA1","Endothelial cells","ASD","Wald ratio",1,0.176,0.043,1.193,3.36e-05,NA,NA,NA,0.010633993
"ABHD13","OPCs / COPs","ASD","Wald ratio",1,-0.216,0.054,0.806,6.67e-05,NA,NA,NA,0.0024814
"LIFR","Oligodendrocytes","ASD","Wald ratio",1,0.237,0.063,1.267,0.000184,NA,NA,NA,0.008260095
"APBA3","Astrocytes","ASD","Wald ratio",1,0.272,0.073,1.312,0.000195,NA,NA,NA,0.000749875
"ESYT2","Pericytes","ASD","Wald ratio",1,-0.141,0.038,0.868,0.000244,NA,NA,NA,0.000927914
"MANBA","Oligodendrocytes","ASD","Wald ratio",1,0.185,0.05,1.203,0.000246,NA,NA,NA,0.00677191
"DNM1","Excitatory neurons","ASD","Wald ratio",1,0.242,0.066,1.274,0.000268,NA,NA,NA,0.065973665
"XYLT1","Astrocytes","ASD","Wald ratio",1,-0.247,0.068,0.781,0.000308,NA,NA,NA,0.000588033
"SPDYE2","Excitatory neurons","ASD","Wald ratio",1,0.228,0.063,1.256,0.000318,NA,NA,NA,0.004430082
"HMMR","Oligodendrocytes","ASD","Wald ratio",1,0.167,0.047,1.182,0.000343,NA,NA,NA,0.000805145
"DZIP3","OPCs / COPs","ASD","Wald ratio",1,-0.237,0.066,0.789,0.000372,NA,NA,NA,0.000452673
"DACT2","Oligodendrocytes","ASD","Wald ratio",1,-0.124,0.035,0.883,0.000442,NA,NA,NA,0.000928316
"TMEM33","Inhibitory neurons","ASD","Wald ratio",1,0.323,0.092,1.381,0.000478,NA,NA,NA,0.001283689
"TMEM33","Excitatory neurons","ASD","Wald ratio",1,0.591,0.169,1.806,0.000478,NA,NA,NA,0.004659135
"NADK2","Inhibitory neurons","ASD","Wald ratio",1,0.27,0.078,1.31,0.000506,NA,NA,NA,0.00055463
"ALDH1A1","Astrocytes","ASD","Wald ratio",1,0.259,0.075,1.296,0.000586,NA,NA,NA,0.000260019
"AC026780.2","Inhibitory neurons","ASD","Wald ratio",1,-0.168,0.049,0.846,0.00068,NA,NA,NA,0.000387977
"TSHZ1","Oligodendrocytes","ASD","Wald ratio",1,-0.265,0.079,0.767,0.000773,NA,NA,NA,0.000334614
"LINC00909","Pericytes","ASD","Wald ratio",1,0.158,0.047,1.172,0.000773,NA,NA,NA,0.000517277
"PPIL4","Oligodendrocytes","ASD","Wald ratio",1,0.142,0.042,1.153,0.000785,NA,NA,NA,0.000669575
"AURKA","Oligodendrocytes","ASD","Wald ratio",1,0.134,0.04,1.144,0.000914,NA,NA,NA,0.000206114
"IRF2BPL","OPCs / COPs","ASD","Wald ratio",1,0.186,0.057,1.205,0.00108,NA,NA,NA,0.000174555
"AC046136.1","OPCs / COPs","ASD","Wald ratio",1,0.177,0.054,1.194,0.00109,NA,NA,NA,0.000222766
"MPPE1","Microglia","ASD","Wald ratio",1,-0.12,0.037,0.887,0.00115,NA,NA,NA,0.59100671
"MPPE1","Oligodendrocytes","ASD","Wald ratio",1,-0.074,0.023,0.929,0.00115,NA,NA,NA,0.591054938
"MPPE1","OPCs / COPs","ASD","Wald ratio",1,-0.132,0.041,0.876,0.00115,NA,NA,NA,0.1618173
"MPPE1","Excitatory neurons","ASD","Wald ratio",1,-0.092,0.028,0.912,0.00115,NA,NA,NA,0.59105494
"MPPE1","Endothelial cells","ASD","Wald ratio",1,-0.181,0.056,0.834,0.00115,NA,NA,NA,0.00018903
"MPPE1","Inhibitory neurons","ASD","Wald ratio",1,-0.101,0.031,0.904,0.00115,NA,NA,NA,0.590656108
"MPPE1","Astrocytes","ASD","Wald ratio",1,-0.082,0.025,0.921,0.00115,NA,NA,NA,0.591011318
"AC118553.2","Astrocytes","ASD","Wald ratio",1,-0.196,0.061,0.822,0.00123,NA,NA,NA,0.000253053
"EBAG9","Oligodendrocytes","ASD","Wald ratio",1,0.268,0.083,1.308,0.00128,NA,NA,NA,0.00022544
"POU3F2","OPCs / COPs","ASD","Wald ratio",1,-0.252,0.078,0.777,0.00129,NA,NA,NA,0.000125063
"TAF5","Pericytes","ASD","Wald ratio",1,-0.12,0.037,0.887,0.00131,NA,NA,NA,0.00014038
"FBXL14","Oligodendrocytes","ASD","Wald ratio",1,-0.183,0.057,0.833,0.00133,NA,NA,NA,0.000276169
"CNTNAP5","Excitatory neurons","ASD","Wald ratio",1,-0.317,0.099,0.728,0.00137,NA,NA,NA,0.000258384
"GPR27","Inhibitory neurons","ASD","Wald ratio",1,-0.263,0.082,0.769,0.00142,NA,NA,NA,0.000111401
"AJ006995.1","Inhibitory neurons","ASD","Wald ratio",1,0.196,0.062,1.217,0.00145,NA,NA,NA,0.000181554
"PLEKHF2","Inhibitory neurons","ASD","Wald ratio",1,0.161,0.051,1.175,0.00164,NA,NA,NA,0.000120177
"TRAF3IP1","Endothelial cells","ASD","Wald ratio",1,0.119,0.038,1.127,0.00177,NA,NA,NA,0.000171821
"NFATC3","Astrocytes","ASD","Wald ratio",1,-0.337,0.108,0.714,0.00182,NA,NA,NA,0.000176362
"NFATC3","Oligodendrocytes","ASD","Wald ratio",1,-0.473,0.152,0.623,0.00182,NA,NA,NA,0.000177817
"MGAT5B","Excitatory neurons","ASD","Wald ratio",1,0.233,0.075,1.262,0.00188,NA,NA,NA,0.001853377
