"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"FADS2","Oligodendrocytes","BP","Wald ratio",1,-0.161,0.024,0.851,2.92e-11,NA,NA,NA,0.896049762
"FADS1","Oligodendrocytes","BP","Wald ratio",1,-0.177,0.027,0.838,2.92e-11,NA,NA,NA,0.978636681
"FURIN","Excitatory neurons","BP","Wald ratio",1,-0.271,0.046,0.763,3.49e-09,NA,NA,NA,0.770845091
"PLEC","Inhibitory neurons","BP","Wald ratio",1,-0.193,0.033,0.825,6.08e-09,NA,NA,NA,0.985015802
"HOMER1","Excitatory neurons","BP","Wald ratio",1,0.202,0.036,1.224,1.6e-08,NA,NA,NA,0.419463908
"POU3F2","OPCs / COPs","BP","Wald ratio",1,-0.286,0.052,0.751,5.07e-08,NA,NA,NA,0.084594646
"LINC01068","Oligodendrocytes","BP","Wald ratio",1,-0.081,0.015,0.922,1.42e-07,NA,NA,NA,0.999789994
"HS1BP3","Endothelial cells","BP","Wald ratio",1,-0.117,0.023,0.89,4.38e-07,NA,NA,NA,0.058047136
"SHISA9","Inhibitory neurons","BP","Wald ratio",1,-0.296,0.059,0.744,5.18e-07,NA,NA,NA,0.054069768
"LINC01934","Excitatory neurons","BP","Wald ratio",1,0.138,0.028,1.148,5.46e-07,NA,NA,NA,0.975079949
"SLIT3","Pericytes","BP","Wald ratio",1,0.129,0.026,1.138,8.39e-07,NA,NA,NA,0.048694541
"KCNN3","Excitatory neurons","BP","Wald ratio",1,-0.258,0.054,0.772,1.49e-06,NA,NA,NA,0.467351333
"GOLGA6L10","Excitatory neurons","BP","Wald ratio",1,0.074,0.016,1.077,2.34e-06,NA,NA,NA,0.997389196
"SLF1","Excitatory neurons","BP","Wald ratio",1,-0.233,0.049,0.792,2.37e-06,NA,NA,NA,0.074296226
"LRRC57","Excitatory neurons","BP","Wald ratio",1,0.129,0.027,1.138,2.55e-06,NA,NA,NA,0.747421094
"GTPBP4","OPCs / COPs","BP","Wald ratio",1,0.146,0.032,1.158,4.31e-06,NA,NA,NA,0.021967432
"PTDSS1","OPCs / COPs","BP","Wald ratio",1,-0.093,0.02,0.911,4.49e-06,NA,NA,NA,0.858759223
"SLC12A5","Excitatory neurons","BP","Wald ratio",1,0.209,0.046,1.233,5.43e-06,NA,NA,NA,0.723242113
"MDC1","Excitatory neurons","BP","Wald ratio",1,-0.181,0.04,0.834,6.94e-06,NA,NA,NA,0.099970452
"ST8SIA6","Endothelial cells","BP","Wald ratio",1,0.151,0.034,1.163,7.49e-06,NA,NA,NA,0.013086867
"RXRA","Microglia","BP","Wald ratio",1,-0.223,0.05,0.8,7.72e-06,NA,NA,NA,0.00997702
"LINC01680","Excitatory neurons","BP","Wald ratio",1,-0.17,0.038,0.844,8.03e-06,NA,NA,NA,0.221813664
"ALMS1","Inhibitory neurons","BP","Wald ratio",1,0.197,0.045,1.218,1.03e-05,NA,NA,NA,0.077065355
"ALMS1","Excitatory neurons","BP","Wald ratio",1,0.193,0.044,1.212,1.03e-05,NA,NA,NA,0.961278906
"FOXG1","Astrocytes","BP","Wald ratio",1,-0.208,0.047,0.812,1.05e-05,NA,NA,NA,0.009820439
"NARS2","Astrocytes","BP","Wald ratio",1,0.142,0.033,1.152,1.36e-05,NA,NA,NA,0.006815994
"NPIPB4","Astrocytes","BP","Wald ratio",1,-0.189,0.044,0.828,1.56e-05,NA,NA,NA,0.037344368
"NPIPB3","Inhibitory neurons","BP","Wald ratio",1,-0.197,0.046,0.821,1.56e-05,NA,NA,NA,0.008739173
"SIL1","Astrocytes","BP","Wald ratio",1,0.201,0.048,1.222,2.72e-05,NA,NA,NA,0.00709056
"CTNNA1","Astrocytes","BP","Wald ratio",1,0.193,0.046,1.213,2.72e-05,NA,NA,NA,0.026381574
"MOCOS","Pericytes","BP","Wald ratio",1,0.137,0.033,1.146,2.78e-05,NA,NA,NA,0.003897309
"ZBTB37","OPCs / COPs","BP","Wald ratio",1,-0.217,0.052,0.805,2.88e-05,NA,NA,NA,0.002988033
"C4orf33","Excitatory neurons","BP","Wald ratio",1,0.151,0.037,1.163,3.81e-05,NA,NA,NA,0.005741278
"VPS26C","Endothelial cells","BP","Wald ratio",1,0.085,0.021,1.089,4.21e-05,NA,NA,NA,0.002217349
"SLC37A3","Astrocytes","BP","Wald ratio",1,0.126,0.031,1.134,5.22e-05,NA,NA,NA,0.004066778
"ARHGAP29","Inhibitory neurons","BP","Wald ratio",1,-0.133,0.033,0.875,5.75e-05,NA,NA,NA,0.002994429
"OPRK1","Inhibitory neurons","BP","Wald ratio",1,0.163,0.041,1.177,6.14e-05,NA,NA,NA,0.002465677
"CDHR1","Excitatory neurons","BP","Wald ratio",1,-0.059,0.015,0.942,7.82e-05,NA,NA,NA,0.92287318
"CDHR1","Inhibitory neurons","BP","Wald ratio",1,-0.145,0.037,0.865,7.82e-05,NA,NA,NA,0.00186945
"BTN3A1","Microglia","BP","Wald ratio",1,-0.126,0.032,0.881,8.39e-05,NA,NA,NA,0.002143093
"AK8","Oligodendrocytes","BP","Wald ratio",1,0.172,0.044,1.188,8.75e-05,NA,NA,NA,0.001212417
"SPATA6L","Astrocytes","BP","Wald ratio",1,-0.074,0.019,0.928,9.13e-05,NA,NA,NA,0.914061247
"RNF10","Endothelial cells","BP","Wald ratio",1,0.128,0.033,1.137,0.000113,NA,NA,NA,0.002236275
"ATP11B","Excitatory neurons","BP","Wald ratio",1,0.175,0.046,1.191,0.000132,NA,NA,NA,0.002878876
"MSH3","Excitatory neurons","BP","Wald ratio",1,0.096,0.025,1.101,0.00015,NA,NA,NA,0.864222104
"MSH3","Inhibitory neurons","BP","Wald ratio",1,0.106,0.028,1.112,0.00015,NA,NA,NA,0.020166383
"NCOA6","Oligodendrocytes","BP","Wald ratio",1,0.129,0.034,1.137,0.000189,NA,NA,NA,0.024083855
"ALDH1A1","Astrocytes","BP","Wald ratio",1,-0.19,0.051,0.827,0.000206,NA,NA,NA,0.00047638
"RPRM","Inhibitory neurons","BP","Wald ratio",1,0.14,0.038,1.15,0.000214,NA,NA,NA,0.002876381
"SRGAP3","Excitatory neurons","BP","Wald ratio",1,-0.301,0.081,0.74,0.000214,NA,NA,NA,0.000679371
"KLHDC10","Excitatory neurons","BP","Wald ratio",1,0.195,0.053,1.215,0.000217,NA,NA,NA,0.010979587
"TPO","Pericytes","BP","Wald ratio",1,-0.121,0.033,0.886,0.000225,NA,NA,NA,0.000465258
"VWA5B2","Excitatory neurons","BP","Wald ratio",1,-0.198,0.054,0.821,0.000234,NA,NA,NA,0.061139355
"RCOR2","Excitatory neurons","BP","Wald ratio",1,-0.242,0.066,0.785,0.000245,NA,NA,NA,0.000475275
"RCBTB1","Oligodendrocytes","BP","Wald ratio",1,-0.045,0.012,0.956,0.000249,NA,NA,NA,0.792909522
"AL450423.1","Excitatory neurons","BP","Wald ratio",1,-0.052,0.014,0.95,0.00028,NA,NA,NA,0.784749539
"AC004828.1","Inhibitory neurons","BP","Wald ratio",1,0.168,0.046,1.183,0.000281,NA,NA,NA,0.000656206
"GRID2","Inhibitory neurons","BP","Wald ratio",1,-0.215,0.059,0.807,0.000284,NA,NA,NA,0.000912807
"CNNM2","Oligodendrocytes","BP","Wald ratio",1,0.136,0.038,1.146,0.000284,NA,NA,NA,0.007777769
"ARL3","OPCs / COPs","BP","Wald ratio",1,-0.176,0.048,0.839,0.000284,NA,NA,NA,0.000340206
"AC139768.1","Inhibitory neurons","BP","Wald ratio",1,-0.128,0.035,0.88,0.000293,NA,NA,NA,0.003727889
"AC007221.2","OPCs / COPs","BP","Wald ratio",1,0.078,0.022,1.081,0.000295,NA,NA,NA,0.001359967
