"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"RNF123","Inhibitory neurons","ED","Wald ratio",1,-0.766,0.105,0.465,3.41e-13,NA,NA,NA,0.089653044
"UBA7","Astrocytes","ED","Wald ratio",1,-0.399,0.055,0.671,4.27e-13,NA,NA,NA,0.466618484
"TUSC2","Excitatory neurons","ED","Wald ratio",1,-1.438,0.199,0.237,4.84e-13,NA,NA,NA,0.098954611
"CISH","Pericytes","ED","Wald ratio",1,-0.299,0.041,0.742,4.84e-13,NA,NA,NA,0.090194268
"IP6K1","OPCs / COPs","ED","Wald ratio",1,-0.371,0.052,0.69,7.95e-13,NA,NA,NA,0.105688316
"FBXW12","Astrocytes","ED","Wald ratio",1,-0.391,0.056,0.676,3.19e-12,NA,NA,NA,0.089740869
"FBXW12","OPCs / COPs","ED","Wald ratio",1,-0.449,0.065,0.638,4.16e-12,NA,NA,NA,0.090898984
"WDR6","Inhibitory neurons","ED","Wald ratio",1,-0.492,0.071,0.611,4.37e-12,NA,NA,NA,0.115079016
"IP6K2","Oligodendrocytes","ED","Wald ratio",1,0.633,0.092,1.884,4.52e-12,NA,NA,NA,0.088109865
"QRICH1","Excitatory neurons","ED","Wald ratio",1,-0.815,0.126,0.443,9.55e-11,NA,NA,NA,0.088865962
"ATRIP","Endothelial cells","ED","Wald ratio",1,-0.608,0.097,0.544,3.29e-10,NA,NA,NA,0.090512583
"C3orf18","Astrocytes","ED","Wald ratio",1,0.397,0.065,1.488,7.57e-10,NA,NA,NA,0.118701136
"RHOA","Endothelial cells","ED","Wald ratio",1,-0.484,0.08,0.616,1.56e-09,NA,NA,NA,0.089171871
"NME6","Endothelial cells","ED","Wald ratio",1,-0.42,0.072,0.657,4.5e-09,NA,NA,NA,0.089800029
"RBM5","Microglia","ED","Wald ratio",1,-0.368,0.063,0.692,4.5e-09,NA,NA,NA,0.088385067
"USP19","Oligodendrocytes","ED","Wald ratio",1,0.325,0.058,1.383,1.99e-08,NA,NA,NA,0.134317158
"SLC26A6","Microglia","ED","Wald ratio",1,-0.432,0.079,0.649,4.91e-08,NA,NA,NA,0.086705118
"CCDC51","Inhibitory neurons","ED","Wald ratio",1,0.411,0.076,1.508,7.05e-08,NA,NA,NA,0.085184987
"WDR6","Excitatory neurons","ED","Wald ratio",1,-0.364,0.068,0.695,8.78e-08,NA,NA,NA,0.9404049
"ARIH2","Oligodendrocytes","ED","Wald ratio",1,0.325,0.062,1.384,1.41e-07,NA,NA,NA,0.08664441
"HYAL2","Astrocytes","ED","Wald ratio",1,-0.497,0.095,0.608,1.57e-07,NA,NA,NA,0.079367115
"MGMT","Excitatory neurons","ED","Wald ratio",1,0.187,0.036,1.205,2.99e-07,NA,NA,NA,0.998900519
"SPINK8","Oligodendrocytes","ED","Wald ratio",1,-0.312,0.063,0.732,5.95e-07,NA,NA,NA,0.116041675
"CCDC71","Pericytes","ED","Wald ratio",1,0.15,0.03,1.162,5.95e-07,NA,NA,NA,0.076616174
"PRKAR2A","Microglia","ED","Wald ratio",1,-0.306,0.061,0.737,6.42e-07,NA,NA,NA,0.064373171
"DALRD3","Oligodendrocytes","ED","Wald ratio",1,0.349,0.07,1.418,7.17e-07,NA,NA,NA,0.073637685
"P4HA1","Oligodendrocytes","ED","Wald ratio",1,0.36,0.073,1.433,7.24e-07,NA,NA,NA,0.056490195
"CACNA2D2","OPCs / COPs","ED","Wald ratio",1,0.281,0.057,1.325,7.88e-07,NA,NA,NA,0.052976143
"RHOA","Excitatory neurons","ED","Wald ratio",1,-0.697,0.141,0.498,8.04e-07,NA,NA,NA,0.049799754
"ASB3","OPCs / COPs","ED","Wald ratio",1,-0.219,0.044,0.804,8.5e-07,NA,NA,NA,0.28930886
"CCDC117","OPCs / COPs","ED","Wald ratio",1,-0.335,0.068,0.715,8.58e-07,NA,NA,NA,0.051432807
"CRACR2A","Excitatory neurons","ED","Wald ratio",1,-0.359,0.073,0.699,9.94e-07,NA,NA,NA,0.052217219
"ZMYND10","Oligodendrocytes","ED","Wald ratio",1,0.417,0.085,1.517,1.05e-06,NA,NA,NA,0.044239725
"IFRD2","Oligodendrocytes","ED","Wald ratio",1,0.526,0.108,1.692,1.05e-06,NA,NA,NA,0.0459137
"ADK","Inhibitory neurons","ED","Wald ratio",1,-0.358,0.074,0.699,1.2e-06,NA,NA,NA,0.05729585
"WDR6","Oligodendrocytes","ED","Wald ratio",1,-0.152,0.031,0.859,1.24e-06,NA,NA,NA,0.99879581
