"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"LNX2","Inhibitory neurons","OCD","Wald ratio",1,-0.535,0.103,0.586,1.88e-07,NA,NA,NA,0.08169241
"GABRB1","OPCs / COPs","OCD","Wald ratio",1,0.585,0.132,1.794,8.81e-06,NA,NA,NA,0.016693167
"INSYN1","Inhibitory neurons","OCD","Wald ratio",1,-0.543,0.123,0.581,9.88e-06,NA,NA,NA,0.052179966
"SPATS2","OPCs / COPs","OCD","Wald ratio",1,-0.395,0.091,0.674,1.33e-05,NA,NA,NA,0.013844342
"SPATS2","Oligodendrocytes","OCD","Wald ratio",1,-0.214,0.049,0.807,1.33e-05,NA,NA,NA,0.676806311
"PQLC3","Oligodendrocytes","OCD","Wald ratio",1,-0.339,0.078,0.712,1.45e-05,NA,NA,NA,0.029147477
"FANCL","Endothelial cells","OCD","Wald ratio",1,-0.445,0.103,0.641,1.47e-05,NA,NA,NA,0.011764693
"TEF","Astrocytes","OCD","Wald ratio",1,0.762,0.183,2.143,3.19e-05,NA,NA,NA,0.008425198
"LINC00571","Oligodendrocytes","OCD","Wald ratio",1,-0.455,0.11,0.634,3.3e-05,NA,NA,NA,0.006338113
"CCNT1","Excitatory neurons","OCD","Wald ratio",1,-0.427,0.103,0.653,3.31e-05,NA,NA,NA,0.006891994
"FAM186A","Microglia","OCD","Wald ratio",1,0.408,0.099,1.504,3.46e-05,NA,NA,NA,0.006202833
"L3MBTL2","Excitatory neurons","OCD","Wald ratio",1,-0.888,0.217,0.412,4.24e-05,NA,NA,NA,0.004471914
"FLT3","Inhibitory neurons","OCD","Wald ratio",1,0.497,0.122,1.643,4.58e-05,NA,NA,NA,0.004937579
"TMBIM6","OPCs / COPs","OCD","Wald ratio",1,0.819,0.201,2.268,4.72e-05,NA,NA,NA,0.004737986
"DDX23","Astrocytes","OCD","Wald ratio",1,0.428,0.105,1.535,4.72e-05,NA,NA,NA,0.004652209
