"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"POLE","Oligodendrocytes","PTSD","Wald ratio",1,-0.369,0.074,0.692,5.59e-07,NA,NA,NA,0.141993913
"LINC02367","OPCs / COPs","PTSD","Wald ratio",1,0.13,0.031,1.139,2.49e-05,NA,NA,NA,0.032964006
"NETO1","Excitatory neurons","PTSD","Wald ratio",1,0.444,0.108,1.559,3.98e-05,NA,NA,NA,0.007250591
"LINC01899","Astrocytes","PTSD","Wald ratio",1,-0.358,0.087,0.699,3.98e-05,NA,NA,NA,0.005496081
"CALR","Astrocytes","PTSD","Wald ratio",1,0.334,0.082,1.396,4.49e-05,NA,NA,NA,0.005114823
"RNF26","Excitatory neurons","PTSD","Wald ratio",1,0.574,0.142,1.776,5.11e-05,NA,NA,NA,0.002812569
"DEK","OPCs / COPs","PTSD","Wald ratio",1,-0.23,0.057,0.795,5.39e-05,NA,NA,NA,0.002819692
"KDM1B","OPCs / COPs","PTSD","Wald ratio",1,-0.285,0.072,0.752,7.68e-05,NA,NA,NA,0.003487242
"ZSWIM6","Oligodendrocytes","PTSD","Wald ratio",1,0.413,0.106,1.511,9.28e-05,NA,NA,NA,0.004464517
"MCC","Pericytes","PTSD","Wald ratio",1,0.136,0.035,1.146,0.000103,NA,NA,NA,0.001973038
"NEURL1","Inhibitory neurons","PTSD","Wald ratio",1,0.344,0.089,1.41,0.000105,NA,NA,NA,0.002487012
"FALEC","Oligodendrocytes","PTSD","Wald ratio",1,0.371,0.096,1.45,0.000118,NA,NA,NA,0.001814626
"VPS45","OPCs / COPs","PTSD","Wald ratio",1,-0.242,0.063,0.785,0.000118,NA,NA,NA,0.001597008
"CDC42SE1","OPCs / COPs","PTSD","Wald ratio",1,0.298,0.077,1.347,0.000118,NA,NA,NA,0.001590786
"NDUFS4","OPCs / COPs","PTSD","Wald ratio",1,-0.17,0.044,0.844,0.000126,NA,NA,NA,0.001349092
"DNMBP","Oligodendrocytes","PTSD","Wald ratio",1,0.257,0.067,1.292,0.000136,NA,NA,NA,0.001138016
"AC001226.2","OPCs / COPs","PTSD","Wald ratio",1,0.427,0.113,1.533,0.000158,NA,NA,NA,0.001521622
"SLC22A15","Inhibitory neurons","PTSD","Wald ratio",1,-0.353,0.095,0.703,0.000202,NA,NA,NA,0.001516832
"AC005332.3","Inhibitory neurons","PTSD","Wald ratio",1,0.17,0.046,1.185,0.000204,NA,NA,NA,0.001851573
"AC005258.1","Astrocytes","PTSD","Wald ratio",1,-0.189,0.051,0.828,0.000207,NA,NA,NA,0.001199949
"NFIC","Endothelial cells","PTSD","Wald ratio",1,0.171,0.046,1.187,0.000207,NA,NA,NA,0.001555088
"CCDC69","Microglia","PTSD","Wald ratio",1,0.199,0.054,1.22,0.000208,NA,NA,NA,0.000755408
"AF064858.1","Astrocytes","PTSD","Wald ratio",1,-0.247,0.067,0.781,0.000209,NA,NA,NA,0.000777148
"MRPS2","Inhibitory neurons","PTSD","Wald ratio",1,-0.413,0.112,0.662,0.000221,NA,NA,NA,0.000700782
"FNBP1","Inhibitory neurons","PTSD","Wald ratio",1,0.298,0.081,1.347,0.000224,NA,NA,NA,0.000606631
"MCC","Endothelial cells","PTSD","Wald ratio",1,0.198,0.054,1.219,0.000232,NA,NA,NA,0.000899358
"FNDC3B","Endothelial cells","PTSD","Wald ratio",1,-0.323,0.088,0.724,0.00024,NA,NA,NA,0.000572934
"GPR158","Inhibitory neurons","PTSD","Wald ratio",1,0.338,0.092,1.402,0.000244,NA,NA,NA,0.000866187
"CD46","Astrocytes","PTSD","Wald ratio",1,0.242,0.066,1.274,0.000249,NA,NA,NA,0.001404245
"AC034226.1","OPCs / COPs","PTSD","Wald ratio",1,0.184,0.05,1.202,0.000252,NA,NA,NA,0.00088792
"KDELC1","Endothelial cells","PTSD","Wald ratio",1,0.147,0.04,1.158,0.000263,NA,NA,NA,0.001020091
"SLC44A3","Oligodendrocytes","PTSD","Wald ratio",1,-0.201,0.055,0.818,0.000277,NA,NA,NA,0.000866938
"LINC00937","Microglia","PTSD","Wald ratio",1,0.234,0.065,1.264,0.000294,NA,NA,NA,0.000784666
"LINC00501","Excitatory neurons","PTSD","Wald ratio",1,0.154,0.043,1.166,0.000308,NA,NA,NA,0.010344244
"PLEKHA1","Excitatory neurons","PTSD","Wald ratio",1,-0.449,0.125,0.638,0.000317,NA,NA,NA,0.00171781
"NCAPG2","OPCs / COPs","PTSD","Wald ratio",1,0.178,0.049,1.195,0.000322,NA,NA,NA,0.000740373
"RRM2B","Oligodendrocytes","PTSD","Wald ratio",1,-0.269,0.075,0.764,0.000335,NA,NA,NA,0.000417537
"CEP41","Inhibitory neurons","PTSD","Wald ratio",1,-0.198,0.055,0.821,0.000339,NA,NA,NA,0.000451432
