"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"IQSEC1","Lymphocyte","ADHD","Wald ratio",1,0.056,0.016,1.058,0.000367,NA,NA,NA,0.757736294
"LINC00271","Lymphocyte","ADHD","Wald ratio",1,-0.036,0.011,0.964,0.000639,NA,NA,NA,0.03052884
"MARK4","Lymphocyte","ADHD","Wald ratio",1,-0.034,0.011,0.967,0.00189,NA,NA,NA,0.005791071
"RBM33","Lymphocyte","ADHD","Wald ratio",1,-0.036,0.012,0.964,0.00228,NA,NA,NA,0.411204871
"ENO4","Lymphocyte","ADHD","Wald ratio",1,-0.041,0.013,0.96,0.0023,NA,NA,NA,0.071915467
"CCDC36","Lymphocyte","ADHD","Wald ratio",1,0.03,0.01,1.03,0.00253,NA,NA,NA,0.27842124
"MNT","Lymphocyte","ADHD","Wald ratio",1,-0.06,0.02,0.942,0.00261,NA,NA,NA,0.298852025
"GLDC","Lymphocyte","ADHD","Wald ratio",1,-0.021,0.007,0.979,0.00321,NA,NA,NA,0.261719863
"CIZ1","Lymphocyte","ADHD","Wald ratio",1,0.041,0.014,1.042,0.00351,NA,NA,NA,0.024963428
"CTA-126B4.7","Lymphocyte","ADHD","Wald ratio",1,-0.029,0.01,0.971,0.00404,NA,NA,NA,0.255839873
"AC007969.5","Lymphocyte","ADHD","Wald ratio",1,0.03,0.011,1.03,0.00474,NA,NA,NA,0.110538542
"RNU6-1224P","Lymphocyte","ADHD","Wald ratio",1,-0.046,0.016,0.955,0.00482,NA,NA,NA,0.198315563
"BTD","Lymphocyte","ADHD","Wald ratio",1,-0.022,0.008,0.978,0.00491,NA,NA,NA,0.014206234
"AGO3","Lymphocyte","ADHD","Wald ratio",1,0.028,0.01,1.029,0.00513,NA,NA,NA,0.035151213
"MTFR1","Lymphocyte","ADHD","Wald ratio",1,-0.059,0.022,0.943,0.00676,NA,NA,NA,0.16843281
"ABCC4","Lymphocyte","ADHD","Wald ratio",1,-0.053,0.02,0.948,0.00875,NA,NA,NA,0.033281976
"PLEKHA7","Lymphocyte","ADHD","Wald ratio",1,0.028,0.012,1.029,0.0149,NA,NA,NA,0.001614308
"SP100","Lymphocyte","ADHD","Wald ratio",1,0.034,0.014,1.034,0.0158,NA,NA,NA,0.081167293
"VAC14","Lymphocyte","ADHD","Wald ratio",1,0.024,0.01,1.024,0.0172,NA,NA,NA,0.092478241
"CCDC88C","Lymphocyte","ADHD","Wald ratio",1,0.05,0.021,1.051,0.0177,NA,NA,NA,2.4e-05
"PDIA6","Lymphocyte","ADHD","Wald ratio",1,-0.031,0.013,0.97,0.0177,NA,NA,NA,0.033160499
"SND1","Lymphocyte","ADHD","Wald ratio",1,-0.05,0.021,0.951,0.0184,NA,NA,NA,0.053027048
"CIITA","Lymphocyte","ADHD","Wald ratio",1,0.03,0.013,1.03,0.0188,NA,NA,NA,0.001356624
"ATF7IP","Lymphocyte","ADHD","Wald ratio",1,-0.051,0.022,0.951,0.0189,NA,NA,NA,0.065266134
"GNA12","Lymphocyte","ADHD","Wald ratio",1,-0.021,0.009,0.979,0.0195,NA,NA,NA,0.001276536
"DMXL2","Lymphocyte","ADHD","Wald ratio",1,0.02,0.009,1.02,0.024,NA,NA,NA,0.017957893
"CAMK1D","Lymphocyte","ADHD","Wald ratio",1,0.029,0.013,1.03,0.0251,NA,NA,NA,0.02349874
"RPA3-AS1","Lymphocyte","ADHD","Wald ratio",1,0.02,0.009,1.02,0.0263,NA,NA,NA,0.021544142
"RERE","Lymphocyte","ADHD","Wald ratio",1,-0.033,0.015,0.968,0.0279,NA,NA,NA,0.004254445
"PASK","Lymphocyte","ADHD","Wald ratio",1,0.041,0.02,1.042,0.0344,NA,NA,NA,0.067054487
"FCRLA","Lymphocyte","ADHD","Wald ratio",1,-0.04,0.019,0.961,0.0344,NA,NA,NA,0.042731373
"SNX29","Lymphocyte","ADHD","Wald ratio",1,0.033,0.016,1.033,0.035,NA,NA,NA,0.013331624
"DIEXF","Lymphocyte","ADHD","Wald ratio",1,-0.042,0.02,0.959,0.037,NA,NA,NA,0.030060384
"GUCY1A3","Lymphocyte","ADHD","Wald ratio",1,-0.027,0.013,0.974,0.0373,NA,NA,NA,0.001038356
"UBOX5","Lymphocyte","ADHD","Wald ratio",1,0.031,0.015,1.031,0.0392,NA,NA,NA,0.000711495
