"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"BIN1","Lymphocyte","ALZ","Wald ratio",1,0.102,0.018,1.108,1.18e-08,NA,NA,NA,0.995957524
"SLC23A2","Lymphocyte","ALZ","Wald ratio",1,-0.043,0.009,0.958,5.39e-06,NA,NA,NA,0.796992955
"CASS4","Lymphocyte","ALZ","Wald ratio",1,-0.044,0.013,0.957,0.000473,NA,NA,NA,0.726831637
"DOCK10","Lymphocyte","ALZ","Wald ratio",1,0.038,0.011,1.039,0.000858,NA,NA,NA,0.563658717
"PTPRA","Lymphocyte","ALZ","Wald ratio",1,-0.031,0.01,0.969,0.00109,NA,NA,NA,0.515407251
"MARK4","Lymphocyte","ALZ","Wald ratio",1,0.042,0.013,1.043,0.0012,NA,NA,NA,0.010337056
"MEF2A","Lymphocyte","ALZ","Wald ratio",1,0.052,0.017,1.054,0.00167,NA,NA,NA,0.123489426
"ADAMTSL3","Lymphocyte","ALZ","Wald ratio",1,-0.039,0.012,0.962,0.00182,NA,NA,NA,0.021313566
"RPF2","Lymphocyte","ALZ","Wald ratio",1,0.049,0.017,1.051,0.00405,NA,NA,NA,0.27930422
"CLEC16A","Lymphocyte","ALZ","Wald ratio",1,-0.042,0.015,0.959,0.00431,NA,NA,NA,0.182830016
"CAPZB","Lymphocyte","ALZ","Wald ratio",1,-0.036,0.013,0.965,0.00497,NA,NA,NA,0.064389034
"BMP8A","Lymphocyte","ALZ","Wald ratio",1,0.024,0.008,1.024,0.00516,NA,NA,NA,0.002784715
"SRCRB4D","Lymphocyte","ALZ","Wald ratio",1,0.02,0.007,1.02,0.00566,NA,NA,NA,0.000300003
"IGHV1-69","Lymphocyte","ALZ","Wald ratio",1,-0.03,0.011,0.97,0.0062,NA,NA,NA,0.001030076
"B4GALT4","Lymphocyte","ALZ","Wald ratio",1,0.017,0.006,1.017,0.007,NA,NA,NA,0.001096057
"MGAT5","Lymphocyte","ALZ","Wald ratio",1,-0.022,0.008,0.978,0.00744,NA,NA,NA,0.001317317
"DTD1","Lymphocyte","ALZ","Wald ratio",1,-0.033,0.012,0.967,0.00774,NA,NA,NA,0.045806889
"FBXO10","Lymphocyte","ALZ","Wald ratio",1,-0.037,0.014,0.964,0.009,NA,NA,NA,0.035517219
"PLEC","Lymphocyte","ALZ","Wald ratio",1,0.046,0.018,1.047,0.00911,NA,NA,NA,0.114235347
"HSPA4","Lymphocyte","ALZ","Wald ratio",1,-0.034,0.013,0.967,0.0101,NA,NA,NA,0.086159926
"BCAT1","Lymphocyte","ALZ","Wald ratio",1,-0.025,0.01,0.975,0.0101,NA,NA,NA,0.162734814
"AGMAT","Lymphocyte","ALZ","Wald ratio",1,0.049,0.019,1.05,0.0105,NA,NA,NA,0.115974648
"BCAS4","Lymphocyte","ALZ","Wald ratio",1,-0.043,0.017,0.958,0.0111,NA,NA,NA,0.003938218
"SH3RF3","Lymphocyte","ALZ","Wald ratio",1,0.031,0.012,1.032,0.0115,NA,NA,NA,0.002026919
"RPS9","Lymphocyte","ALZ","Wald ratio",1,0.058,0.023,1.06,0.0133,NA,NA,NA,0.056139139
"SYK","Lymphocyte","ALZ","Wald ratio",1,0.035,0.014,1.036,0.0135,NA,NA,NA,0.103430479
"RP11-693J15.3","Lymphocyte","ALZ","Wald ratio",1,0.019,0.008,1.019,0.0135,NA,NA,NA,0.092954353
"LDLRAP1","Lymphocyte","ALZ","Wald ratio",1,-0.056,0.023,0.945,0.0138,NA,NA,NA,0.003561515
"PTGIR","Lymphocyte","ALZ","Wald ratio",1,-0.053,0.022,0.948,0.0139,NA,NA,NA,0.094495629
"ARHGAP22","Lymphocyte","ALZ","Wald ratio",1,-0.024,0.01,0.976,0.0141,NA,NA,NA,0.005373575
"AHRR","Lymphocyte","ALZ","Wald ratio",1,0.047,0.019,1.048,0.0148,NA,NA,NA,0.008207002
"CUX1","Lymphocyte","ALZ","Wald ratio",1,-0.03,0.013,0.97,0.0165,NA,NA,NA,0.016003318
