"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"AHRR","Lymphocyte","ANX","Wald ratio",1,0.222,0.065,1.249,0.000687,NA,NA,NA,0.241984855
"C21orf58","Lymphocyte","ANX","Wald ratio",1,-0.08,0.028,0.923,0.00423,NA,NA,NA,0.470277542
"PIGL","Lymphocyte","ANX","Wald ratio",1,-0.078,0.032,0.925,0.0136,NA,NA,NA,0.058378508
"GUCY1A3","Lymphocyte","ANX","Wald ratio",1,0.136,0.055,1.146,0.0138,NA,NA,NA,0.008807534
"EXOSC9","Lymphocyte","ANX","Wald ratio",1,0.11,0.045,1.116,0.015,NA,NA,NA,0.026594055
"SPINT2","Lymphocyte","ANX","Wald ratio",1,-0.099,0.041,0.906,0.0155,NA,NA,NA,0.125893863
"ANKRD33B","Lymphocyte","ANX","Wald ratio",1,-0.176,0.073,0.839,0.0163,NA,NA,NA,0.182175039
"TRIM14","Lymphocyte","ANX","Wald ratio",1,-0.072,0.031,0.93,0.0184,NA,NA,NA,0.189055247
"GRM8","Lymphocyte","ANX","Wald ratio",1,0.058,0.025,1.059,0.0194,NA,NA,NA,0.163484013
"PLEKHA7","Lymphocyte","ANX","Wald ratio",1,-0.075,0.033,0.928,0.0222,NA,NA,NA,0.003045291
"C17orf97","Lymphocyte","ANX","Wald ratio",1,0.072,0.032,1.074,0.0246,NA,NA,NA,0.171006079
"WDSUB1","Lymphocyte","ANX","Wald ratio",1,-0.098,0.045,0.907,0.0292,NA,NA,NA,0.021826905
"CHST11","Lymphocyte","ANX","Wald ratio",1,-0.058,0.027,0.944,0.0318,NA,NA,NA,0.116777992
"DHTKD1","Lymphocyte","ANX","Wald ratio",1,-0.122,0.058,0.885,0.0349,NA,NA,NA,0.007568235
"LRRK1","Lymphocyte","ANX","Wald ratio",1,-0.066,0.031,0.936,0.0367,NA,NA,NA,0.110101062
"NOX3","Lymphocyte","ANX","Wald ratio",1,-0.126,0.063,0.882,0.045,NA,NA,NA,0.024497176
"KLC1","Lymphocyte","ANX","Wald ratio",1,-0.07,0.035,0.932,0.0455,NA,NA,NA,0.101671347
"AC068610.5","Lymphocyte","ANX","Wald ratio",1,0.045,0.023,1.046,0.0467,NA,NA,NA,0.000278436
"BHLHE23","Lymphocyte","ANX","Wald ratio",1,-0.083,0.043,0.92,0.0504,NA,NA,NA,0.000362772
"RBM47","Lymphocyte","ANX","Wald ratio",1,0.057,0.03,1.058,0.0557,NA,NA,NA,0.000240225
"SNX10","Lymphocyte","ANX","Wald ratio",1,0.064,0.034,1.066,0.0571,NA,NA,NA,0.077189373
"LLGL2","Lymphocyte","ANX","Wald ratio",1,-0.058,0.03,0.944,0.0578,NA,NA,NA,0.075376561
"MAP3K2","Lymphocyte","ANX","Wald ratio",1,0.066,0.035,1.068,0.0584,NA,NA,NA,0.003675223
