"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"DND1P1","Lymphocyte","ASD","Wald ratio",1,-0.06,0.014,0.942,2.37e-05,NA,NA,NA,0.982994527
"NT5DC2","Lymphocyte","ASD","Wald ratio",1,0.098,0.029,1.103,0.00059,NA,NA,NA,0.711023321
"PDIA6","Lymphocyte","ASD","Wald ratio",1,-0.066,0.019,0.936,0.000649,NA,NA,NA,0.499105791
"RP11-473I1.6","Lymphocyte","ASD","Wald ratio",1,-0.067,0.021,0.935,0.00142,NA,NA,NA,0.00159932
"FAM53A","Lymphocyte","ASD","Wald ratio",1,0.072,0.023,1.074,0.00178,NA,NA,NA,0.028856993
"CIZ1","Lymphocyte","ASD","Wald ratio",1,0.06,0.021,1.061,0.00378,NA,NA,NA,0.033169998
"TMEM50B","Lymphocyte","ASD","Wald ratio",1,0.064,0.023,1.067,0.0047,NA,NA,NA,0.030708157
"SNCG","Lymphocyte","ASD","Wald ratio",1,0.06,0.021,1.062,0.00494,NA,NA,NA,0.027580448
"TRMT12","Lymphocyte","ASD","Wald ratio",1,-0.085,0.031,0.918,0.00581,NA,NA,NA,0.110448042
"BCAS4","Lymphocyte","ASD","Wald ratio",1,-0.062,0.024,0.94,0.00895,NA,NA,NA,0.006301869
"KLC1","Lymphocyte","ASD","Wald ratio",1,0.042,0.016,1.043,0.0112,NA,NA,NA,0.157153132
"RP11-44F21.4","Lymphocyte","ASD","Wald ratio",1,0.042,0.017,1.043,0.0136,NA,NA,NA,5.22e-05
"METTL21A","Lymphocyte","ASD","Wald ratio",1,-0.032,0.013,0.969,0.0142,NA,NA,NA,0.126508073
"RP11-716O23.2","Lymphocyte","ASD","Wald ratio",1,-0.066,0.027,0.936,0.0155,NA,NA,NA,0.085368485
"ADAMTSL3","Lymphocyte","ASD","Wald ratio",1,-0.042,0.017,0.959,0.0157,NA,NA,NA,0.004339258
"RNU6-1224P","Lymphocyte","ASD","Wald ratio",1,-0.058,0.024,0.943,0.0158,NA,NA,NA,0.112672135
"RP11-753N8.1","Lymphocyte","ASD","Wald ratio",1,0.032,0.013,1.032,0.0159,NA,NA,NA,0.01098329
"XYLT1","Lymphocyte","ASD","Wald ratio",1,0.06,0.025,1.062,0.0159,NA,NA,NA,0.025833129
"APBB1IP","Lymphocyte","ASD","Wald ratio",1,-0.042,0.018,0.959,0.017,NA,NA,NA,0.115928399
"RFTN1","Lymphocyte","ASD","Wald ratio",1,-0.056,0.024,0.946,0.0191,NA,NA,NA,0.098651086
"FGFR1OP","Lymphocyte","ASD","Wald ratio",1,0.039,0.017,1.04,0.0202,NA,NA,NA,0.081694713
"GCC2","Lymphocyte","ASD","Wald ratio",1,-0.081,0.035,0.922,0.022,NA,NA,NA,0.087389426
"RP11-125B21.2","Lymphocyte","ASD","Wald ratio",1,-0.034,0.015,0.967,0.022,NA,NA,NA,0.014663135
"TUBB6","Lymphocyte","ASD","Wald ratio",1,-0.051,0.022,0.951,0.0232,NA,NA,NA,0.002859903
"DSC2","Lymphocyte","ASD","Wald ratio",1,0.042,0.019,1.043,0.0247,NA,NA,NA,0.024852375
