"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"LSM6","Lymphocyte","ADHD","Wald ratio",1,-0.058,0.01,0.944,2.14e-08,NA,NA,NA,0.999967713
"FOXP2","Lymphocyte","ADHD","Wald ratio",1,-0.048,0.01,0.954,1.04e-06,NA,NA,NA,0.998572177
"PLK1S1","Lymphocyte","ADHD","Wald ratio",1,-0.122,0.026,0.885,2.63e-06,NA,NA,NA,0.996558505
"CEND1","Lymphocyte","ADHD","Wald ratio",1,-0.048,0.01,0.953,3.21e-06,NA,NA,NA,0.99583685
"LRDD","Lymphocyte","ADHD","Wald ratio",1,-0.071,0.015,0.931,3.21e-06,NA,NA,NA,0.99583685
"ERBB3","Lymphocyte","ADHD","Wald ratio",1,0.154,0.034,1.166,6.8e-06,NA,NA,NA,0.991829349
"AGXT2L1","Lymphocyte","ADHD","Wald ratio",1,-0.091,0.021,0.913,2.22e-05,NA,NA,NA,0.98188705
"LOC400931","Lymphocyte","ADHD","Wald ratio",1,0.043,0.01,1.044,3.74e-05,NA,NA,NA,0.956978122
"C22orf26","Lymphocyte","ADHD","Wald ratio",1,0.326,0.079,1.385,3.74e-05,NA,NA,NA,0.959236728
"LOC150381","Lymphocyte","ADHD","Wald ratio",1,0.065,0.016,1.067,3.74e-05,NA,NA,NA,0.959236728
"KIAA0892","Lymphocyte","ADHD","Wald ratio",1,-3.618,0.882,0.027,4.08e-05,NA,NA,NA,0.955507082
"HAPLN4","Lymphocyte","ADHD","Wald ratio",1,-0.463,0.113,0.63,4.08e-05,NA,NA,NA,0.955507082
"ABCB9","Lymphocyte","ADHD","Wald ratio",1,0.209,0.051,1.232,4.19e-05,NA,NA,NA,0.956891136
"ARL6IP4","Lymphocyte","ADHD","Wald ratio",1,0.827,0.202,2.287,4.19e-05,NA,NA,NA,0.956891136
"ZAK","Lymphocyte","ADHD","Wald ratio",1,-0.092,0.023,0.912,5.8e-05,NA,NA,NA,0.93730776
"CUX1","Lymphocyte","ADHD","Wald ratio",1,-0.049,0.012,0.952,6.81e-05,NA,NA,NA,0.939152054
"RAPGEF4","Lymphocyte","ADHD","Wald ratio",1,0.04,0.01,1.041,7.52e-05,NA,NA,NA,0.923353789
"LMO3","Lymphocyte","ADHD","Wald ratio",1,0.087,0.022,1.091,9.98e-05,NA,NA,NA,0.912339039
"JOSD1","Lymphocyte","ADHD","Wald ratio",1,-0.041,0.01,0.96,0.000114,NA,NA,NA,0.892518053
"CDC25B","Lymphocyte","ADHD","Wald ratio",1,0.081,0.021,1.084,0.00014,NA,NA,NA,0.867203224
"SPEF1","Lymphocyte","ADHD","Wald ratio",1,0.197,0.052,1.217,0.00014,NA,NA,NA,0.867179075
"GPC1","Lymphocyte","ADHD","Wald ratio",1,0.057,0.015,1.059,0.000169,NA,NA,NA,0.886938629
"NFKB1","Lymphocyte","ADHD","Wald ratio",1,-0.037,0.01,0.964,0.000201,NA,NA,NA,0.819291073
"TFAP2A","Lymphocyte","ADHD","Wald ratio",1,-0.165,0.044,0.848,0.000203,NA,NA,NA,0.873104602
"C1orf173","Lymphocyte","ADHD","Wald ratio",1,0.184,0.05,1.202,0.000239,NA,NA,NA,0.803990151
"C6orf10","Lymphocyte","ADHD","Wald ratio",1,0.049,0.014,1.05,0.000346,NA,NA,NA,0.780688666
"PCMT1","Lymphocyte","ADHD","Wald ratio",1,0.047,0.013,1.049,0.000401,NA,NA,NA,0.720960703
"PPAP2C","Lymphocyte","ADHD","Wald ratio",1,0.061,0.017,1.063,0.000406,NA,NA,NA,0.73662921
"CTNNB1","Lymphocyte","ADHD","Wald ratio",1,0.087,0.025,1.091,0.000412,NA,NA,NA,0.698946676
"RBM33","Lymphocyte","ADHD","Wald ratio",1,-0.042,0.012,0.959,0.000426,NA,NA,NA,0.719033442
"SGK269","Lymphocyte","ADHD","Wald ratio",1,-0.036,0.01,0.964,0.000475,NA,NA,NA,0.681789449
"SLC12A5","Lymphocyte","ADHD","Wald ratio",1,-0.043,0.012,0.958,0.000536,NA,NA,NA,0.675867376
"APC","Lymphocyte","ADHD","Wald ratio",1,-1.3,0.376,0.273,0.000546,NA,NA,NA,0.645911614
"TARS","Lymphocyte","ADHD","Wald ratio",1,0.162,0.047,1.176,0.000553,NA,NA,NA,0.650363311
"SLITRK6","Lymphocyte","ADHD","Wald ratio",1,0.064,0.019,1.066,0.000559,NA,NA,NA,0.677077227
"SLC22A23","Lymphocyte","ADHD","Weighted median",3,-0.048,0.014,0.953,0.000563,0.568666741,0.04134391,0.245888549,0.494524291
"CC2D2A","Lymphocyte","ADHD","Wald ratio",1,0.178,0.052,1.194,0.000574,NA,NA,NA,0.642190574
"BAI1","Lymphocyte","ADHD","Wald ratio",1,-0.256,0.075,0.774,0.000589,NA,NA,NA,0.692529462
"TMEM50A","Lymphocyte","ADHD","Wald ratio",1,-1.567,0.457,0.209,0.000609,NA,NA,NA,0.62706118
"OR4A16","Lymphocyte","ADHD","Wald ratio",1,0.297,0.087,1.346,0.000626,NA,NA,NA,0.668657977
