"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"APOC2","Lymphocyte","ALZ","Wald ratio",1,-0.088,0.012,0.916,5.51e-13,NA,NA,NA,0.999999999
"APOC4","Lymphocyte","ALZ","Wald ratio",1,-0.084,0.012,0.919,5.51e-13,NA,NA,NA,0.999969765
"CLPTM1","Lymphocyte","ALZ","Wald ratio",1,-0.521,0.072,0.594,5.51e-13,NA,NA,NA,0.999999999
"CD2AP","Lymphocyte","ALZ","Wald ratio",1,-0.085,0.014,0.919,1.58e-09,NA,NA,NA,0.99999766
"SIX5","Lymphocyte","ALZ","Wald ratio",1,-0.093,0.016,0.911,6.71e-09,NA,NA,NA,0.999989431
"DMPK","Lymphocyte","ALZ","Wald ratio",1,-0.116,0.02,0.891,6.71e-09,NA,NA,NA,0.999989431
"NKPD1","Lymphocyte","ALZ","Wald ratio",1,-0.07,0.013,0.933,1.4e-07,NA,NA,NA,0.999828301
"CD33","Lymphocyte","ALZ","Wald ratio",1,-0.152,0.032,0.859,1.75e-06,NA,NA,NA,0.997753527
"IQCK","Lymphocyte","ALZ","Wald ratio",1,0.066,0.015,1.068,1.14e-05,NA,NA,NA,0.9898152
"MIER2","Lymphocyte","ALZ","Wald ratio",1,-0.058,0.014,0.944,2.45e-05,NA,NA,NA,0.978988489
"SH3D20","Lymphocyte","ALZ","Wald ratio",1,0.078,0.019,1.081,4.62e-05,NA,NA,NA,0.963063284
"PFDN1","Lymphocyte","ALZ","Wald ratio",1,-0.149,0.037,0.862,6.07e-05,NA,NA,NA,0.938221705
"SLC24A4","Lymphocyte","ALZ","Wald ratio",1,-0.226,0.058,0.798,9.05e-05,NA,NA,NA,0.942893317
"ARL6IP4","Lymphocyte","ALZ","Wald ratio",1,0.835,0.216,2.305,0.000108,NA,NA,NA,0.906520779
"ABCB9","Lymphocyte","ALZ","Wald ratio",1,0.044,0.011,1.045,0.000108,NA,NA,NA,0.906422949
"PRKD2","Lymphocyte","ALZ","Wald ratio",1,0.042,0.011,1.043,0.000172,NA,NA,NA,0.849775421
"PVR","Lymphocyte","ALZ","Wald ratio",1,0.116,0.031,1.123,0.000186,NA,NA,NA,0.891729813
"CD302","Lymphocyte","ALZ","Wald ratio",1,0.091,0.024,1.095,0.000204,NA,NA,NA,0.82659969
"PACSIN1","Lymphocyte","ALZ","Wald ratio",1,0.068,0.018,1.07,0.000212,NA,NA,NA,0.867157572
"TREML2","Lymphocyte","ALZ","Wald ratio",1,0.11,0.03,1.117,0.000282,NA,NA,NA,0.786642728
"ADAM10","Lymphocyte","ALZ","Wald ratio",1,0.054,0.015,1.056,0.000369,NA,NA,NA,0.800029929
"LIPC","Lymphocyte","ALZ","Wald ratio",1,0.122,0.034,1.13,0.000369,NA,NA,NA,0.800031975
"IGF2BP3","Lymphocyte","ALZ","Wald ratio",1,0.347,0.101,1.415,0.000584,NA,NA,NA,0.64076989
"BFSP1","Lymphocyte","ALZ","Wald ratio",1,0.494,0.144,1.639,0.000613,NA,NA,NA,0.637109298
"RRBP1","Lymphocyte","ALZ","Wald ratio",1,0.04,0.012,1.041,0.000613,NA,NA,NA,0.637213237
"WRB","Lymphocyte","ALZ","Wald ratio",1,0.05,0.015,1.051,0.000683,NA,NA,NA,0.624705977
"CDGAP","Lymphocyte","ALZ","Wald ratio",1,0.035,0.01,1.036,0.000742,NA,NA,NA,0.590866885
"DOCK10","Lymphocyte","ALZ","Wald ratio",1,0.038,0.011,1.039,0.000921,NA,NA,NA,0.54892577
"C1orf177","Lymphocyte","ALZ","Wald ratio",1,-0.037,0.011,0.964,0.00108,NA,NA,NA,0.525792987
"FCRL3","Lymphocyte","ALZ","Wald ratio",1,0.044,0.014,1.045,0.00141,NA,NA,NA,0.443278036
"SNCA","Lymphocyte","ALZ","Wald ratio",1,-0.039,0.012,0.962,0.00151,NA,NA,NA,0.426455789
"TTC39A","Lymphocyte","ALZ","Wald ratio",1,-0.25,0.08,0.778,0.00172,NA,NA,NA,0.53795241
"DGKE","Lymphocyte","ALZ","Wald ratio",1,0.057,0.018,1.059,0.00173,NA,NA,NA,0.496443551
"LOC151174","Lymphocyte","ALZ","Wald ratio",1,0.166,0.054,1.181,0.0019,NA,NA,NA,0.390698234
"HES6","Lymphocyte","ALZ","Wald ratio",1,0.11,0.035,1.116,0.0019,NA,NA,NA,0.390698234
"COL22A1","Lymphocyte","ALZ","Wald ratio",1,0.364,0.118,1.439,0.00203,NA,NA,NA,0.480254927
"ZNF642","Lymphocyte","ALZ","Wald ratio",1,-1.029,0.337,0.357,0.00225,NA,NA,NA,0.399637581
"ITGA1","Lymphocyte","ALZ","Wald ratio",1,0.04,0.013,1.04,0.00228,NA,NA,NA,0.375034503
"LRIG3","Lymphocyte","ALZ","Wald ratio",1,0.066,0.022,1.068,0.0027,NA,NA,NA,0.47335063
"PTK2B","Lymphocyte","ALZ","Wald ratio",1,-0.05,0.017,0.952,0.00298,NA,NA,NA,0.291206891
"HNRNPD","Lymphocyte","ALZ","Wald ratio",1,-0.297,0.1,0.743,0.00302,NA,NA,NA,0.316647427
"CLEC1A","Lymphocyte","ALZ","Wald ratio",1,0.038,0.013,1.039,0.00317,NA,NA,NA,0.279286757
"LMBR1","Lymphocyte","ALZ","Wald ratio",1,-1.074,0.367,0.342,0.0034,NA,NA,NA,0.263142347
"FOSB","Lymphocyte","ALZ","Wald ratio",1,0.071,0.024,1.074,0.00347,NA,NA,NA,0.266711531
"ARSJ","Lymphocyte","ALZ","Wald ratio",1,-0.283,0.097,0.753,0.00367,NA,NA,NA,0.279748053
"C8orf40","Lymphocyte","ALZ","Wald ratio",1,0.029,0.01,1.03,0.00373,NA,NA,NA,0.248794482
"TRPM7","Lymphocyte","ALZ","Wald ratio",1,-0.034,0.012,0.967,0.0041,NA,NA,NA,0.233011097
"RFX4","Lymphocyte","ALZ","Wald ratio",1,-0.057,0.02,0.944,0.00424,NA,NA,NA,0.239669292
"SFXN1","Lymphocyte","ALZ","Wald ratio",1,1.47,0.519,4.35,0.00461,NA,NA,NA,0.33774838
"MTERFD2","Lymphocyte","ALZ","Wald ratio",1,0.038,0.014,1.039,0.00472,NA,NA,NA,0.259662836
"PASK","Lymphocyte","ALZ","Wald ratio",1,0.044,0.016,1.045,0.00472,NA,NA,NA,0.259662845
"LMX1A","Lymphocyte","ALZ","Wald ratio",1,-0.319,0.113,0.727,0.00487,NA,NA,NA,0.211325877
"HRG","Lymphocyte","ALZ","Wald ratio",1,0.037,0.013,1.038,0.00514,NA,NA,NA,0.197053387
