"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"SELT","Lymphocyte","ANX","Wald ratio",1,0.362,0.092,1.436,8.48e-05,NA,NA,NA,0.966937822
"HLX","Lymphocyte","ANX","Wald ratio",1,-0.133,0.036,0.875,0.000232,NA,NA,NA,0.918150391
"ACER3","Lymphocyte","ANX","Wald ratio",1,-0.122,0.035,0.886,0.00044,NA,NA,NA,0.871109347
"TET2","Lymphocyte","ANX","Wald ratio",1,0.874,0.253,2.397,0.000555,NA,NA,NA,0.86268872
"SSBP2","Lymphocyte","ANX","Wald ratio",1,0.266,0.079,1.305,0.00072,NA,NA,NA,0.845194331
"FA2H","Lymphocyte","ANX","Wald ratio",1,-0.183,0.054,0.833,0.000766,NA,NA,NA,0.792885952
"DCBLD1","Lymphocyte","ANX","Wald ratio",1,-0.1,0.031,0.905,0.00116,NA,NA,NA,0.713445285
"ELOVL6","Lymphocyte","ANX","Wald ratio",1,2.429,0.792,11.347,0.00217,NA,NA,NA,0.59624239
"FLJ36000","Lymphocyte","ANX","Wald ratio",1,-0.112,0.038,0.894,0.00291,NA,NA,NA,0.559557188
"C3orf20","Lymphocyte","ANX","Wald ratio",1,-0.19,0.064,0.827,0.00301,NA,NA,NA,0.539512459
"PCGF5","Lymphocyte","ANX","Wald ratio",1,-0.762,0.261,0.467,0.00353,NA,NA,NA,0.594440539
"ASB18","Lymphocyte","ANX","Wald ratio",1,-0.79,0.274,0.454,0.00392,NA,NA,NA,0.497295299
"EFCAB4B","Lymphocyte","ANX","Wald ratio",1,2.291,0.794,9.881,0.00393,NA,NA,NA,0.524645945
"DNAJC13","Lymphocyte","ANX","Wald ratio",1,-0.131,0.046,0.877,0.00406,NA,NA,NA,0.527516769
"C19orf22","Lymphocyte","ANX","Inverse variance weighted",2,0.216,0.075,1.241,0.00426,NA,0.553295908,NA,0.370019794
"TMX4","Lymphocyte","ANX","Wald ratio",1,-6.67,2.337,0.001,0.00431,NA,NA,NA,0.549979563
"NPSR1","Lymphocyte","ANX","Wald ratio",1,-0.146,0.051,0.864,0.00446,NA,NA,NA,0.428132684
"SH3BP5","Lymphocyte","ANX","Wald ratio",1,0.326,0.115,1.385,0.00448,NA,NA,NA,0.497649659
"EXOC2","Lymphocyte","ANX","Wald ratio",1,0.102,0.036,1.107,0.00459,NA,NA,NA,0.442448945
"NOLC1","Lymphocyte","ANX","Wald ratio",1,0.456,0.161,1.577,0.0047,NA,NA,NA,0.524365722
"HBM","Lymphocyte","ANX","Wald ratio",1,-1.875,0.682,0.153,0.00596,NA,NA,NA,0.374540562
"PTPRO","Lymphocyte","ANX","Wald ratio",1,-0.094,0.035,0.91,0.00688,NA,NA,NA,0.338376406
"DTNBP1","Lymphocyte","ANX","Wald ratio",1,0.143,0.053,1.154,0.00719,NA,NA,NA,0.424302215
"LENG8","Lymphocyte","ANX","Wald ratio",1,-0.211,0.078,0.81,0.00728,NA,NA,NA,0.328763872
"CDC42EP5","Lymphocyte","ANX","Wald ratio",1,-0.092,0.034,0.912,0.00728,NA,NA,NA,0.328763873
"RAPGEF4","Lymphocyte","ANX","Wald ratio",1,0.083,0.031,1.086,0.00746,NA,NA,NA,0.328943173
"PDE1C","Lymphocyte","ANX","Wald ratio",1,0.317,0.12,1.373,0.00814,NA,NA,NA,0.337571718
"LOC650368","Lymphocyte","ANX","Wald ratio",1,0.125,0.048,1.133,0.00853,NA,NA,NA,0.377091574
"UBE2C","Lymphocyte","ANX","Wald ratio",1,-0.711,0.27,0.491,0.00854,NA,NA,NA,0.303965886
"COL9A1","Lymphocyte","ANX","Wald ratio",1,0.333,0.127,1.396,0.00882,NA,NA,NA,0.294539665
"SGSM1","Lymphocyte","ANX","Wald ratio",1,-6.029,2.321,0.002,0.00941,NA,NA,NA,0.29997001
"C20orf160","Lymphocyte","ANX","Wald ratio",1,0.647,0.249,1.911,0.00942,NA,NA,NA,0.331516243
"LOC202781","Lymphocyte","ANX","Wald ratio",1,0.089,0.034,1.093,0.00954,NA,NA,NA,0.288961
"ZNF709","Lymphocyte","ANX","Wald ratio",1,-0.29,0.112,0.748,0.00983,NA,NA,NA,0.294575178
"PPFIA4","Lymphocyte","ANX","Wald ratio",1,-0.088,0.034,0.916,0.00993,NA,NA,NA,0.269243091
"C22orf9","Lymphocyte","ANX","Wald ratio",1,-0.088,0.034,0.916,0.0105,NA,NA,NA,0.26428256
"ARID3A","Lymphocyte","ANX","Wald ratio",1,0.542,0.212,1.72,0.0107,NA,NA,NA,0.370018626
"EPC2","Lymphocyte","ANX","Wald ratio",1,-0.114,0.045,0.892,0.0108,NA,NA,NA,0.308640352
"CHL1","Lymphocyte","ANX","Wald ratio",1,-0.094,0.037,0.91,0.0111,NA,NA,NA,0.249685966
"HOTAIR","Lymphocyte","ANX","Wald ratio",1,-0.398,0.158,0.671,0.0119,NA,NA,NA,0.2508406
"HOXC10","Lymphocyte","ANX","Wald ratio",1,-0.432,0.172,0.649,0.0119,NA,NA,NA,0.2508406
