"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"NEGR1","Lymphocyte","DEP","Wald ratio",1,0.044,0.005,1.045,4.76e-18,NA,NA,NA,0.999985004
"NRGN","Lymphocyte","SCZ","Wald ratio",1,0.081,0.012,1.084,1.38e-11,NA,NA,NA,0.006958894
"CTTNBP2","Lymphocyte","DEP","Wald ratio",1,0.041,0.007,1.042,3.41e-10,NA,NA,NA,0.999998666
"SLC12A5","Lymphocyte","DEP","Wald ratio",1,-0.035,0.006,0.965,7.13e-10,NA,NA,NA,0.99999767
"B3GALTL","Lymphocyte","DEP","Wald ratio",1,0.032,0.005,1.032,2.23e-09,NA,NA,NA,0.999992963
"PAX5","Lymphocyte","DEP","Wald ratio",1,-0.052,0.01,0.949,7.75e-08,NA,NA,NA,0.999815004
"ZNF167","Lymphocyte","DEP","Wald ratio",1,-0.024,0.005,0.976,5.73e-07,NA,NA,NA,0.998371198
"CCDC87","Lymphocyte","DEP","Wald ratio",1,0.114,0.023,1.121,1.04e-06,NA,NA,NA,0.996912609
"C22orf26","Lymphocyte","DEP","Wald ratio",1,0.051,0.011,1.053,1.12e-06,NA,NA,NA,0.996905265
"LOC150381","Lymphocyte","DEP","Wald ratio",1,0.036,0.007,1.037,1.12e-06,NA,NA,NA,0.996905265
"LOC400931","Lymphocyte","DEP","Wald ratio",1,0.024,0.005,1.024,1.12e-06,NA,NA,NA,0.99667458
"FOXP2","Lymphocyte","DEP","Wald ratio",1,-0.035,0.008,0.965,4.8e-06,NA,NA,NA,0.991523493
"LOC645323","Lymphocyte","DEP","Wald ratio",1,-0.224,0.05,0.8,6.53e-06,NA,NA,NA,0.986977256
"MCC","Lymphocyte","DEP","Wald ratio",1,0.032,0.007,1.032,1.2e-05,NA,NA,NA,0.970129041
"FAM5B","Lymphocyte","DEP","Wald ratio",1,-0.085,0.02,0.919,1.73e-05,NA,NA,NA,0.973932491
"UBE2M","Lymphocyte","DEP","Wald ratio",1,0.025,0.006,1.026,1.78e-05,NA,NA,NA,0.964513152
"MGC2752","Lymphocyte","DEP","Wald ratio",1,0.091,0.021,1.095,1.78e-05,NA,NA,NA,0.964505166
"NUCKS1","Lymphocyte","DEP","Wald ratio",1,-0.032,0.008,0.968,2.62e-05,NA,NA,NA,0.937917053
"SLC41A1","Lymphocyte","DEP","Wald ratio",1,-0.385,0.092,0.68,2.62e-05,NA,NA,NA,0.937921532
"PTCH1","Lymphocyte","DEP","Wald ratio",1,-0.037,0.009,0.963,2.94e-05,NA,NA,NA,0.957011343
"FNIP2","Lymphocyte","DEP","Wald ratio",1,-0.035,0.008,0.966,3.2e-05,NA,NA,NA,0.925896153
"ZPBP","Lymphocyte","DEP","Wald ratio",1,-0.128,0.031,0.88,3.63e-05,NA,NA,NA,0.931236519
"UTRN","Lymphocyte","DEP","Wald ratio",1,-0.062,0.015,0.94,3.85e-05,NA,NA,NA,0.910962481
"PRMT6","Lymphocyte","DEP","Wald ratio",1,-0.032,0.008,0.968,4.8e-05,NA,NA,NA,0.89875952
"ITIH4","Lymphocyte","DEP","Wald ratio",1,0.028,0.007,1.028,4.93e-05,NA,NA,NA,0.905482645
"RPRD2","Lymphocyte","SCZ","Wald ratio",1,0.059,0.015,1.061,5.94e-05,NA,NA,NA,0.006958894
"TRIM33","Lymphocyte","SCZ","Wald ratio",1,-0.038,0.009,0.963,6.94e-05,NA,NA,NA,0.006958894
"HSPA5","Lymphocyte","DEP","Wald ratio",1,0.037,0.01,1.038,8.49e-05,NA,NA,NA,0.828818529
"CYP7B1","Lymphocyte","DEP","Wald ratio",1,0.023,0.006,1.024,0.000103,NA,NA,NA,0.801491081
"SLC30A9","Lymphocyte","DEP","Wald ratio",1,0.071,0.018,1.073,0.000114,NA,NA,NA,0.829425104
"MYO3A","Lymphocyte","DEP","Wald ratio",1,-0.041,0.011,0.96,0.000128,NA,NA,NA,0.882528341
"ASCC3","Lymphocyte","DEP","Wald ratio",1,-0.482,0.126,0.617,0.000137,NA,NA,NA,0.755329496
"EGR2","Lymphocyte","DEP","Wald ratio",1,0.075,0.02,1.078,0.000181,NA,NA,NA,0.703434662
"RASGRP1","Lymphocyte","DEP","Wald ratio",1,-0.034,0.009,0.966,0.000183,NA,NA,NA,0.745851161
"WIPI1","Lymphocyte","DEP","Wald ratio",1,0.02,0.006,1.021,0.000212,NA,NA,NA,0.676770393
"TTC12","Lymphocyte","DEP","Wald ratio",1,0.619,0.17,1.857,0.000278,NA,NA,NA,0.698239114
"SMYD3","Lymphocyte","DEP","Inverse variance weighted",3,0.013,0.004,1.013,0.000307,0.841111469,0.630673534,0.520016851,0.057086916
"STK24","Lymphocyte","DEP","Wald ratio",1,-0.026,0.007,0.974,0.000308,NA,NA,NA,0.606539433
"CDH6","Lymphocyte","DEP","Wald ratio",1,0.019,0.005,1.019,0.000313,NA,NA,NA,0.58691218
