"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"TRIM33","Lymphocyte","ED","Wald ratio",1,0.06,0.016,1.062,0.000122,NA,NA,NA,0.921049695
"ST6GALNAC3","Lymphocyte","ED","Weighted median",3,-0.062,0.017,0.94,0.000272,0.73026941,0.112274494,0.287379103,0.07189616
"DENND2D","Lymphocyte","ED","Wald ratio",1,-0.054,0.02,0.947,0.00771,NA,NA,NA,0.205318121
"ST6GALNAC3","Lymphocyte","ED","Inverse variance weighted",3,-0.051,0.021,0.95,0.013,0.73026941,0.112274494,0.287379103,0.07189616
"KPRP","Lymphocyte","ED","Wald ratio",1,0.053,0.021,1.054,0.0143,NA,NA,NA,0.121576172
"MORN1","Lymphocyte","ED","Inverse variance weighted",2,0.033,0.014,1.034,0.0199,NA,0.461757,NA,0.012319121
"ADC","Lymphocyte","ED","Wald ratio",1,0.038,0.016,1.039,0.0212,NA,NA,NA,0.09920916
"GSTM5","Lymphocyte","ED","Wald ratio",1,0.138,0.061,1.148,0.0233,NA,NA,NA,0.085529391
"TSPAN2","Lymphocyte","ED","Wald ratio",1,-0.107,0.047,0.899,0.024,NA,NA,NA,0.087039942
"CA6","Lymphocyte","ED","Wald ratio",1,0.105,0.047,1.11,0.0244,NA,NA,NA,0.077775969
"FAM46C","Lymphocyte","ED","Wald ratio",1,0.083,0.037,1.086,0.0269,NA,NA,NA,0.135219425
"GJB3","Lymphocyte","ED","Wald ratio",1,-0.069,0.034,0.934,0.042,NA,NA,NA,0.073802299
"GNAI3","Lymphocyte","ED","Wald ratio",1,-0.037,0.018,0.964,0.0424,NA,NA,NA,0.061722639
"CHD5","Lymphocyte","ED","Wald ratio",1,-0.049,0.025,0.952,0.0505,NA,NA,NA,0.049749143
"MACF1","Lymphocyte","ED","Wald ratio",1,-0.044,0.023,0.957,0.0559,NA,NA,NA,0.04014603
"AKIRIN1","Lymphocyte","ED","Wald ratio",1,-0.23,0.12,0.794,0.0559,NA,NA,NA,0.04014603
"NDUFS5","Lymphocyte","ED","Wald ratio",1,-0.032,0.017,0.968,0.0559,NA,NA,NA,0.038720056
"ST6GALNAC3","Lymphocyte","ED","Weighted mode",3,-0.064,0.017,0.938,0.0642,0.73026941,0.112274494,0.287379103,0.07189616
"CCBL2","Lymphocyte","ED","Wald ratio",1,0.031,0.017,1.031,0.0737,NA,NA,NA,0.03362006
"PEAR1","Lymphocyte","ED","Wald ratio",1,0.212,0.123,1.237,0.0836,NA,NA,NA,0.037672245
"NTRK1","Lymphocyte","ED","Wald ratio",1,0.045,0.026,1.047,0.0836,NA,NA,NA,0.037672245
"FOXD2","Lymphocyte","ED","Wald ratio",1,0.03,0.018,1.031,0.0853,NA,NA,NA,0.02787935
"VANGL1","Lymphocyte","ED","Wald ratio",1,-0.05,0.03,0.951,0.0907,NA,NA,NA,0.053732106
"RPRD2","Lymphocyte","ED","Wald ratio",1,0.039,0.023,1.04,0.0943,NA,NA,NA,0.039664345
"C1orf51","Lymphocyte","ED","Wald ratio",1,0.047,0.028,1.049,0.0943,NA,NA,NA,0.039664292
"UBE2J2","Lymphocyte","ED","Wald ratio",1,0.059,0.036,1.06,0.101,NA,NA,NA,0.059061863
"LOC441869","Lymphocyte","ED","Wald ratio",1,0.065,0.04,1.068,0.101,NA,NA,NA,0.059065853
"LOC100128842","Lymphocyte","ED","Wald ratio",1,0.081,0.049,1.084,0.101,NA,NA,NA,0.05903638
"DVL1","Lymphocyte","ED","Wald ratio",1,0.058,0.036,1.06,0.101,NA,NA,NA,0.059016244
"MXRA8","Lymphocyte","ED","Wald ratio",1,0.166,0.101,1.18,0.101,NA,NA,NA,0.059065922
"PUSL1","Lymphocyte","ED","Wald ratio",1,0.061,0.037,1.063,0.101,NA,NA,NA,0.059053992
"SCNN1D","Lymphocyte","ED","Wald ratio",1,0.058,0.035,1.06,0.101,NA,NA,NA,0.059065921
"TNFRSF18","Lymphocyte","ED","Wald ratio",1,0.476,0.291,1.61,0.101,NA,NA,NA,0.059065922
"TTLL10","Lymphocyte","ED","Wald ratio",1,0.074,0.045,1.077,0.101,NA,NA,NA,0.059056725
"ST6GALNAC3","Lymphocyte","ED","Simple mode",3,-0.063,0.022,0.939,0.105,0.73026941,0.112274494,0.287379103,0.07189616
"FCER1A","Lymphocyte","ED","Wald ratio",1,-0.024,0.016,0.976,0.128,NA,NA,NA,0.022771905
"COL9A2","Lymphocyte","ED","Wald ratio",1,-0.065,0.045,0.937,0.149,NA,NA,NA,0.020487075
"SPATA6","Lymphocyte","ED","Wald ratio",1,-0.076,0.053,0.927,0.157,NA,NA,NA,0.024908173
"CAMTA1","Lymphocyte","ED","Weighted median",3,0.021,0.016,1.021,0.187,0.00047696,0.001378414,0.825059745,0.223456835
"ST6GALNAC3","Lymphocyte","ED","MR Egger",3,-0.128,0.04,0.88,0.192,0.73026941,0.112274494,0.287379103,0.07189616
"CD1A","Lymphocyte","ED","Wald ratio",1,-0.02,0.016,0.98,0.203,NA,NA,NA,0.015718068
"CAMTA1","Lymphocyte","ED","Simple mode",3,0.033,0.019,1.033,0.222,0.00047696,0.001378414,0.825059745,0.223456835
"NPHP4","Lymphocyte","ED","Wald ratio",1,-0.021,0.019,0.979,0.249,NA,NA,NA,0.017389256
"PRDM16","Lymphocyte","ED","MR Egger",3,-0.316,0.14,0.729,0.266,0.834020525,0.073288013,0.263486244,0.049933703
"H6PD","Lymphocyte","ED","Wald ratio",1,-0.031,0.028,0.969,0.27,NA,NA,NA,0.01474025
"CAMTA1","Lymphocyte","ED","Weighted mode",3,0.034,0.023,1.035,0.274,0.00047696,0.001378414,0.825059745,0.223456835
"OSCP1","Lymphocyte","ED","Wald ratio",1,-0.041,0.037,0.96,0.275,NA,NA,NA,0.014551831
"UTP11L","Lymphocyte","ED","Wald ratio",1,-0.067,0.063,0.935,0.283,NA,NA,NA,0.011898956
"HIAT1","Lymphocyte","ED","Wald ratio",1,0.044,0.042,1.045,0.29,NA,NA,NA,0.027295732
"GJA5","Lymphocyte","ED","Wald ratio",1,0.038,0.037,1.038,0.302,NA,NA,NA,0.013270037
"CD1D","Lymphocyte","ED","Wald ratio",1,0.027,0.026,1.027,0.307,NA,NA,NA,0.018680492
"GNG12","Lymphocyte","ED","Inverse variance weighted",2,0.089,0.088,1.094,0.309,NA,0.026821098,NA,0.018838361
"LOC648740","Lymphocyte","ED","Wald ratio",1,-0.033,0.034,0.967,0.328,NA,NA,NA,0.025514411
"AK3L1","Lymphocyte","ED","Wald ratio",1,0.066,0.07,1.068,0.346,NA,NA,NA,0.020542273
"KCNA10","Lymphocyte","ED","Wald ratio",1,0.014,0.016,1.014,0.381,NA,NA,NA,0.00991328
"BEST4","Lymphocyte","ED","Wald ratio",1,-0.013,0.015,0.987,0.391,NA,NA,NA,0.009673301
"PTCH2","Lymphocyte","ED","Wald ratio",1,-0.015,0.017,0.985,0.391,NA,NA,NA,0.010040657
"SNORD38A","Lymphocyte","ED","Wald ratio",1,-0.028,0.033,0.972,0.391,NA,NA,NA,0.010040451
"KIF2C","Lymphocyte","ED","Wald ratio",1,-0.146,0.17,0.864,0.391,NA,NA,NA,0.010040657
"ATP1A4","Lymphocyte","ED","Wald ratio",1,-0.023,0.028,0.977,0.414,NA,NA,NA,0.013459811
"ATP1A2","Lymphocyte","ED","Wald ratio",1,-0.016,0.02,0.984,0.414,NA,NA,NA,0.013461391
"C1orf70","Lymphocyte","ED","Wald ratio",1,-0.055,0.069,0.946,0.427,NA,NA,NA,0.011449323
"VWA1","Lymphocyte","ED","Wald ratio",1,-0.018,0.023,0.982,0.427,NA,NA,NA,0.011449323
"TMEM88B","Lymphocyte","ED","Wald ratio",1,-0.018,0.022,0.983,0.427,NA,NA,NA,0.011155044
"SSU72","Lymphocyte","ED","Wald ratio",1,-0.015,0.019,0.985,0.427,NA,NA,NA,0.011449323
"ATAD3A","Lymphocyte","ED","Wald ratio",1,-0.016,0.02,0.984,0.427,NA,NA,NA,0.011449279
"DNALI1","Lymphocyte","ED","Wald ratio",1,0.031,0.041,1.031,0.449,NA,NA,NA,0.00894649
"PTGFRN","Lymphocyte","ED","Wald ratio",1,0.011,0.014,1.011,0.459,NA,NA,NA,0.00615941
"C1orf43","Lymphocyte","ED","Wald ratio",1,-0.011,0.015,0.989,0.469,NA,NA,NA,0.008603826
"LASS2","Lymphocyte","ED","Wald ratio",1,-0.023,0.032,0.977,0.471,NA,NA,NA,0.008965298
"SETDB1","Lymphocyte","ED","Wald ratio",1,-0.013,0.018,0.987,0.471,NA,NA,NA,0.008965298
"GPR177","Lymphocyte","ED","Inverse variance weighted",2,0.015,0.021,1.015,0.476,NA,0.893151309,NA,0.016038555
"IFI44","Lymphocyte","ED","Wald ratio",1,-0.02,0.028,0.98,0.482,NA,NA,NA,0.009163204
"LRIG2","Lymphocyte","ED","Wald ratio",1,-0.01,0.015,0.99,0.483,NA,NA,NA,0.009088536
"PTGER3","Lymphocyte","ED","Wald ratio",1,-0.206,0.304,0.814,0.499,NA,NA,NA,0.013456694
"FCRL3","Lymphocyte","ED","Wald ratio",1,-0.012,0.019,0.988,0.507,NA,NA,NA,0.008257903
"PIK3CD","Lymphocyte","ED","Wald ratio",1,-0.049,0.074,0.953,0.511,NA,NA,NA,0.008399875
