"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"KIF13A","Lymphocyte","PTSD","Wald ratio",1,-0.099,0.028,0.905,0.000394,NA,NA,NA,0.801884844
"COLEC11","Lymphocyte","PTSD","Wald ratio",1,0.091,0.026,1.095,0.000396,NA,NA,NA,0.850153567
"LOC80154","Lymphocyte","PTSD","Wald ratio",1,-0.085,0.025,0.919,0.000834,NA,NA,NA,0.680188295
"SLC2A8","Lymphocyte","PTSD","Wald ratio",1,0.067,0.021,1.069,0.0015,NA,NA,NA,0.588127031
"SMAD3","Lymphocyte","PTSD","Wald ratio",1,-0.056,0.018,0.946,0.00183,NA,NA,NA,0.490989025
"CDK6","Lymphocyte","PTSD","Wald ratio",1,-0.104,0.034,0.901,0.00217,NA,NA,NA,0.553207759
"FOXF1","Lymphocyte","PTSD","Wald ratio",1,0.392,0.128,1.48,0.00217,NA,NA,NA,0.490404942
"TFCP2L1","Lymphocyte","PTSD","Wald ratio",1,0.107,0.036,1.113,0.0026,NA,NA,NA,0.448254386
"PARP14","Lymphocyte","PTSD","Wald ratio",1,-0.273,0.091,0.761,0.00261,NA,NA,NA,0.451805055
"PLCG1","Lymphocyte","PTSD","Wald ratio",1,-0.102,0.034,0.903,0.00261,NA,NA,NA,0.462163282
"C5orf13","Lymphocyte","PTSD","Wald ratio",1,-0.076,0.026,0.927,0.00288,NA,NA,NA,0.382000065
"SLC44A2","Lymphocyte","PTSD","Inverse variance weighted",2,0.037,0.013,1.038,0.00333,NA,0.564918352,NA,0.036032924
"MATN3","Lymphocyte","PTSD","Wald ratio",1,-0.081,0.028,0.923,0.00381,NA,NA,NA,0.33827494
"ATP6V0E2","Lymphocyte","PTSD","Wald ratio",1,-0.079,0.028,0.924,0.00429,NA,NA,NA,0.305649053
"TTC24","Lymphocyte","PTSD","Wald ratio",1,0.05,0.018,1.051,0.00461,NA,NA,NA,0.31057235
"SOBP","Lymphocyte","PTSD","Wald ratio",1,-0.091,0.033,0.913,0.00493,NA,NA,NA,0.415609305
"TTBK1","Lymphocyte","PTSD","Wald ratio",1,0.127,0.045,1.135,0.00529,NA,NA,NA,0.382541383
"METTL13","Lymphocyte","PTSD","Wald ratio",1,-0.07,0.025,0.932,0.00548,NA,NA,NA,0.295562587
"MEF2D","Lymphocyte","PTSD","Wald ratio",1,-0.19,0.069,0.827,0.00564,NA,NA,NA,0.258133545
"ECHDC3","Lymphocyte","PTSD","Wald ratio",1,-0.914,0.332,0.401,0.00591,NA,NA,NA,0.262817594
"TRPV1","Lymphocyte","PTSD","Wald ratio",1,0.05,0.018,1.051,0.00644,NA,NA,NA,0.249151023
"TSHR","Lymphocyte","PTSD","Wald ratio",1,-0.098,0.036,0.906,0.00681,NA,NA,NA,0.225077714
"AIM2","Lymphocyte","PTSD","Wald ratio",1,-0.11,0.041,0.896,0.00701,NA,NA,NA,0.362440401
"FBXO31","Lymphocyte","PTSD","Inverse variance weighted",2,-0.05,0.019,0.951,0.00708,NA,0.863547075,NA,0.069127222
"EHF","Lymphocyte","PTSD","Inverse variance weighted",2,0.049,0.018,1.05,0.00732,NA,0.339289277,NA,0.310782754
"SORBS2","Lymphocyte","PTSD","Wald ratio",1,0.044,0.016,1.044,0.00742,NA,NA,NA,0.217131506
"PREX1","Lymphocyte","PTSD","Wald ratio",1,-0.111,0.042,0.895,0.00755,NA,NA,NA,0.252424738
"TREM1","Lymphocyte","PTSD","Wald ratio",1,-2.475,0.928,0.084,0.00766,NA,NA,NA,0.322608568
"C6orf105","Lymphocyte","PTSD","Wald ratio",1,0.041,0.016,1.042,0.00808,NA,NA,NA,0.194634065
"ZNF507","Lymphocyte","PTSD","Wald ratio",1,0.654,0.248,1.923,0.0083,NA,NA,NA,0.203668424
"KCNS3","Lymphocyte","PTSD","Wald ratio",1,-0.108,0.041,0.897,0.00868,NA,NA,NA,0.29205393
"CCDC40","Lymphocyte","PTSD","Wald ratio",1,0.044,0.017,1.045,0.00875,NA,NA,NA,0.183733137
"RELL1","Lymphocyte","PTSD","Wald ratio",1,-0.096,0.037,0.909,0.00877,NA,NA,NA,0.260178577
"OTX2","Lymphocyte","PTSD","Wald ratio",1,0.047,0.018,1.048,0.00888,NA,NA,NA,0.184733179
"CLUAP1","Lymphocyte","PTSD","Wald ratio",1,0.063,0.024,1.065,0.00898,NA,NA,NA,0.191546409
"ACTN1","Lymphocyte","PTSD","Wald ratio",1,-0.086,0.033,0.918,0.00944,NA,NA,NA,0.20460533
"C1orf127","Lymphocyte","PTSD","Wald ratio",1,0.086,0.033,1.089,0.00989,NA,NA,NA,0.192262495
"MOSC2","Lymphocyte","PTSD","Wald ratio",1,-0.088,0.034,0.916,0.00997,NA,NA,NA,0.289469846
"MOSC1","Lymphocyte","PTSD","Wald ratio",1,-0.199,0.077,0.82,0.00997,NA,NA,NA,0.28988577
"MIR200A","Lymphocyte","PTSD","Wald ratio",1,-0.091,0.035,0.913,0.0102,NA,NA,NA,0.265629031
"SH3D20","Lymphocyte","PTSD","Wald ratio",1,-0.069,0.027,0.933,0.0104,NA,NA,NA,0.197047137
"IGF2BP2","Lymphocyte","PTSD","Wald ratio",1,-0.059,0.023,0.943,0.0104,NA,NA,NA,0.191330798
"ATP8A2","Lymphocyte","PTSD","Inverse variance weighted",3,0.034,0.013,1.035,0.0106,0.372227858,0.66391936,0.90423213,0.007992221
"INPP4A","Lymphocyte","PTSD","Wald ratio",1,-0.053,0.021,0.948,0.0108,NA,NA,NA,0.172148479
"KIF21A","Lymphocyte","PTSD","Wald ratio",1,1.111,0.439,3.039,0.0113,NA,NA,NA,0.187748868
"RASSF6","Lymphocyte","PTSD","Wald ratio",1,0.063,0.025,1.066,0.0118,NA,NA,NA,0.147665957
"C1orf94","Lymphocyte","PTSD","Wald ratio",1,0.226,0.09,1.253,0.0119,NA,NA,NA,0.167183508
"GXYLT1","Lymphocyte","PTSD","Wald ratio",1,3.74,1.49,42.105,0.0121,NA,NA,NA,0.145643751
"RPL28","Lymphocyte","PTSD","Wald ratio",1,-4.313,1.731,0.013,0.0127,NA,NA,NA,0.223640992
"COX6B2","Lymphocyte","PTSD","Wald ratio",1,-0.085,0.034,0.918,0.0127,NA,NA,NA,0.223640986
"FAM71E2","Lymphocyte","PTSD","Wald ratio",1,-0.091,0.037,0.913,0.0127,NA,NA,NA,0.223640992
"TNRC6C","Lymphocyte","PTSD","Wald ratio",1,-0.039,0.016,0.962,0.0133,NA,NA,NA,0.138666212
"CXCL13","Lymphocyte","PTSD","Wald ratio",1,-0.05,0.02,0.951,0.0134,NA,NA,NA,0.16550459
"NT5DC3","Lymphocyte","PTSD","Wald ratio",1,0.909,0.367,2.481,0.0134,NA,NA,NA,0.179203457
"MCC","Lymphocyte","PTSD","Wald ratio",1,-0.063,0.025,0.939,0.014,NA,NA,NA,0.136205799
"FHL3","Lymphocyte","PTSD","Wald ratio",1,-0.059,0.024,0.942,0.0146,NA,NA,NA,0.171959724
"NRXN1","Lymphocyte","PTSD","Wald ratio",1,0.443,0.181,1.558,0.0146,NA,NA,NA,0.124552602
