"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"MYLK","Stem-cell-iPSC","ADHD","Wald ratio",1,0.071,0.016,1.073,9.88e-06,NA,NA,NA,0.98802887
"CD40","Stem-cell-iPSC","ADHD","Wald ratio",1,0.051,0.015,1.052,0.000534,NA,NA,NA,0.643699522
"SYDE1","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.067,0.021,0.935,0.0011,NA,NA,NA,0.029881222
"ALDH16A1","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.044,0.014,0.957,0.00193,NA,NA,NA,0.396644036
"DHX38","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.063,0.021,0.939,0.0027,NA,NA,NA,0.014236201
"TRMT61B","Stem-cell-iPSC","ADHD","Wald ratio",1,0.039,0.013,1.039,0.00279,NA,NA,NA,0.28852693
"RMDN1","Stem-cell-iPSC","ADHD","Wald ratio",1,0.033,0.011,1.034,0.00306,NA,NA,NA,0.295908105
"MANBA","Stem-cell-iPSC","ADHD","Wald ratio",1,0.038,0.014,1.039,0.00531,NA,NA,NA,0.192497146
"ALPL","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.058,0.021,0.944,0.00534,NA,NA,NA,0.008702342
"TARS","Stem-cell-iPSC","ADHD","Wald ratio",1,0.084,0.03,1.087,0.00604,NA,NA,NA,0.020434019
"C14orf159","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.024,0.009,0.977,0.00773,NA,NA,NA,0.147966444
"MCCC1","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.057,0.022,0.944,0.00929,NA,NA,NA,0.010193067
"PSMB7","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.098,0.04,0.906,0.014,NA,NA,NA,0.212614407
"IQCB1","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.032,0.013,0.968,0.0164,NA,NA,NA,0.088377316
"IMMT","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.042,0.018,0.958,0.0168,NA,NA,NA,0.073741678
"LTA4H","Stem-cell-iPSC","ADHD","Wald ratio",1,0.098,0.041,1.103,0.0183,NA,NA,NA,0.022997347
"MTAP","Stem-cell-iPSC","ADHD","Wald ratio",1,0.094,0.04,1.098,0.0205,NA,NA,NA,0.023064016
"DLG1","Stem-cell-iPSC","ADHD","Wald ratio",1,0.046,0.02,1.047,0.0215,NA,NA,NA,0.063088815
"PLEKHA7","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.042,0.018,0.959,0.0221,NA,NA,NA,0.044759556
"BRD3","Stem-cell-iPSC","ADHD","Wald ratio",1,0.046,0.02,1.047,0.0244,NA,NA,NA,0.007933892
"KHK","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.037,0.016,0.964,0.026,NA,NA,NA,0.039094672
"SLC25A1","Stem-cell-iPSC","ADHD","Wald ratio",1,0.081,0.039,1.084,0.0369,NA,NA,NA,0.00306543
"DCP1B","Stem-cell-iPSC","ADHD","Wald ratio",1,0.041,0.02,1.042,0.038,NA,NA,NA,0.008754453
"CHMP2B","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.058,0.028,0.944,0.0396,NA,NA,NA,0.007841379
"CHMP1A","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.042,0.021,0.959,0.0411,NA,NA,NA,0.009306011
"ALDH7A1","Stem-cell-iPSC","ADHD","Wald ratio",1,0.044,0.022,1.045,0.0412,NA,NA,NA,0.033167071
"TMEM143","Stem-cell-iPSC","ADHD","Wald ratio",1,0.045,0.023,1.046,0.0455,NA,NA,NA,0.00048114
"MON2","Stem-cell-iPSC","ADHD","Wald ratio",1,0.041,0.021,1.042,0.0455,NA,NA,NA,0.032200085
"MLH1","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.052,0.026,0.95,0.0466,NA,NA,NA,0.001354213
"HDDC3","Stem-cell-iPSC","ADHD","Wald ratio",1,0.035,0.018,1.036,0.0497,NA,NA,NA,0.01783273
"FAHD1","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.029,0.015,0.971,0.0511,NA,NA,NA,0.038894194
"VAMP4","Stem-cell-iPSC","ADHD","Wald ratio",1,0.034,0.018,1.035,0.053,NA,NA,NA,0.002346201
"SLC1A5","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.058,0.03,0.944,0.0578,NA,NA,NA,0.008145253
"MDH2","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.023,0.012,0.977,0.0584,NA,NA,NA,0.02948727
"PROSC","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.072,0.038,0.931,0.0595,NA,NA,NA,0.005166442
"MRI1","Stem-cell-iPSC","ADHD","Wald ratio",1,0.031,0.016,1.031,0.0611,NA,NA,NA,0.030574229
"METTL18","Stem-cell-iPSC","ADHD","Wald ratio",1,0.026,0.014,1.027,0.0612,NA,NA,NA,0.038717583
"MZT2A","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.037,0.02,0.963,0.0613,NA,NA,NA,0.002906846
"ADA","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.043,0.023,0.958,0.0652,NA,NA,NA,0.024981984
"HIBCH","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.029,0.016,0.971,0.0654,NA,NA,NA,0.025133878
"AP5M1","Stem-cell-iPSC","ADHD","Wald ratio",1,0.04,0.022,1.041,0.0716,NA,NA,NA,0.002111615
"TBCD","Stem-cell-iPSC","ADHD","Wald ratio",1,0.047,0.026,1.048,0.0739,NA,NA,NA,0.032785354
"GSTZ1","Stem-cell-iPSC","ADHD","Wald ratio",1,0.015,0.008,1.015,0.0754,NA,NA,NA,0.023374036
"ACP6","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.035,0.02,0.965,0.0773,NA,NA,NA,0.002275605
"VWA5A","Stem-cell-iPSC","ADHD","Wald ratio",1,0.035,0.02,1.035,0.0792,NA,NA,NA,0.02191878
"WNK2","Stem-cell-iPSC","ADHD","Wald ratio",1,-0.044,0.025,0.957,0.0795,NA,NA,NA,0.031040091
