"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"TAF6","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.111,0.026,0.895,1.56e-05,NA,NA,NA,0.843083629
"NSF","Stem-cell-iPSC","ALZ","Wald ratio",1,0.082,0.028,1.086,0.00301,NA,NA,NA,0.13309211
"TSFM","Stem-cell-iPSC","ALZ","Wald ratio",1,0.04,0.014,1.041,0.00325,NA,NA,NA,0.282396653
"EARS2","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.053,0.019,0.948,0.00523,NA,NA,NA,0.058156754
"CTSH","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.045,0.016,0.956,0.00661,NA,NA,NA,0.254051047
"RTFDC1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.084,0.034,0.919,0.0143,NA,NA,NA,0.040988621
"ACOT2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.059,0.024,1.061,0.0149,NA,NA,NA,0.007102616
"ATP5S","Stem-cell-iPSC","ALZ","Wald ratio",1,0.034,0.014,1.035,0.0168,NA,NA,NA,0.079391837
"TRAPPC4","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.062,0.026,0.939,0.0179,NA,NA,NA,0.002332218
"TARS","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.075,0.032,0.928,0.0181,NA,NA,NA,0.008118995
"CFL2","Stem-cell-iPSC","ALZ","Wald ratio",1,0.058,0.025,1.06,0.0198,NA,NA,NA,0.092628149
"QTRTD1","Stem-cell-iPSC","ALZ","Wald ratio",1,-0.057,0.025,0.944,0.0211,NA,NA,NA,0.007015677
"GNAQ","Stem-cell-iPSC","ALZ","Wald ratio",1,0.073,0.032,1.076,0.0217,NA,NA,NA,0.04849751
"VWDE","Stem-cell-iPSC","ALZ","Wald ratio",1,0.034,0.015,1.035,0.0248,NA,NA,NA,0.057002277
