"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"WDSUB1","Stem-cell-iPSC","ANX","Wald ratio",1,0.201,0.058,1.223,0.000506,NA,NA,NA,0.528083018
"NUF2","Stem-cell-iPSC","ANX","Wald ratio",1,0.253,0.079,1.288,0.00132,NA,NA,NA,0.577821621
"ACTA1","Stem-cell-iPSC","ANX","Wald ratio",1,0.167,0.053,1.182,0.0018,NA,NA,NA,0.316369261
"HSDL2","Stem-cell-iPSC","ANX","Wald ratio",1,0.222,0.073,1.249,0.00235,NA,NA,NA,0.057015907
"FLNB","Stem-cell-iPSC","ANX","Wald ratio",1,-0.264,0.094,0.768,0.00481,NA,NA,NA,0.097750397
"AAMDC","Stem-cell-iPSC","ANX","Wald ratio",1,0.118,0.044,1.126,0.00709,NA,NA,NA,0.405066872
"CENPU","Stem-cell-iPSC","ANX","Wald ratio",1,-0.118,0.045,0.888,0.00912,NA,NA,NA,0.306024988
"NNT","Stem-cell-iPSC","ANX","Wald ratio",1,-0.178,0.071,0.837,0.0122,NA,NA,NA,0.315669045
"MCOLN2","Stem-cell-iPSC","ANX","Wald ratio",1,0.097,0.04,1.102,0.0148,NA,NA,NA,0.000765854
"PYGL","Stem-cell-iPSC","ANX","Wald ratio",1,0.217,0.09,1.242,0.0156,NA,NA,NA,0.095741915
"TTC27","Stem-cell-iPSC","ANX","Wald ratio",1,0.169,0.073,1.184,0.0204,NA,NA,NA,0.123188283
"R3HCC1","Stem-cell-iPSC","ANX","Wald ratio",1,-0.162,0.07,0.851,0.0213,NA,NA,NA,0.002647451
"RDH13","Stem-cell-iPSC","ANX","Wald ratio",1,0.098,0.043,1.103,0.0216,NA,NA,NA,0.156098231
"TAF6","Stem-cell-iPSC","ANX","Wald ratio",1,0.152,0.07,1.164,0.0294,NA,NA,NA,0.014000315
"CDC7","Stem-cell-iPSC","ANX","Wald ratio",1,0.143,0.069,1.153,0.0378,NA,NA,NA,0.053690184
"FAM101B","Stem-cell-iPSC","ANX","Wald ratio",1,0.225,0.109,1.253,0.0383,NA,NA,NA,0.013140018
"GNL3","Stem-cell-iPSC","ANX","Wald ratio",1,-0.118,0.058,0.888,0.0423,NA,NA,NA,0.084352031
"WASL","Stem-cell-iPSC","ANX","Wald ratio",1,0.121,0.062,1.128,0.0531,NA,NA,NA,0.084883045
"IMMT","Stem-cell-iPSC","ANX","Wald ratio",1,0.11,0.057,1.116,0.0541,NA,NA,NA,0.082444292
"CHMP2B","Stem-cell-iPSC","ANX","Wald ratio",1,-0.146,0.078,0.864,0.0598,NA,NA,NA,0.014675882
"IVD","Stem-cell-iPSC","ANX","Wald ratio",1,-0.107,0.057,0.898,0.0616,NA,NA,NA,0.040841163
"ACADS","Stem-cell-iPSC","ANX","Wald ratio",1,0.11,0.059,1.117,0.0632,NA,NA,NA,0.027870654
