"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"MANBA","Stem-cell-iPSC","ASD","Wald ratio","1",0.08,0.02,1.084,7.95e-05,NA,NA,NA,0.944482373
"NSF","Stem-cell-iPSC","ASD","Wald ratio","1",-0.125,0.034,0.883,0.000232,NA,NA,NA,0.660041152
"ZNF557","Stem-cell-iPSC","ASD","Wald ratio","1",-0.079,0.024,0.924,0.000851,NA,NA,NA,0.005004816
"GNL3","Stem-cell-iPSC","ASD","Wald ratio","1",0.101,0.03,1.107,0.000888,NA,NA,NA,0.609476018
"DYSF","Stem-cell-iPSC","ASD","Wald ratio","1",-0.092,0.029,0.912,0.00128,NA,NA,NA,0.48000587
"FAM160A1","Stem-cell-iPSC","ASD","Wald ratio","1",-0.092,0.029,0.912,0.00144,NA,NA,NA,0.492801075
"TRIOBP","Stem-cell-iPSC","ASD","Wald ratio","1",0.098,0.033,1.103,0.00258,NA,NA,NA,0.397139354
"MYLK","Stem-cell-iPSC","ASD","Wald ratio","1",0.069,0.023,1.072,0.00276,NA,NA,NA,0.375366991
"CTSH","Stem-cell-iPSC","ASD","Wald ratio","1",-0.066,0.023,0.937,0.00417,NA,NA,NA,0.409579344
"CPT2","Stem-cell-iPSC","ASD","Wald ratio","1",0.071,0.025,1.073,0.00459,NA,NA,NA,0.3099062
"TRIM68","Stem-cell-iPSC","ASD","Wald ratio","1",0.074,0.028,1.077,0.00894,NA,NA,NA,0.002030586
"GSTZ1","Stem-cell-iPSC","ASD","Wald ratio","1",0.033,0.013,1.033,0.0108,NA,NA,NA,0.158738433
"MPI","Stem-cell-iPSC","ASD","Wald ratio","1",0.085,0.033,1.088,0.0111,NA,NA,NA,0.146409189
"CCDC97","Stem-cell-iPSC","ASD","Wald ratio","1",0.069,0.027,1.071,0.0116,NA,NA,NA,0.011249693
"IVD","Stem-cell-iPSC","ASD","Wald ratio","1",-0.076,0.03,0.927,0.0118,NA,NA,NA,0.086715647
"NAGA","Stem-cell-iPSC","ASD","Wald ratio","1",-0.12,0.048,0.887,0.0129,NA,NA,NA,0.021090676
"SIVA1","Stem-cell-iPSC","ASD","Wald ratio","1",0.153,0.062,1.165,0.0142,NA,NA,NA,0.002482512
"SELENBP1","Stem-cell-iPSC","ASD","Wald ratio","1",0.102,0.043,1.107,0.0166,NA,NA,NA,0.085712724
"SURF1","Stem-cell-iPSC","ASD","Wald ratio","1",-0.053,0.023,0.949,0.019,NA,NA,NA,0.096499019
"ZNF830","Stem-cell-iPSC","ASD","Wald ratio","1",-0.123,0.053,0.885,0.0197,NA,NA,NA,0.001240704
"NUBPL","Stem-cell-iPSC","ASD","Wald ratio","1",-0.082,0.036,0.921,0.0234,NA,NA,NA,0.003599981
"SCCPDH","Stem-cell-iPSC","ASD","Wald ratio","1",-0.069,0.03,0.934,0.0244,NA,NA,NA,0.006015638
"SYDE1","Stem-cell-iPSC","ASD","Wald ratio","1",-0.069,0.031,0.933,0.0247,NA,NA,NA,0.002772944
"SMC2","Stem-cell-iPSC","ASD","Wald ratio","1",-0.046,0.021,0.955,0.0253,NA,NA,NA,0.077254744
