"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"GNL3","Stem-cell-iPSC","BP","Wald ratio",1,0.148,0.02,1.16,3.62e-13,NA,NA,NA,0.999916011
"ACTN3","Stem-cell-iPSC","BP","Wald ratio",1,0.05,0.009,1.052,6.52e-08,NA,NA,NA,0.999899793
"CD40","Stem-cell-iPSC","BP","Wald ratio",1,0.072,0.015,1.075,6.63e-07,NA,NA,NA,0.998842482
"MAPK3","Stem-cell-iPSC","BP","Wald ratio",1,-0.068,0.016,0.934,1.82e-05,NA,NA,NA,0.978996873
"ORMDL3","Stem-cell-iPSC","BP","Wald ratio",1,0.071,0.018,1.074,0.000105,NA,NA,NA,0.059847524
"KIAA1524","Stem-cell-iPSC","BP","Wald ratio",1,-0.1,0.028,0.905,0.000331,NA,NA,NA,0.189463579
"ATIC","Stem-cell-iPSC","BP","Wald ratio",1,-0.05,0.014,0.952,0.000353,NA,NA,NA,0.749704876
"SRR","Stem-cell-iPSC","BP","Wald ratio",1,0.054,0.017,1.056,0.00101,NA,NA,NA,0.501668932
"MAVS","Stem-cell-iPSC","BP","Wald ratio",1,-0.064,0.02,0.938,0.00138,NA,NA,NA,0.402491508
"NSUN2","Stem-cell-iPSC","BP","Wald ratio",1,-0.081,0.026,0.922,0.00155,NA,NA,NA,0.361883451
"GOSR1","Stem-cell-iPSC","BP","Wald ratio",1,-0.075,0.025,0.928,0.00279,NA,NA,NA,0.059208316
"CUL4A","Stem-cell-iPSC","BP","Wald ratio",1,0.062,0.021,1.064,0.00312,NA,NA,NA,0.142415076
"TBRG4","Stem-cell-iPSC","BP","Wald ratio",1,-0.088,0.03,0.915,0.00323,NA,NA,NA,0.124388836
"KDR","Stem-cell-iPSC","BP","Wald ratio",1,-0.071,0.024,0.932,0.00337,NA,NA,NA,0.027578273
"EARS2","Stem-cell-iPSC","BP","Wald ratio",1,-0.053,0.018,0.949,0.0034,NA,NA,NA,0.079166254
"TGFB1I1","Stem-cell-iPSC","BP","Wald ratio",1,0.055,0.019,1.056,0.00458,NA,NA,NA,0.189391079
"WNK2","Stem-cell-iPSC","BP","Wald ratio",1,-0.068,0.024,0.934,0.00507,NA,NA,NA,0.252763746
"VRK2","Stem-cell-iPSC","BP","Wald ratio",1,0.051,0.018,1.052,0.00563,NA,NA,NA,0.178455418
"ARID3B","Stem-cell-iPSC","BP","Wald ratio",1,0.042,0.016,1.042,0.00809,NA,NA,NA,0.189109995
"CHMP2B","Stem-cell-iPSC","BP","Wald ratio",1,-0.073,0.028,0.929,0.0085,NA,NA,NA,0.029088808
"C9orf64","Stem-cell-iPSC","BP","Wald ratio",1,-0.04,0.015,0.961,0.00886,NA,NA,NA,0.029914473
"MLH1","Stem-cell-iPSC","BP","Wald ratio",1,0.068,0.026,1.07,0.00896,NA,NA,NA,0.005643356
"VAMP4","Stem-cell-iPSC","BP","Wald ratio",1,-0.047,0.018,0.954,0.00897,NA,NA,NA,0.010835631
"GGPS1","Stem-cell-iPSC","BP","Wald ratio",1,-0.101,0.039,0.904,0.00913,NA,NA,NA,0.008010626
"PAAF1","Stem-cell-iPSC","BP","Wald ratio",1,-0.045,0.017,0.956,0.00944,NA,NA,NA,0.194868128
"TRAPPC4","Stem-cell-iPSC","BP","Wald ratio",1,-0.066,0.026,0.937,0.0105,NA,NA,NA,0.003604653
"CENPU","Stem-cell-iPSC","BP","Wald ratio",1,-0.036,0.014,0.965,0.0106,NA,NA,NA,0.115516987
"PPP2R4","Stem-cell-iPSC","BP","Wald ratio",1,0.055,0.022,1.057,0.0116,NA,NA,NA,0.170925747
"TAF6","Stem-cell-iPSC","BP","Wald ratio",1,0.062,0.025,1.064,0.0124,NA,NA,NA,0.011076765
"SLC25A1","Stem-cell-iPSC","BP","Wald ratio",1,-0.086,0.035,0.918,0.0155,NA,NA,NA,0.005957158
"GSTZ1","Stem-cell-iPSC","BP","Wald ratio",1,0.021,0.009,1.021,0.016,NA,NA,NA,0.082912642
"MDH2","Stem-cell-iPSC","BP","Wald ratio",1,-0.029,0.012,0.971,0.0168,NA,NA,NA,0.081207287
"HBP1","Stem-cell-iPSC","BP","Wald ratio",1,-0.039,0.017,0.961,0.0173,NA,NA,NA,0.004426121
"ITSN2","Stem-cell-iPSC","BP","Wald ratio",1,0.051,0.022,1.053,0.0182,NA,NA,NA,0.002259749
"CPS1","Stem-cell-iPSC","BP","Wald ratio",1,0.044,0.019,1.045,0.0184,NA,NA,NA,0.055659653
"VWA5A","Stem-cell-iPSC","BP","Wald ratio",1,0.046,0.02,1.047,0.0188,NA,NA,NA,0.069806085
"APOBEC3B","Stem-cell-iPSC","BP","Wald ratio",1,0.056,0.024,1.058,0.0213,NA,NA,NA,0.020155897
"MGST3","Stem-cell-iPSC","BP","Wald ratio",1,0.055,0.024,1.056,0.0219,NA,NA,NA,0.027290796
"FAHD1","Stem-cell-iPSC","BP","Wald ratio",1,0.035,0.015,1.035,0.0236,NA,NA,NA,0.073996245
"CHMP1A","Stem-cell-iPSC","BP","Wald ratio",1,0.046,0.021,1.047,0.0241,NA,NA,NA,0.014604161
"AIMP2","Stem-cell-iPSC","BP","Wald ratio",1,0.019,0.008,1.019,0.0253,NA,NA,NA,0.062305511
"UCHL3","Stem-cell-iPSC","BP","Wald ratio",1,-0.063,0.029,0.939,0.0276,NA,NA,NA,0.049045612
"ATP8A1","Stem-cell-iPSC","BP","Wald ratio",1,-0.049,0.022,0.952,0.0292,NA,NA,NA,0.000230772
"TAMM41","Stem-cell-iPSC","BP","Wald ratio",1,0.031,0.014,1.031,0.0319,NA,NA,NA,0.045473573
"DIRAS1","Stem-cell-iPSC","BP","Wald ratio",1,-0.052,0.024,0.949,0.0321,NA,NA,NA,0.000353401
"METTL18","Stem-cell-iPSC","BP","Wald ratio",1,-0.032,0.015,0.969,0.0328,NA,NA,NA,0.066609044
"COIL","Stem-cell-iPSC","BP","Wald ratio",1,-0.061,0.029,0.94,0.0354,NA,NA,NA,0.00706279
"HDDC3","Stem-cell-iPSC","BP","Wald ratio",1,-0.038,0.018,0.963,0.0354,NA,NA,NA,0.023785799
"CYB5R2","Stem-cell-iPSC","BP","Wald ratio",1,0.054,0.025,1.055,0.0355,NA,NA,NA,0.038429215
"SMC2","Stem-cell-iPSC","BP","Wald ratio",1,-0.029,0.014,0.972,0.038,NA,NA,NA,0.038620791
"DDX51","Stem-cell-iPSC","BP","Wald ratio",1,-0.04,0.019,0.961,0.0404,NA,NA,NA,0.03391063
"MCOLN2","Stem-cell-iPSC","BP","Wald ratio",1,-0.027,0.013,0.973,0.0406,NA,NA,NA,0.000116056
"IQGAP1","Stem-cell-iPSC","BP","Wald ratio",1,-0.049,0.024,0.953,0.0409,NA,NA,NA,0.010158455
