"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CD40","Stem-cell-iPSC","DEP","Wald ratio",1,0.034,0.007,1.034,7.81e-07,NA,NA,NA,0.997440881
"SELENBP1","Stem-cell-iPSC","DEP","Wald ratio",1,0.053,0.013,1.054,7.36e-05,NA,NA,NA,0.813756302
"VRK2","Stem-cell-iPSC","DEP","Wald ratio",1,0.034,0.008,1.034,7.67e-05,NA,NA,NA,0.844943966
"ACTN3","Stem-cell-iPSC","DEP","Wald ratio",1,0.016,0.004,1.017,0.000113,NA,NA,NA,0.786781656
"GNL3","Stem-cell-iPSC","DEP","Wald ratio",1,0.034,0.009,1.035,0.000261,NA,NA,NA,0.608047709
"ACADS","Stem-cell-iPSC","DEP","Wald ratio",1,0.032,0.01,1.032,0.000946,NA,NA,NA,0.169571666
"MYLK","Stem-cell-iPSC","DEP","Wald ratio",1,0.023,0.007,1.023,0.00137,NA,NA,NA,0.267409834
"SHMT1","Stem-cell-iPSC","DEP","Wald ratio",1,-0.028,0.009,0.972,0.0016,NA,NA,NA,0.245772405
"CPPED1","Stem-cell-iPSC","DEP","Wald ratio",1,-0.043,0.014,0.958,0.00189,NA,NA,NA,0.133730948
"DYSF","Stem-cell-iPSC","DEP","Wald ratio",1,-0.028,0.009,0.973,0.00195,NA,NA,NA,0.16842843
"MDH2","Stem-cell-iPSC","DEP","Wald ratio",1,-0.017,0.006,0.983,0.00203,NA,NA,NA,0.214619429
"MTAP","Stem-cell-iPSC","DEP","Wald ratio",1,-0.056,0.018,0.945,0.00219,NA,NA,NA,0.074070138
"EPB41L4A","Stem-cell-iPSC","DEP","Wald ratio",1,0.026,0.008,1.026,0.00235,NA,NA,NA,0.001963688
"POLI","Stem-cell-iPSC","DEP","Wald ratio",1,0.021,0.007,1.021,0.00251,NA,NA,NA,0.174608738
"CLN8","Stem-cell-iPSC","DEP","Wald ratio",1,-0.031,0.011,0.97,0.00371,NA,NA,NA,0.014102813
"CSE1L","Stem-cell-iPSC","DEP","Wald ratio",1,0.056,0.02,1.058,0.00586,NA,NA,NA,0.011321961
"ATP1B1","Stem-cell-iPSC","DEP","Wald ratio",1,-0.03,0.011,0.97,0.00607,NA,NA,NA,0.044559646
"PTAR1","Stem-cell-iPSC","DEP","Wald ratio",1,-0.035,0.014,0.965,0.00874,NA,NA,NA,0.006861341
