"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"ATIC","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.073,0.022,0.93,0.000803,NA,NA,NA,0.68166334
"KIAA1211","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.08,0.025,0.923,0.00124,NA,NA,NA,0.580472831
"SELENBP1","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.133,0.045,0.876,0.0031,NA,NA,NA,0.304278883
"NUDT2","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.081,0.027,0.922,0.0032,NA,NA,NA,0.435660347
"GALNT3","Stem-cell-iPSC","PTSD","Wald ratio",1,0.066,0.024,1.068,0.00505,NA,NA,NA,0.269137426
"CCBL2","Stem-cell-iPSC","PTSD","Wald ratio",1,0.049,0.018,1.05,0.00584,NA,NA,NA,0.24419351
"OXSR1","Stem-cell-iPSC","PTSD","Wald ratio",1,0.112,0.042,1.118,0.00707,NA,NA,NA,0.108720569
"MCOLN2","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.056,0.021,0.946,0.00868,NA,NA,NA,0.000693779
"CUL4A","Stem-cell-iPSC","PTSD","Wald ratio",1,0.079,0.031,1.082,0.0117,NA,NA,NA,0.069411905
"FBXL18","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.091,0.036,0.913,0.0123,NA,NA,NA,0.066415433
"AACS","Stem-cell-iPSC","PTSD","Wald ratio",1,0.123,0.049,1.131,0.0127,NA,NA,NA,0.040888335
"KHK","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.064,0.026,0.938,0.0134,NA,NA,NA,0.101119466
"COIL","Stem-cell-iPSC","PTSD","Wald ratio",1,0.11,0.045,1.116,0.0156,NA,NA,NA,0.021709249
"KIAA1524","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.108,0.045,0.898,0.0161,NA,NA,NA,0.010665511
"IWS1","Stem-cell-iPSC","PTSD","Wald ratio",1,0.1,0.043,1.106,0.0192,NA,NA,NA,0.001504238
"COA1","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.078,0.034,0.925,0.023,NA,NA,NA,0.088360497
"TP53I3","Stem-cell-iPSC","PTSD","Wald ratio",1,0.086,0.038,1.09,0.0235,NA,NA,NA,0.026050634
"ATAD3A","Stem-cell-iPSC","PTSD","Wald ratio",1,0.22,0.097,1.246,0.0238,NA,NA,NA,0.012948761
"TTC27","Stem-cell-iPSC","PTSD","Wald ratio",1,0.077,0.034,1.08,0.0247,NA,NA,NA,0.060937528
"PPP2R4","Stem-cell-iPSC","PTSD","Wald ratio",1,0.076,0.034,1.079,0.0257,NA,NA,NA,0.134837734
"DCP1B","Stem-cell-iPSC","PTSD","Wald ratio",1,0.068,0.031,1.071,0.0267,NA,NA,NA,0.018308029
"GAA","Stem-cell-iPSC","PTSD","Wald ratio",1,0.061,0.028,1.063,0.0285,NA,NA,NA,0.076076054
"CSE1L","Stem-cell-iPSC","PTSD","Wald ratio",1,0.159,0.074,1.173,0.0303,NA,NA,NA,0.009464258
"MYLK","Stem-cell-iPSC","PTSD","Wald ratio",1,0.053,0.025,1.054,0.0305,NA,NA,NA,0.070594679
"CPNE1","Stem-cell-iPSC","PTSD","Wald ratio",1,0.033,0.015,1.034,0.0324,NA,NA,NA,0.100805533
"LRPPRC","Stem-cell-iPSC","PTSD","Wald ratio",1,0.043,0.021,1.044,0.037,NA,NA,NA,0.06148547
