"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"GNL3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.162,0.019,1.176,7.63e-18,NA,NA,NA,0.999916012
"MAPK3","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.09,0.014,0.914,3.88e-10,NA,NA,NA,0.999999271
"VRK2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.093,0.017,1.098,4.06e-08,NA,NA,NA,0.999932177
"NSF","Stem-cell-iPSC","SCZ","Wald ratio",1,0.103,0.021,1.108,1.52e-06,NA,NA,NA,0.990623802
"CHMP1A","Stem-cell-iPSC","SCZ","Wald ratio",1,0.091,0.019,1.095,1.74e-06,NA,NA,NA,0.986957922
"TBC1D15","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.14,0.03,0.869,2.58e-06,NA,NA,NA,0.945152933
"CD40","Stem-cell-iPSC","SCZ","Wald ratio",1,0.063,0.013,1.065,2.91e-06,NA,NA,NA,0.995483853
"PPP2R4","Stem-cell-iPSC","SCZ","Wald ratio",1,0.091,0.02,1.096,4.75e-06,NA,NA,NA,0.996199163
"KHK","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.066,0.015,0.936,1.3e-05,NA,NA,NA,0.97601006
"NUP50","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.089,0.021,0.915,2.35e-05,NA,NA,NA,0.921401895
"STRN","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.072,0.018,0.931,4.98e-05,NA,NA,NA,0.941475115
"PRMT7","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.054,0.014,0.947,0.00014,NA,NA,NA,0.891478699
"DIP2B","Stem-cell-iPSC","SCZ","Wald ratio",1,0.055,0.015,1.057,0.000168,NA,NA,NA,0.84960241
"MMAB","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.043,0.012,0.958,0.000243,NA,NA,NA,0.804929534
"PRKAB1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.105,0.029,1.111,0.000343,NA,NA,NA,0.103657598
"TRMT61B","Stem-cell-iPSC","SCZ","Wald ratio",1,0.043,0.012,1.043,0.000366,NA,NA,NA,0.710852896
"SLC25A24","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.035,0.01,0.966,0.000395,NA,NA,NA,0.72923626
"ACADS","Stem-cell-iPSC","SCZ","Wald ratio",1,0.067,0.019,1.069,0.000456,NA,NA,NA,0.440173607
"NUDCD3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.09,0.026,1.094,5e-04,NA,NA,NA,0.579304533
"GULP1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.055,0.016,0.946,0.000747,NA,NA,NA,0.555552116
"CENPU","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.043,0.013,0.958,0.000938,NA,NA,NA,0.524730898
"NSUN2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.076,0.023,0.926,0.000964,NA,NA,NA,0.443294661
"KCTD14","Stem-cell-iPSC","SCZ","Wald ratio",1,0.092,0.029,1.096,0.00154,NA,NA,NA,0.306384255
"RTN3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.067,0.021,1.07,0.00165,NA,NA,NA,0.403695666
"GOSR1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.072,0.023,0.93,0.00171,NA,NA,NA,0.083149413
"HSDL2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.073,0.023,0.93,0.00173,NA,NA,NA,0.027217802
"RAB5A","Stem-cell-iPSC","SCZ","Wald ratio",1,0.064,0.02,1.066,0.00185,NA,NA,NA,0.210978499
"WDR18","Stem-cell-iPSC","SCZ","Wald ratio",1,0.061,0.02,1.063,0.00199,NA,NA,NA,0.019665406
"MANBA","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.037,0.012,0.963,0.00251,NA,NA,NA,0.299802451
"HDDC3","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.05,0.017,0.951,0.0027,NA,NA,NA,0.181311464
"AP3M2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.056,0.019,0.945,0.00291,NA,NA,NA,0.023772956
"FAM221A","Stem-cell-iPSC","SCZ","Wald ratio",1,0.037,0.012,1.037,0.00314,NA,NA,NA,0.248260713
"NMD3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.057,0.02,1.059,0.00343,NA,NA,NA,0.199380978
"DIRAS1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.065,0.022,0.937,0.00361,NA,NA,NA,0.002234464
"NAT10","Stem-cell-iPSC","SCZ","Wald ratio",1,0.082,0.028,1.086,0.00384,NA,NA,NA,0.077231872
"NSFL1C","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.064,0.022,0.938,0.00389,NA,NA,NA,0.187436295
"TRAPPC4","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.067,0.023,0.936,0.00445,NA,NA,NA,0.007121683
"SELENBP1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.076,0.027,1.079,0.00476,NA,NA,NA,0.1541374
"ATXN2L","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.041,0.014,0.96,0.00482,NA,NA,NA,0.113288645
"NIPSNAP1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.068,0.024,1.07,0.00483,NA,NA,NA,0.196095856
"EI24","Stem-cell-iPSC","SCZ","Wald ratio",1,0.05,0.018,1.051,0.00484,NA,NA,NA,0.028451927
"CASP6","Stem-cell-iPSC","SCZ","Wald ratio",1,0.074,0.026,1.077,0.00505,NA,NA,NA,0.120023781
"GGPS1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.099,0.036,0.906,0.00552,NA,NA,NA,0.011496651
"RPGRIP1L","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.05,0.018,0.952,0.00621,NA,NA,NA,0.006013349
"LYN","Stem-cell-iPSC","SCZ","Wald ratio",1,0.043,0.016,1.044,0.00637,NA,NA,NA,0.040258467
"LRRTM4","Stem-cell-iPSC","SCZ","Wald ratio",1,0.034,0.013,1.035,0.00694,NA,NA,NA,0.000865144
"TIMELESS","Stem-cell-iPSC","SCZ","Wald ratio",1,0.073,0.027,1.076,0.00723,NA,NA,NA,0.007400473
"ZNF738","Stem-cell-iPSC","SCZ","Wald ratio",1,0.029,0.011,1.029,0.00751,NA,NA,NA,0.151228631
"MGST3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.058,0.022,1.059,0.00915,NA,NA,NA,0.053198503
"CFL2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.056,0.022,0.946,0.00968,NA,NA,NA,0.143185972
"GSS","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.039,0.016,0.962,0.0134,NA,NA,NA,0.085752039
"CARS2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.03,0.012,0.971,0.0154,NA,NA,NA,0.132910166
"BRD3","Stem-cell-iPSC","SCZ","Wald ratio",1,0.045,0.019,1.046,0.0159,NA,NA,NA,0.010510178
"AIMP2","Stem-cell-iPSC","SCZ","Wald ratio",1,0.018,0.008,1.019,0.016,NA,NA,NA,0.082926784
"SLC1A5","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.066,0.028,0.936,0.0162,NA,NA,NA,0.021680556
"GALNT2","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.057,0.024,0.945,0.018,NA,NA,NA,0.004387023
"VWA5A","Stem-cell-iPSC","SCZ","Wald ratio",1,0.042,0.018,1.043,0.0194,NA,NA,NA,0.062681292
"CBWD1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.025,0.011,0.975,0.0202,NA,NA,NA,0.062166048
"ALDH7A1","Stem-cell-iPSC","SCZ","Wald ratio",1,-0.041,0.018,0.96,0.0216,NA,NA,NA,0.046842254
"OXNAD1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.04,0.018,1.041,0.0235,NA,NA,NA,0.019688201
"HSPBAP1","Stem-cell-iPSC","SCZ","Wald ratio",1,0.041,0.018,1.042,0.0243,NA,NA,NA,0.039224728
