"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CNTNAP2","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",5,0,148.413,0.0189,0.999116132,0.830989469,0.603813035,0.26655663
"CDH13","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",3,-0.027,20.086,0.026,0.291518939,0.35903379,0.65441431,0.947778121
"UNC13C","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.007,7.389,0.0265,0.797928585,NA,0.403992387,NA
"MAGI2","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",4,0.052,54.598,0.027,0.052897772,0.85320917,0.906309995,0.673271657
"ESRRG","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.012,7.389,0.0277,0.67672089,NA,0.798256074,NA
"ERC2","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.015,7.389,0.0284,0.597091589,NA,0.25693663,NA
"KCNIP4","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",3,-0.053,20.086,0.0289,0.067428132,0.578533077,0.84255017,0.883863608
"PSD3","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.018,7.389,0.0298,0.538603843,NA,0.922246171,NA
"DAB2","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.025,7.389,0.0298,0.400522308,NA,0.350088705,NA
"TENM4","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",3,-0.053,20.086,0.03,0.078358314,0.665543848,0.844020004,0.763127998
"PTPRD","Stem-cell-iPSC","ANX","sQTL","Weighted median",4,0.039,54.598,0.0304,0.200879618,0.199478789,0.161605859,0.389151477
"MEAF6P1","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.031,2.718,0.0306,0.308128395,NA,NA,NA
"GPC5","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.02,7.389,0.031,0.527610214,NA,0.313668849,NA
"MIR3681HG","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.014,7.389,0.0313,0.646793517,NA,0.669994628,NA
"RNU6-1012P","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.057,2.718,0.0313,0.069402673,NA,NA,NA
"ADAM12","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,0.077,7.389,0.0316,0.015402008,NA,0.538983954,NA
"ROBO1","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.02,7.389,0.0317,0.522599553,NA,0.825208334,NA
"ERBB4","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,0.023,7.389,0.0318,0.468208772,NA,0.445849352,NA
"NME7","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.018,2.718,0.0319,0.569510041,NA,NA,NA
"OSBPL10","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",3,0.005,20.086,0.032,0.887681255,0.857532881,0.515292629,0.459115353
"PUS7L","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.001,2.718,0.0321,0.979239548,NA,NA,NA
"LINC01088","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.017,2.718,0.0323,0.588048157,NA,NA,NA
"ADAMTS17","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.052,7.389,0.0328,0.113893495,NA,0.587907744,NA
"ASIC2","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,0.054,7.389,0.033,0.101285156,NA,0.93293952,NA
"NRSN1","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.049,2.718,0.0331,0.134598387,NA,NA,NA
"FBXO40","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.001,2.718,0.0331,0.973309957,NA,NA,NA
"BUD13","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.047,2.718,0.0331,0.152662874,NA,NA,NA
"CSMD3","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.006,2.718,0.0332,0.867632335,NA,NA,NA
"CNTLN","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.021,7.389,0.0332,0.533150072,NA,0.266376256,NA
"KCNQ3","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",3,0.013,20.086,0.0333,0.691159391,0.172869391,0.385971883,0.900536689
"GAPDHP28","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.033,2.718,0.0339,0.333961417,NA,NA,NA
"SVIL","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.042,2.718,0.0339,0.219782668,NA,NA,NA
"UTS2B","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.02,2.718,0.0339,0.55468973,NA,NA,NA
"OSBPL1A","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.003,7.389,0.034,0.938859753,NA,0.411889499,NA
"LINC01104","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.029,2.718,0.0341,0.39635547,NA,NA,NA
"AKAP6","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.032,2.718,0.0341,0.351137934,NA,NA,NA
"WWOX","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.047,7.389,0.0341,0.167248627,NA,0.421897291,NA
"AOAH","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.013,2.718,0.0341,0.699002996,NA,NA,NA
"CD36","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.029,2.718,0.0342,0.401565926,NA,NA,NA
"LINC01090","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,0,7.389,0.0345,0.999625899,NA,0.276875593,NA
"VCAN","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.04,2.718,0.0346,0.242636967,NA,NA,NA
"CDK14","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",3,0.009,20.086,0.0348,0.800778393,0.698168918,0.780058228,0.66134569
"FAT3","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.02,2.718,0.0349,0.559038899,NA,NA,NA
"OR4D5","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.032,2.718,0.035,0.353391851,NA,NA,NA
"LINC00698","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.007,2.718,0.035,0.846066893,NA,NA,NA
"MIR548XHG","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.008,2.718,0.0351,0.817945158,NA,NA,NA
"SORCS2","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,0.023,7.389,0.0351,0.516811708,NA,0.303411388,NA
"C10orf35","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.029,2.718,0.0352,0.414447545,NA,NA,NA
"CPS1","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,0.037,2.718,0.0354,0.299782292,NA,NA,NA
"ROR2","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,0.044,7.389,0.0355,0.214746134,NA,0.539549584,NA
"INADL","Stem-cell-iPSC","ANX","sQTL","Wald ratio",1,-0.078,2.718,0.0356,0.029024752,NA,NA,NA
"SLC39A8","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,-0.003,7.389,0.0358,0.936203612,NA,0.421462711,NA
"NELL1","Stem-cell-iPSC","ANX","sQTL","Inverse variance weighted",2,0.046,7.389,0.0359,0.198848796,NA,0.748474985,NA
