"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"MACROD2","Stem-cell-iPSC","ASD","Inverse variance weighted",2,0.126,0.03,1.134,2.16e-05,NA,0.538792185,NA,0.000901289
"KCNN2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.082,0.021,0.921,8.18e-05,NA,NA,NA,0.006694226
"UBR3","Stem-cell-iPSC","ASD","Wald ratio",1,0.189,0.052,1.209,0.000264,NA,NA,NA,0.055607852
"RNF216P1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.105,0.029,0.9,0.000282,NA,NA,NA,0.670181702
"CCDC188","Stem-cell-iPSC","ASD","Wald ratio",1,0.093,0.026,1.098,0.000344,NA,NA,NA,0.009090187
"LINC00635","Stem-cell-iPSC","ASD","Wald ratio",1,0.097,0.027,1.102,0.000372,NA,NA,NA,0.001885935
"SLC25A21","Stem-cell-iPSC","ASD","Wald ratio",1,-0.134,0.038,0.874,0.000409,NA,NA,NA,0.001371586
"SYNDIG1L","Stem-cell-iPSC","ASD","Wald ratio",1,0.11,0.034,1.116,0.00147,NA,NA,NA,0.004118315
"CHST9","Stem-cell-iPSC","ASD","Wald ratio",1,-0.063,0.02,0.939,0.00159,NA,NA,NA,0.006264605
"ST3GAL3","Stem-cell-iPSC","ASD","Wald ratio",1,0.069,0.022,1.072,0.0016,NA,NA,NA,0.00039219
"PKP4","Stem-cell-iPSC","ASD","Wald ratio",1,-0.065,0.021,0.937,0.00176,NA,NA,NA,0.000449243
"ADAMTS9-AS2","Stem-cell-iPSC","ASD","Wald ratio",1,0.104,0.034,1.109,0.00205,NA,NA,NA,0.001585612
"DDX60L","Stem-cell-iPSC","ASD","Wald ratio",1,-0.247,0.081,0.781,0.00226,NA,NA,NA,0.43857606
"NPC1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.075,0.025,0.928,0.00236,NA,NA,NA,0.000338723
"TRIM42","Stem-cell-iPSC","ASD","Wald ratio",1,-0.063,0.021,0.939,0.0027,NA,NA,NA,0.00486274
"PREX1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.093,0.031,0.912,0.0033,NA,NA,NA,0.000414494
"RPSAP12","Stem-cell-iPSC","ASD","Wald ratio",1,-0.091,0.031,0.913,0.00345,NA,NA,NA,0.000883729
"GRIN3A","Stem-cell-iPSC","ASD","Wald ratio",1,-0.18,0.062,0.835,0.00348,NA,NA,NA,0.007782542
"MXRA7","Stem-cell-iPSC","ASD","Wald ratio",1,-0.167,0.057,0.846,0.00365,NA,NA,NA,0.318684492
"CIZ1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.056,0.019,0.946,0.00386,NA,NA,NA,0.001239539
"OSTN","Stem-cell-iPSC","ASD","Wald ratio",1,-0.062,0.022,0.94,0.00418,NA,NA,NA,0.003736919
"SGIP1","Stem-cell-iPSC","ASD","Wald ratio",1,0.243,0.086,1.275,0.00465,NA,NA,NA,0.271045069
"PTGDR","Stem-cell-iPSC","ASD","Wald ratio",1,0.129,0.046,1.137,0.00524,NA,NA,NA,0.010464558
"HELZ","Stem-cell-iPSC","ASD","Wald ratio",1,0.152,0.056,1.164,0.00631,NA,NA,NA,0.000706063
"RNU6-1103P","Stem-cell-iPSC","ASD","Wald ratio",1,-0.06,0.022,0.942,0.00637,NA,NA,NA,0.002297612
"LINC01257","Stem-cell-iPSC","ASD","Wald ratio",1,0.078,0.029,1.082,0.00646,NA,NA,NA,0.000275095
"ABCA1","Stem-cell-iPSC","ASD","Wald ratio",1,0.063,0.023,1.065,0.00693,NA,NA,NA,0.007144987
"MEGF10","Stem-cell-iPSC","ASD","Wald ratio",1,0.067,0.025,1.069,0.00716,NA,NA,NA,0.002250806
"ACTR3B","Stem-cell-iPSC","ASD","Wald ratio",1,-0.06,0.023,0.942,0.00741,NA,NA,NA,9.9e-05
"EIF3H","Stem-cell-iPSC","ASD","Wald ratio",1,-0.122,0.046,0.885,0.00756,NA,NA,NA,0.001119458
"TMEM170B","Stem-cell-iPSC","ASD","Wald ratio",1,-0.06,0.022,0.942,0.00775,NA,NA,NA,0.006221998
"RNA5SP279","Stem-cell-iPSC","ASD","Wald ratio",1,0.059,0.022,1.061,0.00777,NA,NA,NA,0.005309569
"RNU6-138P","Stem-cell-iPSC","ASD","Wald ratio",1,-0.234,0.088,0.791,0.00786,NA,NA,NA,0.01591907
"SPINK2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.13,0.049,0.878,0.00796,NA,NA,NA,0.000979567
"MAMDC2-AS1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.114,0.043,0.892,0.00802,NA,NA,NA,0.000528757
"RPS2P48","Stem-cell-iPSC","ASD","Wald ratio",1,-0.056,0.021,0.946,0.00863,NA,NA,NA,0.179730744
"LINC00593","Stem-cell-iPSC","ASD","Wald ratio",1,-0.114,0.044,0.893,0.00922,NA,NA,NA,0.000485399
"C1orf106","Stem-cell-iPSC","ASD","Wald ratio",1,0.057,0.022,1.059,0.00959,NA,NA,NA,0.124627291
"KIAA1328","Stem-cell-iPSC","ASD","Wald ratio",1,0.127,0.049,1.135,0.0103,NA,NA,NA,0.00108344
"EXOC6","Stem-cell-iPSC","ASD","Wald ratio",1,-0.189,0.074,0.828,0.0107,NA,NA,NA,0.157819666
"PSMG1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.081,0.032,0.922,0.0107,NA,NA,NA,0.000485491
"HNRNPA1P43","Stem-cell-iPSC","ASD","Wald ratio",1,0.056,0.022,1.057,0.0112,NA,NA,NA,0.000110112
"NBAS","Stem-cell-iPSC","ASD","Wald ratio",1,-0.114,0.045,0.892,0.0113,NA,NA,NA,0.000712035
"ESCO1","Stem-cell-iPSC","ASD","Wald ratio",1,0.146,0.058,1.157,0.0114,NA,NA,NA,0.000961295
"LINC01500","Stem-cell-iPSC","ASD","Wald ratio",1,-0.196,0.078,0.822,0.0117,NA,NA,NA,0.001103428
"LINC01088","Stem-cell-iPSC","ASD","Wald ratio",1,0.042,0.017,1.043,0.0119,NA,NA,NA,0.002252146
"MC5R","Stem-cell-iPSC","ASD","Wald ratio",1,0.07,0.028,1.073,0.0121,NA,NA,NA,0.000298329
"FAM49B","Stem-cell-iPSC","ASD","Wald ratio",1,-0.101,0.041,0.904,0.0124,NA,NA,NA,0.063694351
"PIP5K1B","Stem-cell-iPSC","ASD","Wald ratio",1,-0.06,0.024,0.942,0.0137,NA,NA,NA,0.000123314
"EPHB1","Stem-cell-iPSC","ASD","Wald ratio",1,0.104,0.043,1.11,0.0148,NA,NA,NA,0.000509472
"ARHGAP24","Stem-cell-iPSC","ASD","Wald ratio",1,0.059,0.024,1.06,0.0151,NA,NA,NA,8.71e-05
"FAM160A1","Stem-cell-iPSC","ASD","Wald ratio",1,0.102,0.042,1.107,0.0153,NA,NA,NA,0.000265187
"ADH1C","Stem-cell-iPSC","ASD","Wald ratio",1,0.191,0.08,1.21,0.0163,NA,NA,NA,0.026223304
"POT1-AS1","Stem-cell-iPSC","ASD","Wald ratio",1,0.05,0.021,1.051,0.0167,NA,NA,NA,0.001171414
"UGT2B15","Stem-cell-iPSC","ASD","Wald ratio",1,-0.121,0.051,0.886,0.0174,NA,NA,NA,0.078626657
"SORCS2","Stem-cell-iPSC","ASD","Inverse variance weighted",2,-0.04,0.017,0.96,0.0175,NA,0.759210286,NA,7.87e-05
"UTS2B","Stem-cell-iPSC","ASD","Wald ratio",1,0.042,0.018,1.043,0.0179,NA,NA,NA,0.001716528
"PNLDC1","Stem-cell-iPSC","ASD","Wald ratio",1,0.056,0.024,1.058,0.0188,NA,NA,NA,0.000121142
"GALNTL6","Stem-cell-iPSC","ASD","Inverse variance weighted",2,0.063,0.027,1.065,0.0194,NA,0.698255864,NA,7.59e-05
"VTCN1","Stem-cell-iPSC","ASD","Wald ratio",1,0.122,0.052,1.13,0.0199,NA,NA,NA,0.014046987
"CGNL1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.111,0.048,0.895,0.0202,NA,NA,NA,0.092146958
"CHFR","Stem-cell-iPSC","ASD","Wald ratio",1,-0.07,0.03,0.933,0.0204,NA,NA,NA,0.000359418
"DKK2","Stem-cell-iPSC","ASD","Inverse variance weighted",2,0.076,0.033,1.079,0.0204,NA,0.941531226,NA,0.000130615
"GPC6-AS2","Stem-cell-iPSC","ASD","Wald ratio",1,-0.047,0.02,0.954,0.0212,NA,NA,NA,0.000494431
"LSM1P2","Stem-cell-iPSC","ASD","Wald ratio",1,0.066,0.029,1.068,0.0213,NA,NA,NA,9.46e-05
"PDP1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.051,0.022,0.951,0.0231,NA,NA,NA,0.007474575
"PRB1","Stem-cell-iPSC","ASD","Wald ratio",1,-0.133,0.058,0.876,0.0232,NA,NA,NA,0.002069531
"POLD2P1","Stem-cell-iPSC","ASD","Wald ratio",1,0.066,0.029,1.068,0.0234,NA,NA,NA,0.003596866
"SMARCA2","Stem-cell-iPSC","ASD","Wald ratio",1,0.12,0.053,1.128,0.0237,NA,NA,NA,0.001432986
