"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CNTNAP2","Stem-cell-iPSC","BP","sQTL","Weighted median",5,-0.006,148.413,0.00862,0.466151631,0.001960917,0.001867525,0.549206367
"ERC2","Stem-cell-iPSC","BP","sQTL","Inverse variance weighted",2,-0.003,7.389,0.00884,0.700062414,NA,0.493857122,NA
"MAGI2","Stem-cell-iPSC","BP","sQTL","Inverse variance weighted",4,0.006,54.598,0.00955,0.513473334,0.692050725,0.694404071,0.487760113
"KCNIP4","Stem-cell-iPSC","BP","sQTL","Inverse variance weighted",3,0.003,20.086,0.0101,0.75978352,0.41047834,0.341733542,0.439055796
"GPC5","Stem-cell-iPSC","BP","sQTL","Inverse variance weighted",2,0.01,7.389,0.0104,0.326746391,NA,0.402881581,NA
"LINC01090","Stem-cell-iPSC","BP","sQTL","Inverse variance weighted",2,0.011,7.389,0.0105,0.30091259,NA,0.340703249,NA
"AUTS2","Stem-cell-iPSC","BP","sQTL","Inverse variance weighted",2,-0.005,7.389,0.0106,0.630131954,NA,0.858528083,NA
"ROBO1","Stem-cell-iPSC","BP","sQTL","Inverse variance weighted",2,-0.003,7.389,0.0107,0.760700809,NA,0.657969132,NA
"ADAM12","Stem-cell-iPSC","BP","sQTL","Inverse variance weighted",2,0.005,7.389,0.0108,0.662790019,NA,0.908182422,NA
"ADAMTS17","Stem-cell-iPSC","BP","sQTL","Inverse variance weighted",2,0.003,7.389,0.0109,0.803731418,NA,0.384250179,NA
"MEAF6P1","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,0.003,2.718,0.0109,0.771868758,NA,NA,NA
"ROBO2","Stem-cell-iPSC","BP","sQTL","Inverse variance weighted",3,-0.031,20.086,0.011,0.005359892,0.443580158,0.709541543,0.805688253
"WWOX","Stem-cell-iPSC","BP","sQTL","Inverse variance weighted",2,0.011,7.389,0.011,0.303107161,NA,0.425806849,NA
"RNU6-1012P","Stem-cell-iPSC","BP","sQTL","Wald ratio",1,-0.006,2.718,0.0112,0.620709161,NA,NA,NA
