"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"SGIP1","Stem-cell-iPSC","ED","Wald ratio",1,-0.205,0.083,0.815,0.0142,NA,NA,NA,0.118227401
"GNG12-AS1","Stem-cell-iPSC","ED","Wald ratio",1,-0.124,0.052,0.884,0.0174,NA,NA,NA,0.111136453
"H6PD","Stem-cell-iPSC","ED","Wald ratio",1,-0.186,0.08,0.831,0.0198,NA,NA,NA,0.027551798
"MFSD14A","Stem-cell-iPSC","ED","Wald ratio",1,0.153,0.07,1.166,0.0292,NA,NA,NA,0.000233193
"C1orf52","Stem-cell-iPSC","ED","Wald ratio",1,-0.044,0.022,0.956,0.0463,NA,NA,NA,3.72e-05
"VAV3","Stem-cell-iPSC","ED","Wald ratio",1,-0.045,0.023,0.956,0.0529,NA,NA,NA,0.042596875
"CAMTA1","Stem-cell-iPSC","ED","Wald ratio",1,0.055,0.035,1.056,0.12,NA,NA,NA,5.21e-05
"COL24A1","Stem-cell-iPSC","ED","Wald ratio",1,-0.182,0.121,0.833,0.131,NA,NA,NA,0.030399151
"FAM212B","Stem-cell-iPSC","ED","Wald ratio",1,-0.091,0.062,0.913,0.146,NA,NA,NA,0.001613797
"KCNA10","Stem-cell-iPSC","ED","Wald ratio",1,-0.082,0.057,0.922,0.153,NA,NA,NA,0.010179534
"CD101","Stem-cell-iPSC","ED","Wald ratio",1,0.077,0.056,1.08,0.168,NA,NA,NA,0.000558347
"ETV3","Stem-cell-iPSC","ED","Wald ratio",1,0.078,0.06,1.081,0.195,NA,NA,NA,0.001497875
"RIIAD1","Stem-cell-iPSC","ED","Wald ratio",1,-0.031,0.026,0.969,0.224,NA,NA,NA,0.001477103
"LINC01307","Stem-cell-iPSC","ED","Wald ratio",1,0.075,0.065,1.078,0.251,NA,NA,NA,0.006726253
"OLFML3","Stem-cell-iPSC","ED","Inverse variance weighted",2,0.035,0.031,1.035,0.263,NA,0.848227686,NA,0.009457619
"SSX2IP","Stem-cell-iPSC","ED","Wald ratio",1,-0.047,0.043,0.954,0.271,NA,NA,NA,0.000247788
"RIMS3","Stem-cell-iPSC","ED","Wald ratio",1,-0.039,0.037,0.962,0.288,NA,NA,NA,1.2e-05
"LMO4","Stem-cell-iPSC","ED","Wald ratio",1,0.016,0.017,1.016,0.357,NA,NA,NA,0.010365882
"C1orf141","Stem-cell-iPSC","ED","Wald ratio",1,0.071,0.078,1.073,0.363,NA,NA,NA,0.010523676
"ROR1","Stem-cell-iPSC","ED","Wald ratio",1,0.044,0.055,1.045,0.431,NA,NA,NA,3.04e-05
"S100A14","Stem-cell-iPSC","ED","Wald ratio",1,-0.045,0.059,0.956,0.444,NA,NA,NA,0.002975895
"ADGRL2","Stem-cell-iPSC","ED","Wald ratio",1,-0.037,0.049,0.964,0.447,NA,NA,NA,0.009313248
"PNRC2P1","Stem-cell-iPSC","ED","Wald ratio",1,-0.024,0.034,0.976,0.486,NA,NA,NA,4.8e-05
"VDAC1P9","Stem-cell-iPSC","ED","Wald ratio",1,-0.018,0.027,0.982,0.504,NA,NA,NA,6.2e-05
"C1orf109","Stem-cell-iPSC","ED","Wald ratio",1,-0.027,0.041,0.973,0.511,NA,NA,NA,4.36e-05
"PSAT1P3","Stem-cell-iPSC","ED","Wald ratio",1,-0.015,0.023,0.985,0.521,NA,NA,NA,1.47e-05
"ST3GAL3","Stem-cell-iPSC","ED","Wald ratio",1,-0.013,0.021,0.987,0.537,NA,NA,NA,3.23e-06
"MEF2D","Stem-cell-iPSC","ED","Wald ratio",1,0.015,0.026,1.015,0.555,NA,NA,NA,0.006160446
"C1orf216","Stem-cell-iPSC","ED","Wald ratio",1,0.04,0.069,1.041,0.561,NA,NA,NA,2.32e-05
"CYP4X1","Stem-cell-iPSC","ED","Wald ratio",1,-0.032,0.057,0.968,0.57,NA,NA,NA,0.001011253
"LOR","Stem-cell-iPSC","ED","Wald ratio",1,0.014,0.027,1.014,0.594,NA,NA,NA,8.02e-06
"S100A10","Stem-cell-iPSC","ED","Wald ratio",1,0.02,0.04,1.02,0.624,NA,NA,NA,1.71e-05
"PAQR6","Stem-cell-iPSC","ED","Wald ratio",1,-0.016,0.047,0.984,0.737,NA,NA,NA,7.61e-05
"MRPL57P1","Stem-cell-iPSC","ED","Wald ratio",1,-0.059,0.185,0.943,0.749,NA,NA,NA,0.013177116
"NFIA","Stem-cell-iPSC","ED","Wald ratio",1,-0.016,0.054,0.984,0.767,NA,NA,NA,0.000637292
"TSPAN2","Stem-cell-iPSC","ED","Wald ratio",1,0.007,0.027,1.007,0.79,NA,NA,NA,0.000155058
"WARS2","Stem-cell-iPSC","ED","Wald ratio",1,0.016,0.065,1.016,0.803,NA,NA,NA,0.002235446
"PRKCZ","Stem-cell-iPSC","ED","Wald ratio",1,0.014,0.058,1.014,0.808,NA,NA,NA,7.25e-05
"PKN2-AS1","Stem-cell-iPSC","ED","Wald ratio",1,0.009,0.04,1.009,0.819,NA,NA,NA,0.000715887
"MAGI3","Stem-cell-iPSC","ED","Wald ratio",1,0.004,0.024,1.004,0.855,NA,NA,NA,2.59e-05
"TNNI3K","Stem-cell-iPSC","ED","Wald ratio",1,-0.005,0.043,0.995,0.916,NA,NA,NA,5.75e-06
"INADL","Stem-cell-iPSC","ED","Wald ratio",1,0.002,0.019,1.002,0.933,NA,NA,NA,0.000816293
