"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"OLFML3","Stem-cell-iPSC","OCD","Wald ratio",1,0.2,0.105,1.221,0.0566,NA,NA,NA,0.073392693
"TYW3","Stem-cell-iPSC","OCD","Wald ratio",1,0.21,0.13,1.233,0.107,NA,NA,NA,0.044437683
"S100A14","Stem-cell-iPSC","OCD","Wald ratio",1,0.163,0.106,1.177,0.126,NA,NA,NA,0.012512965
"TSPAN2","Stem-cell-iPSC","OCD","Wald ratio",1,0.075,0.052,1.078,0.15,NA,NA,NA,0.000772815
"RPL5P6","Stem-cell-iPSC","OCD","Wald ratio",1,0.142,0.109,1.153,0.193,NA,NA,NA,0.000472876
"RIIAD1","Stem-cell-iPSC","OCD","Wald ratio",1,0.064,0.052,1.066,0.222,NA,NA,NA,0.002902794
"TACSTD2","Stem-cell-iPSC","OCD","Wald ratio",1,-0.088,0.078,0.915,0.258,NA,NA,NA,0.000457153
"MRPL57P1","Stem-cell-iPSC","OCD","Wald ratio",1,-0.371,0.354,0.69,0.295,NA,NA,NA,0.038435217
"FAM212B","Stem-cell-iPSC","OCD","Wald ratio",1,-0.131,0.132,0.877,0.322,NA,NA,NA,0.001852494
"C1orf109","Stem-cell-iPSC","OCD","Wald ratio",1,0.084,0.086,1.088,0.325,NA,NA,NA,0.000115557
"KCNA10","Stem-cell-iPSC","OCD","Wald ratio",1,-0.107,0.109,0.899,0.328,NA,NA,NA,0.011140253
"DAB1","Stem-cell-iPSC","OCD","Wald ratio",1,0.092,0.097,1.096,0.345,NA,NA,NA,0.020535495
"ST3GAL3","Stem-cell-iPSC","OCD","Wald ratio",1,-0.038,0.041,0.963,0.354,NA,NA,NA,7.81e-06
"UBE2WP1","Stem-cell-iPSC","OCD","Wald ratio",1,-0.061,0.072,0.941,0.398,NA,NA,NA,0.000672599
"COL24A1","Stem-cell-iPSC","OCD","Wald ratio",1,-0.198,0.236,0.82,0.401,NA,NA,NA,0.02672627
"C1orf216","Stem-cell-iPSC","OCD","Wald ratio",1,-0.077,0.123,0.926,0.531,NA,NA,NA,4.13e-05
"CNN3","Stem-cell-iPSC","OCD","Wald ratio",1,0.023,0.038,1.024,0.536,NA,NA,NA,0.015575534
"MEF2D","Stem-cell-iPSC","OCD","Wald ratio",1,-0.029,0.051,0.972,0.57,NA,NA,NA,0.011762021
"VAV3","Stem-cell-iPSC","OCD","Wald ratio",1,0.025,0.045,1.025,0.574,NA,NA,NA,0.015252361
"C1orf141","Stem-cell-iPSC","OCD","Wald ratio",1,-0.066,0.153,0.936,0.665,NA,NA,NA,0.014843045
"LOR","Stem-cell-iPSC","OCD","Wald ratio",1,-0.022,0.052,0.978,0.67,NA,NA,NA,1.47e-05
"H6PD","Stem-cell-iPSC","OCD","Wald ratio",1,0.059,0.151,1.061,0.695,NA,NA,NA,0.003860509
"CD101","Stem-cell-iPSC","OCD","Wald ratio",1,0.036,0.105,1.036,0.735,NA,NA,NA,0.000429967
"RNU6-210P","Stem-cell-iPSC","OCD","Wald ratio",1,0.012,0.039,1.012,0.754,NA,NA,NA,0.00221008
"PAQR6","Stem-cell-iPSC","OCD","Wald ratio",1,-0.022,0.087,0.978,0.795,NA,NA,NA,0.000136325
"ROR1","Stem-cell-iPSC","OCD","Wald ratio",1,0.025,0.102,1.025,0.809,NA,NA,NA,4.22e-05
"CSMD2","Stem-cell-iPSC","OCD","Wald ratio",1,-0.01,0.048,0.99,0.843,NA,NA,NA,4.67e-06
"VDAC1P9","Stem-cell-iPSC","OCD","Wald ratio",1,0.009,0.051,1.009,0.862,NA,NA,NA,9.38e-05
"LRRC8B","Stem-cell-iPSC","OCD","Wald ratio",1,0.007,0.041,1.007,0.865,NA,NA,NA,5.15e-06
"ECHDC2","Stem-cell-iPSC","OCD","Wald ratio",1,-0.003,0.045,0.997,0.938,NA,NA,NA,6.29e-06
"LINC01362","Stem-cell-iPSC","OCD","Inverse variance weighted",2,0.003,0.046,1.003,0.942,NA,0.441640211,NA,0.018114151
"KANK4","Stem-cell-iPSC","OCD","Wald ratio",1,0.001,0.043,1.001,0.985,NA,NA,NA,1.09e-05
