"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"OSBP2","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.268,0.07,0.765,0.000121,NA,NA,NA,0.0288562
"LYRM4","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.151,0.043,0.86,0.000476,NA,NA,NA,0.765940505
"GMDS","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.148,0.044,0.863,0.00074,NA,NA,NA,0.001359873
"BUD13","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.062,0.019,0.94,0.000804,NA,NA,NA,0.248008013
"PSMG1","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.104,0.033,0.901,0.00178,NA,NA,NA,0.0025639
"SH3RF3","Stem-cell-iPSC","PTSD","Wald ratio",1,0.135,0.044,1.145,0.00212,NA,NA,NA,0.343706417
"RBM48P1","Stem-cell-iPSC","PTSD","Wald ratio",1,0.081,0.027,1.084,0.00232,NA,NA,NA,0.000204116
"MEF2D","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.083,0.028,0.92,0.0026,NA,NA,NA,0.335243914
"SLC38A6","Stem-cell-iPSC","PTSD","Wald ratio",1,0.068,0.023,1.07,0.00317,NA,NA,NA,0.000997638
"RTN4","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.114,0.039,0.892,0.00368,NA,NA,NA,0.002601387
"CHFR","Stem-cell-iPSC","PTSD","Wald ratio",1,0.091,0.032,1.095,0.0042,NA,NA,NA,0.001527153
"NCF2","Stem-cell-iPSC","PTSD","Wald ratio",1,0.148,0.053,1.159,0.00504,NA,NA,NA,0.09662426
"FGD4","Stem-cell-iPSC","PTSD","Inverse variance weighted",2,-0.046,0.016,0.955,0.00515,NA,0.630459639,NA,0.000113801
"INADL","Stem-cell-iPSC","PTSD","Wald ratio",1,0.055,0.02,1.057,0.00558,NA,NA,NA,0.038092662
"RIIAD1","Stem-cell-iPSC","PTSD","Wald ratio",1,0.079,0.029,1.082,0.00592,NA,NA,NA,0.032297633
"YBX1P6","Stem-cell-iPSC","PTSD","Wald ratio",1,0.195,0.071,1.216,0.00614,NA,NA,NA,0.124578888
"SERPINB9P1","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.099,0.037,0.906,0.00846,NA,NA,NA,0.002237055
"CACNG6","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.141,0.054,0.868,0.00918,NA,NA,NA,0.000542162
"NAMA","Stem-cell-iPSC","PTSD","Wald ratio",1,-0.124,0.048,0.883,0.00979,NA,NA,NA,0.00096024
"LINC01040","Stem-cell-iPSC","PTSD","Wald ratio",1,0.057,0.022,1.059,0.00988,NA,NA,NA,0.000816402
"EGFEM1P","Stem-cell-iPSC","PTSD","Inverse variance weighted",2,-0.058,0.022,0.944,0.0102,NA,0.818913493,NA,4.43e-05
"LINC00376","Stem-cell-iPSC","PTSD","Wald ratio",1,0.056,0.022,1.058,0.0106,NA,NA,NA,0.003670493
