"Gene","Tissue","Psychiatric.disorder","Method","Nsnp","Beta","SE","OR","P.value","Q_Pvalue.MREgger.","Q_Pvalue.IVW.","P.value.Intercept.","PPH4"
"CNTNAP2","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",5,0.001,148.413,0.00599,0.862229404,0.25196529,0.394034291,0.998674784
"ERC2","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,-0.002,7.389,0.00819,0.798130988,NA,0.377137344,NA
"SLC24A3","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,-0.026,7.389,0.00902,0.00466553,NA,0.736874329,NA
"KCNIP4","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",3,-0.004,20.086,0.00905,0.650881977,0.426646498,0.653438271,0.721306822
"MAGI2","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",4,0.009,54.598,0.00947,0.36909573,0.16741283,0.309284742,0.93462575
"FGD4","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,-0.008,7.389,0.00963,0.43579145,NA,0.751760609,NA
"GPC5","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,0.026,7.389,0.00968,0.008336465,NA,0.849718076,NA
"PTPRD","Stem-cell-iPSC","SCZ","sQTL","Weighted mode",4,-0.017,54.598,0.00972,0.180918073,0.820482641,0.005878731,0.073661557
"CNTLN","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,-0.034,7.389,0.00976,0.000428599,NA,0.59042547,NA
"AUTS2","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,-0.018,7.389,0.0098,0.073069043,NA,0.331405867,NA
"ROBO1","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,-0.019,7.389,0.00988,0.05050994,NA,0.319325564,NA
"ADAM12","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,0.007,7.389,0.00993,0.494149829,NA,0.799499521,NA
"ROBO2","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",3,-0.01,20.086,0.01,0.315972253,0.70538218,0.888103034,0.810227705
"ADAMTS17","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,-0.011,7.389,0.01,0.255770989,NA,0.625524437,NA
"CDH13","Stem-cell-iPSC","SCZ","sQTL","Weighted median",3,-0.026,20.086,0.0101,0.01057901,0.089642724,0.156491599,0.686588381
"MEAF6P1","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.013,2.718,0.0101,0.20498178,NA,NA,NA
"ASIC2","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,0.001,7.389,0.0103,0.951928465,NA,0.435945454,NA
"RNU6-1012P","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.03,2.718,0.0104,0.003755451,NA,NA,NA
"KCNQ3","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",3,-0.001,20.086,0.0104,0.947151271,0.236230318,0.417696164,0.707644237
"GFPT2","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.004,2.718,0.0104,0.672638992,NA,NA,NA
"OSBPL10","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",3,-0.011,20.086,0.0104,0.291858759,0.978635691,0.36507548,0.390736913
"RPS3AP1","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,-0.001,7.389,0.0104,0.930840491,NA,0.454943307,NA
"NME7","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.001,2.718,0.0104,0.945624611,NA,NA,NA
"RPL30P3","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.007,2.718,0.0105,0.51007319,NA,NA,NA
"PUS7L","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.002,2.718,0.0105,0.829218299,NA,NA,NA
"LINC01088","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.047,2.718,0.0105,8.91e-06,NA,NA,NA
"CLSTN2","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,-0.018,7.389,0.0106,0.090226777,NA,0.325995481,NA
"SORCS2","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,0.001,7.389,0.0106,0.925565307,NA,0.471780321,NA
"CSMD3","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.012,2.718,0.0107,0.265029608,NA,NA,NA
"NRSN1","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.006,2.718,0.0108,0.560778828,NA,NA,NA
"FBXO40","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.001,2.718,0.0108,0.927593706,NA,NA,NA
"CLIC5","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.01,2.718,0.0108,0.339816875,NA,NA,NA
"SEMA5B","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.018,2.718,0.0108,0.10020031,NA,NA,NA
"BUD13","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.007,2.718,0.0109,0.505222388,NA,NA,NA
"ESRRG","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,0.026,7.389,0.0109,0.018885743,NA,0.211501929,NA
"TXNL1","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.031,2.718,0.011,0.004449642,NA,NA,NA
"CCL28","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.014,2.718,0.011,0.200901746,NA,NA,NA
"ERBB4","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,0.06,7.389,0.011,5.63e-08,NA,0.288196038,NA
"AKAP6","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.013,2.718,0.011,0.230978008,NA,NA,NA
"LMO4","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.001,2.718,0.011,0.909480988,NA,NA,NA
"SVIL","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.006,2.718,0.0111,0.574063074,NA,NA,NA
"RARB","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.04,2.718,0.0111,0.000307449,NA,NA,NA
"FAM227A","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.006,2.718,0.0111,0.584380547,NA,NA,NA
"UTS2B","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.024,2.718,0.0111,0.029722719,NA,NA,NA
"PTPRQ","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,-0.01,7.389,0.0111,0.390601939,NA,0.550798926,NA
"RNU7-183P","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.013,2.718,0.0111,0.250388494,NA,NA,NA
"CD36","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.007,2.718,0.0112,0.514838429,NA,NA,NA
"ZDHHC20-IT1","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.041,2.718,0.0112,0.000224633,NA,NA,NA
"GAPDHP28","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.017,2.718,0.0112,0.122178948,NA,NA,NA
"CHMP7","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.013,2.718,0.0112,0.261192672,NA,NA,NA
"LINC01104","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.003,2.718,0.0112,0.804970525,NA,NA,NA
"TPO","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.007,2.718,0.0112,0.534457569,NA,NA,NA
"PNPT1","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.031,2.718,0.0112,0.006007664,NA,NA,NA
"PDHX","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,0.011,7.389,0.0113,0.317688355,NA,0.760375786,NA
"CREB5","Stem-cell-iPSC","SCZ","sQTL","Inverse variance weighted",2,-0.001,7.389,0.0113,0.943307047,NA,0.838993183,NA
"FAT3","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0,2.718,0.0114,0.972488065,NA,NA,NA
"OR4D5","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.025,2.718,0.0114,0.030592934,NA,NA,NA
"VCAN","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.007,2.718,0.0114,0.551042569,NA,NA,NA
"LINC00698","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,-0.008,2.718,0.0114,0.472048213,NA,NA,NA
"EVA1C","Stem-cell-iPSC","SCZ","sQTL","Wald ratio",1,0.003,2.718,0.0114,0.800580568,NA,NA,NA
