Psychiatric disorder,Risk phenotype,Method,Beta,Standard error,P-value,OR,OR_lci95,OR_uci95,Q Pvalue(MREgger),Q Pvalue(IVW),Intercept PValue
ALZ,Alzheimer's disease or family history of Alzheimer's disease ,Weighted median,1.004995979,0.034890771,1.91E-182,2.731896288,2.551317948,2.925255684,0.119956391,0.001090636,0.000224109
DEP,Neuroticism score ,Inverse variance weighted,0.264647952,0.014304531,2.03E-76,1.302972186,1.266948269,1.340020393,1.55E-10,6.41E-11,0.134958317
ADHD,Educational attainment,Inverse variance weighted,0.70985886,0.038434657,3.65E-76,2.033704201,1.886129663,2.192825265,7.40E-79,6.12E-79,0.267199899
DEP,Neuroticism score ,Weighted median,0.246649815,0.015409041,1.15E-57,1.279730892,1.241658635,1.318970536,1.55E-10,6.41E-11,0.134958317
DEP,Unable to work because of sickness or disability,Inverse variance weighted,-1.760872757,0.111488798,3.41E-56,0.171894776,0.138153375,0.213876889,0.08396925,0.086891469,0.9157505
ADHD,Body mass index (BMI) ,Inverse variance weighted,0.560470038,0.04288177,4.88E-39,1.751495576,1.610302048,1.90506915,9.30E-35,1.63E-37,0.000585481
ADHD,Educational attainment,Weighted median,0.643208277,0.053614507,3.69E-33,1.902575086,1.712790383,2.113388769,7.40E-79,6.12E-79,0.267199899
ADHD,Qualifications: College or University degree ,Inverse variance weighted,-1.673530603,0.141402639,2.57E-32,0.187583612,0.14217739,0.247490909,1.18E-25,1.37E-25,0.526042364
ADHD,smoking initiation ,Weighted median,0.878225418,0.078838935,8.06E-29,2.406625161,2.062050973,2.80877861,3.61E-20,6.44E-21,0.153206716
ADHD,smoking initiation ,Inverse variance weighted,0.88437031,0.080454793,4.17E-28,2.421459143,2.068200521,2.83505604,3.61E-20,6.44E-21,0.153206716
ALZ,Alzheimer's disease or family history of Alzheimer's disease ,MR Egger,1.085469661,0.032688268,6.15E-27,2.960830079,2.777081777,3.156736265,0.119956391,0.001090636,0.000224109
DEP,Unable to work because of sickness or disability,Weighted median,-1.505130118,0.142365566,4.01E-26,0.221988407,0.167936957,0.29343662,0.08396925,0.086891469,0.9157505
ALZ,Alzheimer's disease or family history of Alzheimer's disease ,Weighted mode,1.024978269,0.034438766,6.21E-26,2.787034895,2.605118823,2.981654209,0.119956391,0.001090636,0.000224109
ADHD,Unable to work because of sickness or disability,Inverse variance weighted,-2.540584244,0.254579635,1.87E-23,0.078820336,0.047855926,0.129819772,4.62E-43,5.56E-43,0.728913603
ED,Educational attainment,Inverse variance weighted,0.528804076,0.054139739,1.55E-22,1.696901729,1.52606143,1.886867345,0.04184904,0.040477225,0.177159832
PTSD,Neuroticism score ,Inverse variance weighted,0.295704629,0.030795125,7.82E-22,1.344073098,1.265346736,1.427697596,1.78E-29,3.12E-29,0.849084363
ADHD,Qualifications: College or University degree ,Weighted median,-1.550204638,0.165383365,7.02E-21,0.212204544,0.153453754,0.293448465,1.18E-25,1.37E-25,0.526042364
ADHD,Age at first birth ,Inverse variance weighted,-0.397642833,0.042764667,1.43E-20,0.671901966,0.617879651,0.730647548,5.82E-09,2.33E-09,0.22057734
ADHD,Age at first birth ,Weighted median,-0.369299385,0.043462322,1.95E-17,0.691218439,0.634774452,0.752681411,5.82E-09,2.33E-09,0.22057734
PTSD,Unable to work because of sickness or disability,Inverse variance weighted,-2.708305848,0.319347204,2.24E-17,0.066649626,0.035642149,0.124632568,0.000254644,0.000252594,0.299104165
ADHD,Body mass index (BMI) ,Weighted median,0.466332669,0.054989813,2.25E-17,1.594137231,1.431256365,1.775554383,9.30E-35,1.63E-37,0.000585481
ALZ,Alzheimer's disease or family history of Alzheimer's disease ,Simple mode,1.040565954,0.073666253,8.68E-16,2.830818674,2.450225591,3.27052921,0.119956391,0.001090636,0.000224109
DEP,Age at first birth ,Inverse variance weighted,-0.133659743,0.017472103,2.01E-14,0.874887701,0.845434092,0.905367427,0.000341239,0.000134204,0.098355856
ED,Educational attainment,Weighted median,0.562202977,0.073919708,2.84E-14,1.754533443,1.51788869,2.028072034,0.04184904,0.040477225,0.177159832
ADHD,Educational attainment,MR Egger,0.6263789,0.084464907,1.87E-13,1.870823859,1.585385638,2.207653348,7.40E-79,6.12E-79,0.267199899
DEP,Unable to work because of sickness or disability,MR Egger,-1.640314772,0.2280327,8.89E-13,0.193918992,0.124026644,0.303197558,0.08396925,0.086891469,0.9157505
DEP,Educational attainment,Inverse variance weighted,0.126187215,0.017844222,1.53E-12,1.134494543,1.095501818,1.174875154,0.04184904,0.040477225,0.177159832
ED,Body mass index (BMI) ,Inverse variance weighted,0.41515011,0.06126054,1.23E-11,1.51459808,1.343233076,1.707825234,2.57E-14,3.16E-14,0.736769716
ASD,Educational attainment,Inverse variance weighted,-0.316284959,0.047120673,1.92E-11,0.728851728,0.664552446,0.799372335,7.40E-79,6.12E-79,0.267199899
ADHD,Unable to work because of sickness or disability,Weighted median,-2.206862275,0.33046058,2.42E-11,0.1100454,0.057580863,0.210312757,4.62E-43,5.56E-43,0.728913603
ADHD,Maternal smoking around birth ,Weighted median,4.133287067,0.625581821,3.92E-11,62.38264221,18.30449573,212.6031827,0.000455772,0.000101393,0.17534613
ANX,Neuroticism score ,Inverse variance weighted,0.405397589,0.06138043,3.98E-11,1.499898725,1.3298843,1.691648051,0.116157396,0.088506609,0.078855935
ADHD,Intelligence ,Inverse variance weighted,-0.436509546,0.066230865,4.38E-11,0.646288328,0.567609248,0.7358735,8.19E-17,1.09E-16,0.643105235
DEP,Age at first birth ,Weighted median,-0.122404454,0.018802816,7.52E-11,0.884790439,0.852776337,0.918006384,0.000341239,0.000134204,0.098355856
ADHD,Maternal smoking around birth ,Weighted median,4.133287067,0.648607998,1.86E-10,62.38264221,17.49675423,222.4180553,0.000455772,0.000101393,0.17534613
BP,Unable to work because of sickness or disability,Inverse variance weighted,-1.41307828,0.224176089,2.91E-10,0.243392897,0.156850303,0.377685611,0.08396925,0.086891469,0.9157505
SCZ,Unable to work because of sickness or disability,Inverse variance weighted,-1.521682391,0.242260172,3.36E-10,0.218344237,0.135808112,0.35104093,0.000254644,0.000252594,0.299104165
DEP,Living alone,Inverse variance weighted,-1.765769368,0.284029255,5.07E-10,0.171055132,0.098031472,0.298474127,0.38827519,0.393915525,0.750780149
DEP,smoking initiation ,Weighted median,0.217766772,0.035127982,5.67E-10,1.243297062,1.160575412,1.331914814,0.000800078,0.000740461,0.310689123
SCZ,Neuroticism score ,Weighted median,0.187552006,0.030941634,1.35E-09,1.206292982,1.135310752,1.281713185,1.78E-29,3.12E-29,0.849084363
PTSD,Body mass index (BMI) ,Inverse variance weighted,0.286110447,0.047373549,1.55E-09,1.331239479,1.213196111,1.460768406,6.63E-60,1.01E-59,0.813425492
DEP,Sleeplessness / insomnia ,Inverse variance weighted,0.861964027,0.142919631,1.63E-09,2.367806566,1.789330541,3.13329919,1.65E-10,2.97E-10,0.924188828
PTSD,Neuroticism score ,Weighted median,0.257990067,0.04363558,3.37E-09,1.294325962,1.188229436,1.409895804,1.78E-29,3.12E-29,0.849084363
SCZ,Neuroticism score ,Inverse variance weighted,0.241992615,0.041520674,5.60E-09,1.273784786,1.17422939,1.381780847,1.78E-29,3.12E-29,0.849084363
DEP,Educational attainment,Weighted median,0.134056054,0.023003026,5.62E-09,1.143456913,1.093047999,1.196190573,0.04184904,0.040477225,0.177159832
ASD,Qualifications: College or University degree ,Inverse variance weighted,1.038886628,0.181300242,1.00E-08,2.826068796,1.980873985,4.03188941,0.299161324,0.311386341,0.634434752
ADHD,Maternal smoking around birth ,Inverse variance weighted,3.700919295,0.650649552,1.29E-08,40.48450446,11.30953498,144.921529,0.000455772,0.000101393,0.17534613
ADHD,Maternal smoking around birth ,Inverse variance weighted,3.700919295,0.650649552,1.29E-08,40.48450446,11.30953498,144.921529,0.000455772,0.000101393,0.17534613
ADHD,Neuroticism score ,Weighted median,0.172131177,0.030512294,1.69E-08,1.187833639,1.118878765,1.261038103,1.82E-12,2.46E-12,0.677211234
ADHD,Neuroticism score ,Inverse variance weighted,0.157640447,0.028180838,2.22E-08,1.170745174,1.107833166,1.237229851,1.82E-12,2.46E-12,0.677211234
DEP,Neuroticism score ,Simple mode,0.267897321,0.04644075,7.58E-08,1.30721291,1.19348005,1.43178396,1.55E-10,6.41E-11,0.134958317
ASD,Educational attainment,MR Egger,-0.546519726,0.102680165,1.14E-07,0.578961252,0.473419757,0.708031565,7.40E-79,6.12E-79,0.267199899
ANX,Neuroticism score ,Weighted median,0.435282635,0.084907235,2.95E-07,1.545399781,1.308477771,1.825220525,0.116157396,0.088506609,0.078855935
DEP,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Inverse variance weighted,2.58540254,0.505273151,3.11E-07,13.26862917,4.92866009,35.72097017,0.355063156,0.444063915,0.731465866
DEP,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Inverse variance weighted,2.58540254,0.505273151,3.11E-07,13.26862917,4.92866009,35.72097017,0.355063156,0.444063915,0.731465866
PTSD,Trauma exposure ,Inverse variance weighted,0.470251172,0.092358835,3.55E-07,1.600396117,1.335395971,1.91798372,0.012004512,0.016874844,0.618837049
DEP,Body mass index (BMI) ,Inverse variance weighted,0.113789783,0.022437905,3.95E-07,1.120516548,1.072306021,1.170894606,2.57E-14,3.16E-14,0.736769716
DEP,smoking initiation ,Inverse variance weighted,0.205419801,0.040671203,4.40E-07,1.228040489,1.133946746,1.329942035,0.000800078,0.000740461,0.310689123
ED,Neuroticism score ,Inverse variance weighted,-0.197898882,0.039198657,4.45E-07,0.820452811,0.759778565,0.88597237,1.55E-10,6.41E-11,0.134958317
ADHD,Intelligence ,Weighted median,-0.370839021,0.073605986,4.70E-07,0.690155033,0.597436813,0.797262505,8.19E-17,1.09E-16,0.643105235
ED,Qualifications: College or University degree ,Inverse variance weighted,-0.952341241,0.190414902,5.69E-07,0.385836629,0.265655626,0.560386792,7.01E-11,6.87E-12,0.008009552
ADHD,smoking initiation ,Weighted mode,0.907973655,0.168053184,6.43E-07,2.479293536,1.783520847,3.446495424,3.61E-20,6.44E-21,0.153206716
ADHD,"Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself ",Inverse variance weighted,9.926116929,1.994948957,6.50E-07,20457.74726,409.9425276,1020922.19,NA,0.587369101,NA
BP,Neuroticism score ,Inverse variance weighted,0.165561443,0.033670638,8.78E-07,1.180055467,1.104692474,1.260559782,0.116157396,0.088506609,0.078855935
BP,Educational attainment,Inverse variance weighted,-0.189314569,0.038880206,1.12E-06,0.827526152,0.766807281,0.893052986,0.04184904,0.040477225,0.177159832
DEP,Qualifications: College or University degree ,Weighted median,-0.38043029,0.078656091,1.32E-06,0.683567214,0.585905815,0.797507251,0.299161324,0.311386341,0.634434752
SCZ,Primary sclerosing cholangitis ,Weighted mode,-0.139203801,0.01872074,2.09E-06,0.870050693,0.838704826,0.902568086,0.000522623,0.000142129,0.183882486
BP,Qualifications: College or University degree ,Weighted median,0.79445717,0.168095556,2.29E-06,2.213239258,1.591998078,3.076905733,0.299161324,0.311386341,0.634434752
DEP,"Illness, injury, bereavement, stress in last 2 years: Financial difficulties ",Weighted median,2.743730084,0.580862374,2.32E-06,15.54486073,4.979053591,48.5318526,0.355063156,0.444063915,0.731465866
ASD,Intelligence ,Inverse variance weighted,0.425276887,0.090101274,2.36E-06,1.530014002,1.282329557,1.825539179,0.431569958,0.444654134,0.508952987
BP,Qualifications: College or University degree ,Inverse variance weighted,0.758831637,0.161134708,2.49E-06,2.135779397,1.557384185,2.928984174,0.299161324,0.311386341,0.634434752
