Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ARTN,Brain Putamen,ADHD,Wald ratio,1,0.875,5.42E-09,NA,NA,NA,0.999343471
ARTN,Brain Frontal Cortex,ADHD,Wald ratio,1,0.886,7.61E-09,NA,NA,NA,0.994986882
ARTN,Brain Amygdala,ADHD,Wald ratio,1,0.888,9.42E-09,NA,NA,NA,0.976452811
ARTN,Brain Anterior cingulate cortex BA24,ADHD,Wald ratio,1,0.908,9.42E-09,NA,NA,NA,0.991825384
ARTN,Brain Spinal,ADHD,Wald ratio,1,0.89,9.42E-09,NA,NA,NA,0.998956281
ARTN,Meta 10 Brain Regions,ADHD,Wald ratio,1,1.089,9.42E-09,NA,NA,NA,0.999986872
REELD1,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.933,1.91E-08,NA,NA,NA,0.999971147
LSM6,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.87,1.91E-08,NA,NA,NA,0.999971142
REELD1,Brain Nucleus,ADHD,Wald ratio,1,0.916,1.91E-08,NA,NA,NA,0.999971147
LSM6,Brain Caudate,ADHD,Wald ratio,1,0.829,4.24E-08,NA,NA,NA,0.997896617
REELD1,Brain Caudate,ADHD,Wald ratio,1,0.927,4.24E-08,NA,NA,NA,0.99993753
TIE1,Brain Cortex,ADHD,Wald ratio,1,0.835,1.36E-07,NA,NA,NA,0.998799678
TIE1,Brain Hippocampus,ADHD,Wald ratio,1,0.849,1.43E-07,NA,NA,NA,0.997888283
MED8,Brain Spinal,ADHD,Wald ratio,1,1.18,2.20E-07,NA,NA,NA,0.986575716
ARTN,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.937,3.63E-07,NA,NA,NA,0.999560539
ARTN,Brain Cortex,ADHD,Wald ratio,1,0.886,3.63E-07,NA,NA,NA,0.998984655
ARTN,Brain Hypothalamus,ADHD,Wald ratio,1,0.883,3.63E-07,NA,NA,NA,0.995725841
ARTN,Brain Prefrontal Cortex PsychENCODE,ADHD,Wald ratio,1,0.602,3.63E-07,NA,NA,NA,0.997053942
ARTN,Brain Hippocampus,ADHD,Wald ratio,1,0.909,4.36E-07,NA,NA,NA,0.999424767
ARTN,Brain Cerebellum,ADHD,Wald ratio,1,0.942,7.50E-07,NA,NA,NA,0.999124613
GMPPB,Brain Substantia,ADHD,Wald ratio,1,0.923,1.11E-06,NA,NA,NA,0.998808722
REELD1,Brain Cortex,ADHD,Wald ratio,1,0.892,1.33E-06,NA,NA,NA,0.997903443
LSM6,Brain Cortex,ADHD,Wald ratio,1,0.86,1.33E-06,NA,NA,NA,0.997379056
TIE1,Brain Prefrontal Cortex PsychENCODE,ADHD,Wald ratio,1,0.75,1.57E-06,NA,NA,NA,0.997895057
BLOC1S2,Meta 10 Brain Regions,ADHD,Wald ratio,1,0.943,1.94E-06,NA,NA,NA,0.99872058
BLOC1S2,Brain Hippocampus,ADHD,Wald ratio,1,1.201,2.04E-06,NA,NA,NA,0.998663907
HYAL3,Brain Amygdala,ADHD,Wald ratio,1,1.094,2.46E-06,NA,NA,NA,0.996800687
NAA80,Brain Amygdala,ADHD,Wald ratio,1,0.875,2.46E-06,NA,NA,NA,0.991096517
HYAL3,Brain Anterior cingulate cortex BA24,ADHD,Wald ratio,1,1.093,2.46E-06,NA,NA,NA,0.996800688
NAA80,Brain Anterior cingulate cortex BA24,ADHD,Wald ratio,1,0.844,2.46E-06,NA,NA,NA,0.993875351
HYAL3,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,1.065,2.46E-06,NA,NA,NA,0.996800688
HYAL3,Brain Frontal Cortex,ADHD,Wald ratio,1,1.083,2.46E-06,NA,NA,NA,0.996800688
NAA80,Brain Frontal Cortex,ADHD,Wald ratio,1,0.849,2.46E-06,NA,NA,NA,0.996800683
HYAL3,Brain Hippocampus,ADHD,Wald ratio,1,1.119,2.46E-06,NA,NA,NA,0.996800688
FOLH1,Meta 10 Brain Regions,ADHD,Wald ratio,1,1,3.41E-06,NA,NA,NA,0.039190305
ARTN,Brain Nucleus,ADHD,Wald ratio,1,0.892,3.43E-06,NA,NA,NA,0.97757172
SZT2,Brain Cerebellar Hemisphere,ADHD,Wald ratio,1,0.803,3.55E-06,NA,NA,NA,0.995541245
PARPBP,Brain Cortex SMR,ADHD,Wald ratio,1,1.257,4.39E-06,NA,NA,NA,0.996285395
NAA80,Brain Hypothalamus,ADHD,Wald ratio,1,0.859,4.40E-06,NA,NA,NA,0.993096935
HYAL3,Brain Hypothalamus,ADHD,Wald ratio,1,1.083,4.40E-06,NA,NA,NA,0.994493367
ARTN,Brain Caudate,ADHD,Inverse variance weighted,2,0.904,4.80E-06,NA,0.203965343,NA,0.000182192
SNRK,Brain Prefrontal Cortex PsychENCODE,ADHD,Wald ratio,1,0.628,6.00E-06,NA,NA,NA,0.992392076
GLB1L2,Brain Cortex SMR,ADHD,Wald ratio,1,1.111,6.25E-06,NA,NA,NA,0.993215283
AC046168.1,Brain Cortex SMR,ADHD,Wald ratio,1,1.072,6.48E-06,NA,NA,NA,0.991734514
LINGO1,Brain Cortex SMR,ADHD,Wald ratio,1,1.169,6.48E-06,NA,NA,NA,0.991734514
