Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
KLC3,Brain,ALZ,Wald ratio,1,1.222,8.39E-12,NA,NA,NA,0.999999985
MAPT,Brain,ALZ,Wald ratio,1,1.136,3.96E-07,NA,NA,NA,0.999566808
IQCK,Brain,ALZ,Wald ratio,1,1.173,7.04E-06,NA,NA,NA,0.993558045
OTUB1,Brain,ALZ,Wald ratio,1,1.068,1.45E-04,NA,NA,NA,0.870166217
GGA2,Brain,ALZ,Wald ratio,1,0.893,2.39E-04,NA,NA,NA,0.850462222
CHRNE,Brain,ALZ,Wald ratio,1,1.103,6.27E-04,NA,NA,NA,0.729103754
ZFP69,Brain,ALZ,Wald ratio,1,0.909,7.62E-04,NA,NA,NA,0.648335008
LINC02210-CRHR1,Brain,ALZ,Wald ratio,1,1.2,1.50E-03,NA,NA,NA,0.663994769
KNTC1,Brain,ALZ,Wald ratio,1,1.059,1.95E-03,NA,NA,NA,0.402229602
TIMM50,Brain,ALZ,Wald ratio,1,0.913,2.53E-03,NA,NA,NA,0.320660542
TRMT61A,Brain,ALZ,Wald ratio,1,1.136,2.78E-03,NA,NA,NA,0.333492178
LINC00672,Brain,ALZ,Wald ratio,1,0.897,3.39E-03,NA,NA,NA,0.336152818
CD2AP,Brain,ALZ,Wald ratio,1,1.098,3.47E-03,NA,NA,NA,0.289946826
ENSG00000253917,Brain,ALZ,Wald ratio,1,0.821,3.91E-03,NA,NA,NA,0.381408436
ABLIM3,Brain,ALZ,Wald ratio,1,1.103,5.88E-03,NA,NA,NA,0.194317138
ELL,Brain,ALZ,Wald ratio,1,0.897,6.33E-03,NA,NA,NA,0.204722386
ITGB3,Brain,ALZ,Wald ratio,1,0.956,6.39E-03,NA,NA,NA,0.168027282
ENSG00000223646,Brain,ALZ,Wald ratio,1,0.912,6.56E-03,NA,NA,NA,0.179255068
MNT,Brain,ALZ,Wald ratio,1,1.073,6.59E-03,NA,NA,NA,0.173532354
ZNF775,Brain,ALZ,Wald ratio,1,0.874,6.80E-03,NA,NA,NA,0.214197355
ZNF584,Brain,ALZ,Wald ratio,1,0.913,8.43E-03,NA,NA,NA,0.162887344
CLK3P2,Brain,ALZ,Wald ratio,1,1.065,1.05E-02,NA,NA,NA,0.156502642
GALNT6,Brain,ALZ,Wald ratio,1,0.942,1.18E-02,NA,NA,NA,0.118140286
NOL4L,Brain,ALZ,Wald ratio,1,1.101,1.23E-02,NA,NA,NA,0.105147138
TAFA5,Brain,ALZ,Wald ratio,1,1.096,1.23E-02,NA,NA,NA,0.143538148
QPCT,Brain,ALZ,Wald ratio,1,0.932,1.24E-02,NA,NA,NA,0.101345896
MDGA1,Brain,ALZ,Wald ratio,1,0.934,1.26E-02,NA,NA,NA,0.104672441
ENSG00000239381,Brain,ALZ,Wald ratio,1,1.113,1.37E-02,NA,NA,NA,0.117125146
DGKI,Brain,ALZ,Wald ratio,1,0.913,1.40E-02,NA,NA,NA,0.097971723
EFNB2,Brain,ALZ,Wald ratio,1,0.911,1.58E-02,NA,NA,NA,0.091975453
TXNL4B,Brain,ALZ,Wald ratio,1,0.932,1.76E-02,NA,NA,NA,0.094087715
ENSG00000249451,Brain,ALZ,Wald ratio,1,0.959,1.78E-02,NA,NA,NA,0.075990121
HRNR,Brain,ALZ,Wald ratio,1,0.939,1.81E-02,NA,NA,NA,0.104759913
DENND6B,Brain,ALZ,Wald ratio,1,1.124,1.83E-02,NA,NA,NA,0.135530698
ECE1,Brain,ALZ,Wald ratio,1,0.929,1.85E-02,NA,NA,NA,0.074446681
CERT1,Brain,ALZ,Wald ratio,1,0.893,1.85E-02,NA,NA,NA,0.108420482
SLC2A9,Brain,ALZ,Wald ratio,1,0.946,1.88E-02,NA,NA,NA,0.0727495
FOXO6,Brain,ALZ,Wald ratio,1,1.053,1.89E-02,NA,NA,NA,0.070945529
CAMK1D,Brain,ALZ,Wald ratio,1,1.08,1.96E-02,NA,NA,NA,0.0771559
OAS1,Brain,ALZ,Wald ratio,1,1.071,2.05E-02,NA,NA,NA,0.070258199
CCDC13-AS1,Brain,ALZ,Wald ratio,1,0.946,2.13E-02,NA,NA,NA,0.065125315
PRDM7,Brain,ALZ,Inverse variance weighted,2,0.929,2.14E-02,NA,0.940263628,NA,0.040135346
TSPAN5,Brain,ALZ,Wald ratio,1,0.919,2.20E-02,NA,NA,NA,0.067978562
PSD4,Brain,ALZ,Wald ratio,1,0.922,2.34E-02,NA,NA,NA,0.061467993
PDE11A,Brain,ALZ,Wald ratio,1,1.058,2.39E-02,NA,NA,NA,0.066412389
CDC25B,Brain,ALZ,Wald ratio,1,1.075,2.40E-02,NA,NA,NA,0.060191978
MRPL15P1,Brain,ALZ,Wald ratio,1,1.098,2.96E-02,NA,NA,NA,0.056763685
ENSG00000254363,Brain,ALZ,Wald ratio,1,1.086,3.12E-02,NA,NA,NA,0.052625813
C2orf74,Brain,ALZ,Wald ratio,1,1.056,3.22E-02,NA,NA,NA,0.046425515
STX6,Brain,ALZ,Wald ratio,1,1.041,3.24E-02,NA,NA,NA,0.046731594
IPO9,Brain,ALZ,Wald ratio,1,0.925,3.63E-02,NA,NA,NA,0.04935763
KAT2B,Brain,ALZ,Wald ratio,1,1.056,3.75E-02,NA,NA,NA,0.04109121
LAMC3,Brain,ALZ,Wald ratio,1,0.927,3.77E-02,NA,NA,NA,0.042393416
STX1B,Brain,ALZ,Wald ratio,1,1.099,3.81E-02,NA,NA,NA,0.054512412
USP2-AS1,Brain,ALZ,Wald ratio,1,0.935,3.81E-02,NA,NA,NA,0.044340389
PROM2,Brain,ALZ,Wald ratio,1,0.917,3.86E-02,NA,NA,NA,0.04692066
DIS3L2,Brain,ALZ,Wald ratio,1,0.937,3.90E-02,NA,NA,NA,0.04354539
OBI1,Brain,ALZ,Wald ratio,1,1.049,3.93E-02,NA,NA,NA,0.045170027
PGBD5,Brain,ALZ,Wald ratio,1,0.963,3.93E-02,NA,NA,NA,0.039478053
TANC2,Brain,ALZ,Wald ratio,1,0.972,4.02E-02,NA,NA,NA,0.038035101
ZNF500,Brain,ALZ,Wald ratio,1,1.061,4.05E-02,NA,NA,NA,0.039695262
CUEDC1,Brain,ALZ,Wald ratio,1,1.093,4.08E-02,NA,NA,NA,0.049891826
CD82,Brain,ALZ,Wald ratio,1,0.919,4.33E-02,NA,NA,NA,0.052547871
FAM174B,Brain,ALZ,Wald ratio,1,0.964,4.36E-02,NA,NA,NA,0.041476764
PLEKHH2,Brain,ALZ,Wald ratio,1,1.043,4.44E-02,NA,NA,NA,0.036104919
PCSK6,Brain,ALZ,Wald ratio,1,1.137,4.55E-02,NA,NA,NA,0.067831272
