Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
EMC3,Brain Hippocampus,ANX,Wald ratio,1,0.796,1.24E-05,NA,NA,NA,0.825986125
SLC24A2,Brain Cortex,ANX,Wald ratio,1,8.831,6.53E-05,NA,NA,NA,0.971534375
ELOVL2,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,1.25,6.54E-05,NA,NA,NA,0.270309427
KIF26B,Brain Hypothalamus,ANX,Wald ratio,1,1.224,1.11E-04,NA,NA,NA,0.079718073
MTHFD1L,Brain Hypothalamus,ANX,Wald ratio,1,0.794,1.68E-04,NA,NA,NA,0.948382031
MTHFD1L,Brain Nucleus accumbens basal ganglia,ANX,Wald ratio,1,0.681,1.90E-04,NA,NA,NA,0.740468729
WWTR1,Brain Spinal cord cervical,ANX,Wald ratio,1,0.84,2.03E-04,NA,NA,NA,0.011471082
BAZ1A,Brain Substantia nigra,ANX,Wald ratio,1,0.788,2.31E-04,NA,NA,NA,0.078374671
DENND6A-AS1,Brain Substantia nigra,ANX,Wald ratio,1,0.566,2.49E-04,NA,NA,NA,0.002066009
LINC02610,Brain Hypothalamus,ANX,Wald ratio,1,1.274,3.10E-04,NA,NA,NA,0.023956716
SESTD1,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.181,3.22E-04,NA,NA,NA,0.014668902
ZHX2,Brain Hippocampus,ANX,Wald ratio,1,0.796,3.49E-04,NA,NA,NA,0.004234041
MRPS27,Brain Spinal cord cervical,ANX,Wald ratio,1,0.713,5.09E-04,NA,NA,NA,0.029614229
GLDN,Brain Cortex,ANX,Wald ratio,1,0.616,5.46E-04,NA,NA,NA,0.862444932
ST18,Brain Putamen basal ganglia,ANX,Wald ratio,1,1.232,7.03E-04,NA,NA,NA,0.105572002
CHL1-AS2,Brain Cortex,ANX,Wald ratio,1,0.601,7.07E-04,NA,NA,NA,0.035020665
EIF2A,Brain Hippocampus,ANX,Wald ratio,1,1.186,7.13E-04,NA,NA,NA,0.216529411
