Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
NAA30,BannerBBDP,ASD,Inverse variance weighted,2,62.061,3.94E-05,NA,0.604609478,NA,3.46E-07
BRE1A,ROSMAP,ASD,Inverse variance weighted,3,0.003,6.73E-05,0.938088195,0.951311554,0.810803891,2.08E-07
AEDO,BannerBBDP,ASD,Inverse variance weighted,2,0.318,9.41E-05,NA,0.725147549,NA,0.916476869
NSF,BannerBBDP,ASD,Wald ratio,1,0.008,1.30E-04,NA,NA,NA,4.18E-07
BAIP2,BannerBBDP,ASD,Inverse variance weighted,4,0.043,1.69E-04,0.754465526,0.758774888,0.515808374,5.02E-08
DGLB,BannerBBDP,ASD,Inverse variance weighted,2,2.771,2.09E-04,NA,0.478871204,NA,3.34E-05
RAC1,BannerBBDP,ASD,Inverse variance weighted,2,0,2.24E-04,NA,0.42726438,NA,2.07E-07
ISLR,ROSMAP,ASD,Inverse variance weighted,2,0.233,2.97E-04,NA,0.878810211,NA,1.93E-06
GPC5,ROSMAP,ASD,Inverse variance weighted,13,0.567,3.21E-04,0.935774784,0.778429573,0.102014996,8.58E-07
CATB,ROSMAP,ASD,Inverse variance weighted,3,0.347,3.72E-04,0.443827449,0.289514971,0.400135708,1.54E-07
DCNL2,BannerBBDP,ASD,Inverse variance weighted,2,2.126,3.86E-04,NA,0.369936482,NA,2.70E-07
2ABD,ROSMAP,ASD,Wald ratio,1,0,4.08E-04,NA,NA,NA,1.99E-06
ACTN2,ROSMAP,ASD,Inverse variance weighted,2,0.255,4.44E-04,NA,0.310168309,NA,0.001475392
CMIP,BannerBBDP,ASD,Inverse variance weighted,8,0.274,1.03E-03,0.613535859,0.564933928,0.294730465,0.000137866
RL27A,BannerBBDP,ASD,Wald ratio,1,0.427,1.09E-03,NA,NA,NA,3.10E-07
PPCS,BannerBBDP,ASD,Wald ratio,1,1449576,1.12E-03,NA,NA,NA,1.79E-07
RIMKA,BannerBBDP,ASD,Wald ratio,1,3.819,1.12E-03,NA,NA,NA,2.83E-07
AGRB1,ROSMAP,ASD,Inverse variance weighted,2,37.826,1.15E-03,NA,0.54641816,NA,8.49E-07
SYPM,ROSMAP,ASD,Inverse variance weighted,4,0.235,1.20E-03,0.303920275,0.494252768,0.921680286,1.02E-07
PLCL2,ROSMAP,ASD,Inverse variance weighted,4,0.009,1.28E-03,0.199211018,0.334226876,0.775493573,2.68E-07
GSDME,ROSMAP,ASD,Wald ratio,1,0.398,1.33E-03,NA,NA,NA,0.350893816
PRP16,ROSMAP,ASD,Inverse variance weighted,2,0.229,1.33E-03,NA,0.357347108,NA,3.07E-06
ZNT9,ROSMAP,ASD,Wald ratio,1,10.635,1.47E-03,NA,NA,NA,0.000513984
SGSM2,BannerBBDP,ASD,Inverse variance weighted,2,7.038,1.63E-03,NA,0.235833554,NA,6.46E-08
GNAO,ROSMAP,ASD,Inverse variance weighted,2,77.074,1.71E-03,NA,0.935101334,NA,1.09E-06
OTU1,BannerBBDP,ASD,Inverse variance weighted,3,0.278,1.74E-03,0.302639209,0.554451063,0.796005575,0.211035745
DYN1,BannerBBDP,ASD,Wald ratio,1,0.048,1.79E-03,NA,NA,NA,0.001023384
BBLN,BannerBBDP,ASD,Wald ratio,1,0.135,1.79E-03,NA,NA,NA,4.02E-07
TT21B,ROSMAP,ASD,Wald ratio,1,0.36,1.79E-03,NA,NA,NA,1.66E-07
ANO10,ROSMAP,ASD,Wald ratio,1,0,1.88E-03,NA,NA,NA,6.07E-08
TPC6B,BannerBBDP,ASD,Inverse variance weighted,4,12.999,1.91E-03,0.873851379,0.931678653,0.719220888,2.12E-06
AAGAB,ROSMAP,ASD,Inverse variance weighted,3,0.466,1.95E-03,0.451624867,0.752040073,0.963135632,5.37E-07
LRC8D,BannerBBDP,ASD,Inverse variance weighted,2,0.125,2.10E-03,NA,0.580778141,NA,5.78E-06
RALYL,ROSMAP,ASD,Inverse variance weighted,4,7.163,2.13E-03,0.173160054,0.302136994,0.803830444,2.21E-06
EFHD1,BannerBBDP,ASD,Inverse variance weighted,2,0.456,2.15E-03,NA,0.382324182,NA,2.16E-05
CISD2,ROSMAP,ASD,Wald ratio,1,0.252,2.17E-03,NA,NA,NA,0.342066179
CREST,ROSMAP,ASD,Inverse variance weighted,2,0.002,2.23E-03,NA,0.401033764,NA,2.96E-07
AB1IP,ROSMAP,ASD,Inverse variance weighted,3,0.371,2.30E-03,0.646325173,0.63187541,0.554784121,1.36E-06
RHG26,BannerBBDP,ASD,Inverse variance weighted,6,3.955,2.31E-03,0.8974642,0.941544141,0.71431313,2.55E-08
LSP1,ROSMAP,ASD,Inverse variance weighted,3,0.72,2.32E-03,0.568593815,0.651108965,0.598500433,0.037570366
CISD2,BannerBBDP,ASD,Wald ratio,1,0.286,2.34E-03,NA,NA,NA,0.424886338
LY6H,ROSMAP,ASD,Inverse variance weighted,3,1.744,2.35E-03,0.350361822,0.534293371,0.64776701,0.003288218
S14L2,BannerBBDP,ASD,Inverse variance weighted,2,189.274,2.37E-03,NA,0.633988199,NA,3.10E-05
NPL4,BannerBBDP,ASD,Inverse variance weighted,3,21.255,2.47E-03,0.275547363,0.356199348,0.548493929,1.30E-06
LSP1,BannerBBDP,ASD,Inverse variance weighted,4,0.813,2.50E-03,0.915973651,0.356798622,0.222376807,1.16E-07
IGJ,BannerBBDP,ASD,Inverse variance weighted,2,0.617,2.51E-03,NA,0.68967698,NA,7.60E-07
CATH,BannerBBDP,ASD,Inverse variance weighted,4,0.776,2.62E-03,0.785154104,0.916767988,0.886949423,6.77E-07
ERC2,ROSMAP,ASD,Inverse variance weighted,8,0.072,2.69E-03,0.807034982,0.672207814,0.218843604,6.72E-07
CATH,ROSMAP,ASD,Inverse variance weighted,5,0.793,2.83E-03,0.923998995,0.814766494,0.373178918,4.70E-07
S11IP,BannerBBDP,ASD,Inverse variance weighted,2,3.864,2.86E-03,NA,0.291292559,NA,2.58E-07
