Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ANK3,Brain,BP,Wald ratio,1,0.795,7.49E-10,NA,NA,NA,0.999999231
HLA-C,Brain,BP,Wald ratio,1,0.837,5.72E-07,NA,NA,NA,0.99923936
TMEM258,Brain,BP,Wald ratio,1,1.246,5.73E-07,NA,NA,NA,0.999369412
RORB,Brain,BP,Wald ratio,1,1.125,1.68E-05,NA,NA,NA,0.982786082
MUCL3,Brain,BP,Wald ratio,1,1.084,6.08E-05,NA,NA,NA,0.938113363
OTUB1,Brain,BP,Wald ratio,1,1.068,7.89E-05,NA,NA,NA,0.919419473
PPM1F,Brain,BP,Wald ratio,1,1.091,1.45E-04,NA,NA,NA,0.86450178
RNU1-47P,Brain,BP,Wald ratio,1,1.129,1.46E-04,NA,NA,NA,0.86837247
CALCB,Brain,BP,Wald ratio,1,0.882,1.94E-04,NA,NA,NA,0.828642768
RCBTB1,Brain,BP,Wald ratio,1,0.901,2.49E-04,NA,NA,NA,0.792909522
ENSG00000235140,Brain,BP,Wald ratio,1,1.106,2.87E-04,NA,NA,NA,0.805478174
SHANK2,Brain,BP,Wald ratio,1,1.12,4.04E-04,NA,NA,NA,0.730698118
KCNJ12,Brain,BP,Wald ratio,1,0.893,4.18E-04,NA,NA,NA,0.720608859
ENSG00000286619,Brain,BP,Wald ratio,1,0.961,6.01E-04,NA,NA,NA,0.627675197
ENSG00000272305,Brain,BP,Wald ratio,1,1.088,6.55E-04,NA,NA,NA,0.616046726
FAM135B,Brain,BP,Wald ratio,1,0.854,7.14E-04,NA,NA,NA,0.672769386
RCAN2,Brain,BP,Inverse variance weighted,2,0.932,1.16E-03,NA,0.736683657,NA,0.033890656
CHMP1A,Brain,BP,Wald ratio,1,1.077,1.19E-03,NA,NA,NA,0.560001215
MYO18A,Brain,BP,Wald ratio,1,1.325,1.21E-03,NA,NA,NA,0.685453656
CDC25B,Brain,BP,Wald ratio,1,0.909,1.36E-03,NA,NA,NA,0.438731197
RPL13,Brain,BP,Wald ratio,1,0.93,1.37E-03,NA,NA,NA,0.495060466
FOXO6,Brain,BP,Wald ratio,1,0.936,1.52E-03,NA,NA,NA,0.414019925
FRK,Brain,BP,Wald ratio,1,0.92,1.65E-03,NA,NA,NA,0.399381291
XPNPEP1,Brain,BP,Wald ratio,1,1.094,1.65E-03,NA,NA,NA,0.415591409
SLC39A10,Brain,BP,Wald ratio,1,1.09,1.72E-03,NA,NA,NA,0.392533281
PRIMA1,Brain,BP,Wald ratio,1,1.105,1.75E-03,NA,NA,NA,0.511741536
IGKV2OR2-1,Brain,BP,Wald ratio,1,0.932,1.79E-03,NA,NA,NA,0.423340856
NECTIN3-AS1,Brain,BP,Wald ratio,1,0.793,1.88E-03,NA,NA,NA,0.556684618
FARS2,Brain,BP,Wald ratio,1,1.125,2.03E-03,NA,NA,NA,0.400151854
ZNF117,Brain,BP,Wald ratio,1,1.059,2.43E-03,NA,NA,NA,0.315525232
ZNF584,Brain,BP,Wald ratio,1,1.104,2.55E-03,NA,NA,NA,0.35269221
ENSG00000259420,Brain,BP,Wald ratio,1,0.93,2.61E-03,NA,NA,NA,0.306137607
CCDC88C,Brain,BP,Inverse variance weighted,2,1.073,2.73E-03,NA,0.314556184,NA,0.155860464
GCK,Brain,BP,Wald ratio,1,1.2,2.75E-03,NA,NA,NA,0.448475605
DNAAF5,Brain,BP,Wald ratio,1,1.082,2.80E-03,NA,NA,NA,0.292676735
YEATS4,Brain,BP,Wald ratio,1,1.07,3.22E-03,NA,NA,NA,0.260992169
JMJD6,Brain,BP,Wald ratio,1,0.904,3.43E-03,NA,NA,NA,0.251637977
KY,Brain,BP,Wald ratio,1,1.06,4.16E-03,NA,NA,NA,0.225713118
DUSP14,Brain,BP,Wald ratio,1,1.127,4.28E-03,NA,NA,NA,0.297992062
ADA2,Brain,BP,Wald ratio,1,1.136,4.33E-03,NA,NA,NA,0.270384986
HLA-J,Brain,BP,Wald ratio,1,1.129,4.36E-03,NA,NA,NA,0.246135158
GSTM5,Brain,BP,Wald ratio,1,1.091,5.41E-03,NA,NA,NA,0.185215556
DLGAP1,Brain,BP,Wald ratio,1,0.903,5.91E-03,NA,NA,NA,0.180872657
ESPN,Brain,BP,Wald ratio,1,1.178,6.15E-03,NA,NA,NA,0.329911757
CFAP251,Brain,BP,Wald ratio,1,0.937,6.61E-03,NA,NA,NA,0.158252258
GSDME,Brain,BP,Wald ratio,1,1.071,7.50E-03,NA,NA,NA,0.143744819
AXDND1,Brain,BP,Wald ratio,1,0.938,8.08E-03,NA,NA,NA,0.134547717
ENSG00000230863,Brain,BP,Wald ratio,1,1.096,8.15E-03,NA,NA,NA,0.136087741
HLA-DQA1,Brain,BP,Wald ratio,1,1.041,8.33E-03,NA,NA,NA,0.144301226
TMCO3,Brain,BP,Wald ratio,1,0.933,8.85E-03,NA,NA,NA,0.13449367
APOB,Brain,BP,Wald ratio,1,0.924,9.16E-03,NA,NA,NA,0.127625124
ZNF577,Brain,BP,Wald ratio,1,0.875,9.20E-03,NA,NA,NA,0.173347107
NDRG4,Brain,BP,Wald ratio,1,1.099,9.36E-03,NA,NA,NA,0.123255108
KNTC1,Brain,BP,Wald ratio,1,1.046,9.63E-03,NA,NA,NA,0.13116285
TECPR2,Brain,BP,Wald ratio,1,0.945,9.66E-03,NA,NA,NA,0.120336736
GNB1,Brain,BP,Wald ratio,1,0.948,9.73E-03,NA,NA,NA,0.116451942
GGA2,Brain,BP,Wald ratio,1,0.931,1.03E-02,NA,NA,NA,0.140725104
LINC02306,Brain,BP,Wald ratio,1,1.089,1.04E-02,NA,NA,NA,0.121468158
PRKCZ,Brain,BP,Wald ratio,1,0.923,1.05E-02,NA,NA,NA,0.119450811
AFG3L1P,Brain,BP,Wald ratio,1,1.173,1.08E-02,NA,NA,NA,0.176649967
RMDN3,Brain,BP,Wald ratio,1,0.966,1.13E-02,NA,NA,NA,0.103226457
ST8SIA5-DT,Brain,BP,Wald ratio,1,1.076,1.15E-02,NA,NA,NA,0.102665604
CHD1L,Brain,BP,Wald ratio,1,0.913,1.24E-02,NA,NA,NA,0.09772999
STMN4,Brain,BP,Wald ratio,1,1.028,1.32E-02,NA,NA,NA,0.093376855
GFOD1,Brain,BP,Wald ratio,1,0.918,1.35E-02,NA,NA,NA,0.09831449
CFAP221,Brain,BP,Wald ratio,1,1.111,1.39E-02,NA,NA,NA,0.11188646
SORBS3,Brain,BP,Wald ratio,1,0.951,1.40E-02,NA,NA,NA,0.089016321
NIPAL1,Brain,BP,Wald ratio,1,0.927,1.43E-02,NA,NA,NA,0.088811896
NGRN,Brain,BP,Wald ratio,1,1.074,1.48E-02,NA,NA,NA,0.085022311
QPCT,Brain,BP,Wald ratio,1,1.066,1.67E-02,NA,NA,NA,0.075740823
CCDC175,Brain,BP,Wald ratio,1,1.051,1.72E-02,NA,NA,NA,0.081424263
EPHB4,Brain,BP,Wald ratio,1,1.093,1.74E-02,NA,NA,NA,0.079499412
DGKI,Brain,BP,Wald ratio,1,1.084,1.74E-02,NA,NA,NA,0.075790943
DIS3L2,Brain,BP,Wald ratio,1,1.074,1.79E-02,NA,NA,NA,0.077794555
DNAH1,Brain,BP,Wald ratio,1,1.056,1.84E-02,NA,NA,NA,0.091016729
ITGAD,Brain,BP,Wald ratio,1,0.872,1.87E-02,NA,NA,NA,0.126522415
FRMD3-AS1,Brain,BP,Wald ratio,1,0.957,1.89E-02,NA,NA,NA,0.070985564
ENSG00000287402,Brain,BP,Wald ratio,1,0.909,1.91E-02,NA,NA,NA,0.095027763
SYNJ2,Brain,BP,Inverse variance weighted,2,0.951,1.99E-02,NA,0.433952417,NA,0.051301668
C1orf112,Brain,BP,Wald ratio,1,1.112,2.00E-02,NA,NA,NA,0.102909604
STOX1,Brain,BP,Wald ratio,1,1.092,2.02E-02,NA,NA,NA,0.079616167
ZNF502,Brain,BP,Wald ratio,1,0.95,2.12E-02,NA,NA,NA,0.074829104
CDHR4,Brain,BP,Wald ratio,1,1.064,2.14E-02,NA,NA,NA,0.078933419
LINC02558,Brain,BP,Wald ratio,1,1.105,2.26E-02,NA,NA,NA,0.103154676
HELB,Brain,BP,Wald ratio,1,0.94,2.33E-02,NA,NA,NA,0.057067962
TRMT9B,Brain,BP,Inverse variance weighted,2,1.1,2.42E-02,NA,0.305290617,NA,0.011811114
SRD5A3,Brain,BP,Wald ratio,1,0.905,2.46E-02,NA,NA,NA,0.073774529
S100A13,Brain,BP,Wald ratio,1,1.04,2.58E-02,NA,NA,NA,0.054062523
ANK2,Brain,BP,Wald ratio,1,0.935,2.62E-02,NA,NA,NA,0.052365047
ARID1B,Brain,BP,Wald ratio,1,1.103,2.71E-02,NA,NA,NA,0.07688522
RUBCN,Brain,BP,Wald ratio,1,1.097,2.94E-02,NA,NA,NA,0.076388527
TMEM171,Brain,BP,Wald ratio,1,1.052,2.99E-02,NA,NA,NA,0.052140522
ZNF396,Brain,BP,Wald ratio,1,0.943,3.01E-02,NA,NA,NA,0.047207907
ZNF500,Brain,BP,Wald ratio,1,1.061,3.10E-02,NA,NA,NA,0.046517519
ENSG00000286679,Brain,BP,Wald ratio,1,0.962,3.11E-02,NA,NA,NA,0.049618525
TM2D3,Brain,BP,Wald ratio,1,0.944,3.19E-02,NA,NA,NA,0.045515621
LRRIQ4,Brain,BP,Wald ratio,1,0.949,3.26E-02,NA,NA,NA,0.044287145
C20orf96,Brain,BP,Wald ratio,1,0.927,3.38E-02,NA,NA,NA,0.044265031
CASP7,Brain,BP,Wald ratio,1,1.061,3.40E-02,NA,NA,NA,0.044903724
ENSG00000228852,Brain,BP,Wald ratio,1,0.905,3.56E-02,NA,NA,NA,0.058327694
CERT1,Brain,BP,Wald ratio,1,1.095,3.70E-02,NA,NA,NA,0.057331464
ENSG00000223646,Brain,BP,Wald ratio,1,0.933,3.72E-02,NA,NA,NA,0.044841654
TRHDE,Brain,BP,Wald ratio,1,1.081,3.73E-02,NA,NA,NA,0.076371122
