Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
TRMT61A,Brain,DEP,Wald ratio,1,0.901,2.08E-10,NA,NA,NA,0.999999209
CDHR4,Brain,DEP,Wald ratio,1,1.068,6.93E-08,NA,NA,NA,0.999825172
PTCH1,Brain,DEP,Wald ratio,1,0.925,1.30E-04,NA,NA,NA,0.837642844
TSPAN5,Brain,DEP,Wald ratio,1,1.062,1.55E-04,NA,NA,NA,0.745578727
ENSG00000286619,Brain,DEP,Wald ratio,1,0.98,1.77E-04,NA,NA,NA,0.712653938
PCMTD2,Brain,DEP,Wald ratio,1,1.06,2.12E-04,NA,NA,NA,0.676768052
GSDME,Brain,DEP,Wald ratio,1,1.044,2.18E-04,NA,NA,NA,0.666127271
VPS41,Brain,DEP,Wald ratio,1,1.05,3.73E-04,NA,NA,NA,0.546052896
ARHGEF7,Brain,DEP,Wald ratio,1,1.026,3.92E-04,NA,NA,NA,0.540546662
LBHD1,Brain,DEP,Wald ratio,1,1.056,4.47E-04,NA,NA,NA,0.526294032
IGKV2OR2-1,Brain,DEP,Wald ratio,1,0.965,5.00E-04,NA,NA,NA,0.525279213
TRPS1,Brain,DEP,Wald ratio,1,1.039,5.07E-04,NA,NA,NA,0.480821474
HTT,Brain,DEP,Wald ratio,1,1.027,5.93E-04,NA,NA,NA,0.455278918
ZNF502,Brain,DEP,Wald ratio,1,0.965,6.38E-04,NA,NA,NA,0.473473874
THEM7P,Brain,DEP,Wald ratio,1,1.082,6.81E-04,NA,NA,NA,0.519685627
LINC00390,Brain,DEP,Wald ratio,1,1.064,1.08E-03,NA,NA,NA,0.396464829
TFRC,Brain,DEP,Wald ratio,1,1.041,1.89E-03,NA,NA,NA,0.225923996
CDC42BPA,Brain,DEP,Wald ratio,1,0.944,2.05E-03,NA,NA,NA,0.257234006
OBI1,Brain,DEP,Wald ratio,1,0.969,2.07E-03,NA,NA,NA,0.222433741
LINC01992,Brain,DEP,Wald ratio,1,1.034,2.32E-03,NA,NA,NA,0.181822839
SORBS3,Brain,DEP,Wald ratio,1,0.973,2.70E-03,NA,NA,NA,0.161840427
GRM3,Brain,DEP,Wald ratio,1,0.955,2.91E-03,NA,NA,NA,0.15582672
ZNF584,Brain,DEP,Wald ratio,1,1.044,3.89E-03,NA,NA,NA,0.145581459
RMDN3,Brain,DEP,Wald ratio,1,0.982,3.93E-03,NA,NA,NA,0.120625896
,Brain,DEP,Inverse variance weighted,377,0.998,4.10E-03,3.70E-10,2.38E-10,0.117589644,0.026777647
CNPPD1,Brain,DEP,Wald ratio,1,0.965,4.50E-03,NA,NA,NA,0.110454223
TMEM258,Brain,DEP,Wald ratio,1,1.058,4.78E-03,NA,NA,NA,0.129947525
JAKMIP3,Brain,DEP,Wald ratio,1,0.965,4.98E-03,NA,NA,NA,0.107942993
OTUB1,Brain,DEP,Wald ratio,1,1.021,5.56E-03,NA,NA,NA,0.093012802
STARD13,Brain,DEP,Wald ratio,1,1.048,5.76E-03,NA,NA,NA,0.093981101
ENSG00000273077,Brain,DEP,Wald ratio,1,0.956,6.90E-03,NA,NA,NA,0.098494454
ENSG00000262633,Brain,DEP,Wald ratio,1,1.025,7.34E-03,NA,NA,NA,0.078556874
JAML,Brain,DEP,Wald ratio,1,0.969,7.84E-03,NA,NA,NA,0.070053493
CRADD,Brain,DEP,Wald ratio,1,0.961,8.02E-03,NA,NA,NA,0.067244
NOL4L,Brain,DEP,Wald ratio,1,0.958,8.38E-03,NA,NA,NA,0.066231069
YTHDF2,Brain,DEP,Wald ratio,1,1.041,9.11E-03,NA,NA,NA,0.070845491
ZNF536,Brain,DEP,Wald ratio,1,1.052,9.23E-03,NA,NA,NA,0.078903323
ANKS1A,Brain,DEP,Wald ratio,1,1.019,9.57E-03,NA,NA,NA,0.059258531
USP2-AS1,Brain,DEP,Wald ratio,1,1.036,9.68E-03,NA,NA,NA,0.061185496
SMAP1,Brain,DEP,Wald ratio,1,0.968,9.84E-03,NA,NA,NA,0.056665416
