Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
AL355531.1,Brain Cortex SMR,ED,Wald ratio,1,1.104,9.11E-08,NA,NA,NA,0.999899504
ZNF281,Brain Anterior cingulate cortex,ED,Wald ratio,1,0.817,6.30E-07,NA,NA,NA,0.994199007
AC090629.1,Brain Cortex SMR,ED,Wald ratio,1,0.721,6.65E-07,NA,NA,NA,0.999453365
AMT,Brain Caudate basal ganglia,ED,Wald ratio,1,0.821,1.53E-06,NA,NA,NA,0.997989521
GPX1,Brain Caudate basal ganglia,ED,Wald ratio,1,1.424,1.53E-06,NA,NA,NA,0.998068523
CCDC71,Brain Caudate basal ganglia,ED,Wald ratio,1,1.313,1.53E-06,NA,NA,NA,0.989046936
NCKIPSD,Brain Caudate basal ganglia,ED,Wald ratio,1,0.852,1.53E-06,NA,NA,NA,0.998550172
WDR6,Brain Caudate basal ganglia,ED,Wald ratio,1,1.487,1.53E-06,NA,NA,NA,0.916350695
ATP5MC3,Brain Hypothalamus,ED,Wald ratio,1,1.503,2.69E-06,NA,NA,NA,0.997288304
CTNNB1,Brain Cortex SMR,ED,Wald ratio,1,1.131,5.50E-06,NA,NA,NA,0.9948954
CTNNB1,Brain Spinal cord cervical,ED,Wald ratio,1,0.862,5.50E-06,NA,NA,NA,0.994885902
MGMT,Meta 10 Brain Regions,ED,Wald ratio,1,1.089,5.84E-06,NA,NA,NA,0.99484384
CTNNB1,Brain Frontal Cortex,ED,Wald ratio,1,0.782,6.32E-06,NA,NA,NA,0.965735725
FGF14-AS2,Brain Putamen basal ganglia,ED,Inverse variance weighted,2,0.859,7.94E-06,NA,0.683593662,NA,0.021791809
VCL,Brain Frontal Cortex,ED,Wald ratio,1,0.819,9.73E-06,NA,NA,NA,0.9912426
CTNNB1,Brain Putamen basal ganglia,ED,Wald ratio,1,0.812,1.08E-05,NA,NA,NA,0.99039258
CTNNB1,Brain Amygdala,ED,Wald ratio,1,0.848,1.39E-05,NA,NA,NA,0.985513707
CTNNB1,Brain Hippocampus,ED,Wald ratio,1,0.826,1.43E-05,NA,NA,NA,0.987231195
ERBB3,Brain Cortex SMR,ED,Wald ratio,1,1.219,2.02E-05,NA,NA,NA,0.983004109
RAB5B,Brain Cortex SMR,ED,Wald ratio,1,1.422,2.02E-05,NA,NA,NA,0.982836107
SUOX,Brain Cortex SMR,ED,Wald ratio,1,1.15,2.02E-05,NA,NA,NA,0.983004109
RPS26,Brain Cortex SMR,ED,Wald ratio,1,0.951,2.02E-05,NA,NA,NA,0.983004109
RNF123,Brain Cerebellar Hemisphere,ED,Wald ratio,1,0.831,2.09E-05,NA,NA,NA,0.98245928
GMPPB,Brain Cerebellar Hemisphere,ED,Wald ratio,1,0.806,2.09E-05,NA,NA,NA,0.530871197
MST1R,Brain Cerebellar Hemisphere,ED,Wald ratio,1,0.881,2.09E-05,NA,NA,NA,0.982459115
RBM6,Brain Cerebellar Hemisphere,ED,Wald ratio,1,1.147,2.09E-05,NA,NA,NA,0.98245928
INKA1,Brain Cerebellar Hemisphere,ED,Wald ratio,1,0.904,2.09E-05,NA,NA,NA,0.98245928
