Gene,Tissue,Psychiatry,Method,Nsnp,OR,Pvalue,Q_Pvalue(MREgger),Q_Pvalue(IVW),Pvalue(Intercept),PPH4
ZNHIT3,Brain Meta Analysis,OCD,Wald ratio,1,0.909,5.48E-05,NA,NA,NA,0.974884239
SFRS7,Fetal Brain,OCD,Inverse variance weighted,2,41.841,6.64E-05,NA,0.485414167,NA,0.085821286
MSI2,Brain Cortex,OCD,Wald ratio,1,0.752,9.35E-05,NA,NA,NA,0.960986639
CAB39,Brain Meta Analysis,OCD,Wald ratio,1,0.688,1.22E-04,NA,NA,NA,0.952743253
OSBPL2,Brain Meta Analysis,OCD,Wald ratio,1,0.773,1.27E-04,NA,NA,NA,0.959039636
DNAJC18,Fetal Brain,OCD,Wald ratio,1,13.327,1.40E-04,NA,NA,NA,0.942909104
LOC151174,Fetal Brain,OCD,Wald ratio,1,0.004,4.21E-04,NA,NA,NA,0.854878894
SPATS2L,Brain Meta Analysis,OCD,Wald ratio,1,1.143,4.52E-04,NA,NA,NA,0.845344675
CLASP1,Brain Meta Analysis,OCD,Wald ratio,1,0.79,4.84E-04,NA,NA,NA,0.87938693
LNX1,Fetal Brain,OCD,Wald ratio,1,4.695,5.08E-04,NA,NA,NA,0.836773321
BRINP3,Brain Meta Analysis,OCD,Wald ratio,1,1.238,5.41E-04,NA,NA,NA,0.843764191
NCS1,Brain Meta Analysis,OCD,Wald ratio,1,0.772,5.87E-04,NA,NA,NA,0.86649283
PELI2,Brain Meta Analysis,OCD,Inverse variance weighted,2,1.141,7.16E-04,NA,0.615716531,NA,0.418177424
CCDC92,Brain Cortex,OCD,Wald ratio,1,1.246,7.72E-04,NA,NA,NA,0.776865711
EMB,Fetal Brain,OCD,Wald ratio,1,0.371,8.06E-04,NA,NA,NA,0.768788511
TULP4,Fetal Brain,OCD,Wald ratio,1,9.53,1.00E-03,NA,NA,NA,0.790151814
EMB,Brain Meta Analysis,OCD,Wald ratio,1,0.898,1.03E-03,NA,NA,NA,0.727744305
TLK1,Brain Meta Analysis,OCD,Wald ratio,1,1.082,1.11E-03,NA,NA,NA,0.711420133
PCDH7,Brain Meta Analysis,OCD,Wald ratio,1,1.308,1.21E-03,NA,NA,NA,0.688477274
TGFBR3,Brain Meta Analysis,OCD,Wald ratio,1,1.179,1.61E-03,NA,NA,NA,0.014988669
USP20,Brain Cortex,OCD,Wald ratio,1,1.33,1.79E-03,NA,NA,NA,0.03006041
USP7,Brain Cortex,OCD,Wald ratio,1,1.28,1.80E-03,NA,NA,NA,0.702875228
TMTC1,Brain Meta Analysis,OCD,Inverse variance weighted,2,1.051,2.10E-03,NA,0.635504218,NA,0.210607945
ARL6IP4,Fetal Brain,OCD,Wald ratio,1,0.049,2.55E-03,NA,NA,NA,0.548599659
